"schoolyear","esd","county","districtcode","district","schoolcode","school","subgroup","readingcestudents","readingweighted_cemet","readingannualtarget","readingdifferencefromtarget","readingmetproficiency","mathcestudents","mathweighted_cemet","mathannualtarget","mathdifferencefromtarget","mathmetproficiency","readingparticipants","readingtotalparticipation","readingparticipationrate","readingmetparticipation","mathparticipants","mathtotalparticipation","mathparticipationrate","mathmetparticipation","unexecusedabsencerate","unexcusedabsencesmet","graduationdropoutrate","graduationdropoutmet","otherindicatormet"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","All","188","60.1","61.8","-1.7","Below","187","54","47","7","On/Above","204","204","100","On/Above","203","204","99.5","On/Above","0.04","On/Above",,,"On/Above"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","American Indian",,,,,"N<Required",,,,"-1.7","N<Required",,,,"N<Required",,,,"N<Required",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Asian",,,,,"N<Required",,,,"0","N<Required",,,,"N<Required",,,,"N<Required",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Pacific Islander",,,,,"No Students",,,,,"No Students",,,,"No Students",,,,"No Students",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Black",,,,,"No Students",,,,,"No Students",,,,"N<Required",,,,"N<Required",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Hispanic","82","58.5","51.1","7.4","On/Above","82","50","40.1","9.9","On/Above","89","89","100","On/Above","89","89","100","On/Above",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","White","85","61.2","67.5","-6.3","Below","84","57.1","51.7","5.4","On/Above","91","91","100","On/Above","90","91","98.9","On/Above",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Two or More Races",,,"73.8",,"N<Required",,,"52","10.5","N<Required",,,,"N<Required",,,,"N<Required",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Limited English",,,"35.5",,"N<Required",,,"28.7","0.7","N<Required",,,,"N<Required",,,,"N<Required",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Special Education","42","40.5","41.9","-1.4","Below","41","36.6","32.8","3.8","On/Above","44","44","100","On/Above","43","44","97.7","On/Above",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Low Income","149","55","57.1","-2.1","Below","149","55","43.6","11.4","On/Above","161","161","100","On/Above","161","161","100","On/Above",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","All","93","60.2","66.7","-6.5","Below","93","63.4","64.3","-0.9","Below","101","101","100","On/Above","101","101","100","On/Above","0.02","On/Above",,,"On/Above"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","American Indian",,,,,"No Students",,,,,"No Students",,,,"No Students",,,,"No Students",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","Asian",,,,,"N<Required",,,,"-4.2","N<Required",,,,"N<Required",,,,"N<Required",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","Pacific Islander",,,,,"No Students",,,,,"No Students",,,,"No Students",,,,"No Students",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","Black",,,,,"No Students",,,,,"No Students",,,,"No Students",,,,"No Students",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","Hispanic",,,,,"N<Required",,,,"11.8","N<Required",,,,"N<Required",,,,"N<Required",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","White","68","63.2","64.3","-1.1","Below","68","63.2","65.8","-2.6","Below","72","72","100","On/Above","72","72","100","On/Above",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","Two or More Races",,,,,"N<Required",,,,"-2.1","N<Required",,,,"N<Required",,,,"N<Required",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","Limited English",,,,,"N<Required",,,,"-45","N<Required",,,,"N<Required",,,,"N<Required",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","Special Education",,,,,"N<Required",,,,"-9.8","N<Required",,,,"N<Required",,,,"N<Required",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","Low Income","40","40","51.3","-11.3","Below","40","45","39.8","5.2","On/Above","47","47","100","On/Above","47","47","100","On/Above",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3857","Harbor High School","All",,,,,"N<Required",,,,"12.8","N<Required","19","20","95","On/Above","18","20","90","Below",,,"34.4","Below","Below"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3857","Harbor High School","American Indian",,,,,"No Students",,,,,"No Students",,,,"No Students",,,,"No Students",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3857","Harbor High School","Asian",,,,,"No Students",,,,,"No Students",,,,"No Students",,,,"No Students",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3857","Harbor High School","Pacific Islander",,,,,"No Students",,,,,"No Students",,,,"No Students",,,,"No Students",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3857","Harbor High School","Black",,,,,"No Students",,,,,"No Students",,,,"No Students",,,,"No Students",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3857","Harbor High School","Hispanic",,,,,"No Students",,,,,"No Students",,,,"No Students",,,,"N<Required",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3857","Harbor High School","White",,,,,"N<Required",,,,"10.2","N<Required",,,,"N<Required",,,,"N<Required",,,,,
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3857","Harbor High School","Two or More Races",,,,,"N<Required",,,,"91.7","N<Required",,,,"N<Required",,,,"N<Required",,,,,
"2011-12",,,"50003","Institutions","3910","Oak Grove","Hispanic",,,,,"No Students",,,,,"No Students",,,,"N<Required",,,,"N<Required",,,,,
