"esdcode","esdname","districtcode","schoolcode","districtname","schoolname","subject","indexall","indexamericanindian","indexasian","indexblack","indexhispanic","indexwhite","indexspecialed","indexltdenglish","indexlowincome","mettargetbeforeshall","mettargetbeforeshamerica","mettargetbeforeshasian","mettargetbeforeshblack","mettargetbeforeshhispanic","mettargetbeforeshwhite","mettargetbeforeshspecialed","mettargetbeforeshltdenglish","mettargetbeforeshlowincome","previousweightedcemetall","previousweightedcemetame","previousweightedcemetasian","previousweightedcemetblack","previousweightedcemethispanic","previousweightedcemetwhite","previousweightedcemetspecialed","previousweightedcemetltd","previousweightedcemetlowincome","reductionpercentall","reductionpercentamericanindian","reductionpercentasian","reductionpercentblack","reductionpercenthispanic","reductionpercentwhite","reductionpercentspecialed","reductionpercentltdenglish","reductionpercentlowincome","met10percentflagall","met10percentflagamericanindian","met10percentflagasian","met10percentflagblack","met10percentflaghispanic","met10percentflagwhite","met10percentflagspecialed","met10percentflagltdenglish","met10percentflaglowincome","metotherindicatorflagall","metotherindicatorflagame","metotherindicatorflagasian","metotherindicatorflagblack","metotherindicatorflaghispanic","metotherindicatorflagwhite","metotherindicatorflagspecialed","metotherindicatorflagltd","metotherindicatorflaglowincome","mettargetaftershflagall","mettargetaftershflagamer","mettargetaftershflagasian","mettargetaftershflagblack","mettargetaftershflaghispanic","mettargetaftershflagwhite","mettargetaftershflagspecialed","mettargetaftershflagltdenglish","mettargetaftershflaglowincome"
"34801","Educational Service District 113","14005","2834","Aberdeen School District","A J West Elementary","Math","-0.2",,,,,,,,"-2.1","No","N<Required","N<Required","N<Required","Yes","Yes","Yes","N<Required","No","48.7",,,,,,,,"47.1","-12.8",,,,,,,,"-16.2","false",,,,,,,,"false","true",,,,,,,,"true","No","N<Required","N<Required","N<Required","Yes","Yes","Yes","N<Required","No"
"34801","Educational Service District 113","14005","2834","Aberdeen School District","A J West Elementary","Reading","-12.2",,,,,,,,"-15.2","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No","57.5",,,,,,,,"54.2","2",,,,,,,,"-2.3","false",,,,,,,,"false","true",,,,,,,,"true","No","N<Required","N<Required","N<Required","No","Yes","Yes","N<Required","No"
"34801","Educational Service District 113","14005","3216","Aberdeen School District","Central Park Elementary","Math","28.6",,,,,,,,,"Yes","N/A","N<Required","N/A","N<Required","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N/A","N<Required","N/A","N<Required","Yes","N<Required","N<Required","Yes"
"34801","Educational Service District 113","14005","3216","Aberdeen School District","Central Park Elementary","Reading","2.1",,,,,,,,,"Yes","N/A","N<Required","N/A","N<Required","Yes","N<Required","N<Required","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N/A","N<Required","N/A","N<Required","Yes","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","3857","Aberdeen School District","Harbor High School","Math","-20.6",,,,,,,,"-12.9","N<Required","N/A","N/A","N/A","N<Required","N<Required","N<Required","N/A","N<Required","4.3",,,,,,,,,"12.9",,,,,,,,"20","true",,,,,,,,"true","true",,,,,,,,"true","N<Required","N/A","N/A","N/A","N<Required","N<Required","N<Required","N/A","N<Required"
"34801","Educational Service District 113","14005","3857","Aberdeen School District","Harbor High School","Reading","0.7",,,,,,,,"12.8","N<Required","N/A","N/A","N/A","N<Required","N<Required","N<Required","N/A","N<Required",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true","N<Required","N/A","N/A","N/A","N<Required","N<Required","N<Required","N/A","N<Required"
"34801","Educational Service District 113","14005","3476","Aberdeen School District","J M Weatherwax High School","Math","-0.9",,,,,"7.9","-39.3",,"-10.7","No","N<Required","N<Required","N<Required","No","Yes","N<Required","N<Required","No","37.6",,,,,,,,"23.2","25.2",,,,,,"7.1",,"22.9","true",,,,,,"false",,"true","true",,,,,,"true",,"true","No","N<Required","N<Required","N<Required","No","Yes","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","3476","Aberdeen School District","J M Weatherwax High School","Reading","-8.1",,,,,"-1","-51.1",,"-15.1","No","N<Required","N<Required","N<Required","No","No","N<Required","N<Required","No","73.1",,,,,"79.5","17.4",,"67","-4.6",,,,,"-7.5","-3.8",,"-17.4","false",,,,,"false","false",,"false","true",,,,,"true","true",,"true","No","N<Required","N<Required","N<Required","Yes","No","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","2449","Aberdeen School District","McDermoth Elementary","Math","8.4",,,,,,,,"1.4","Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes"
"34801","Educational Service District 113","14005","2449","Aberdeen School District","McDermoth Elementary","Reading","-19.8",,,,,,,,"-29.8","No","N<Required","N<Required","N<Required","No","No","No","N<Required","No","55.9",,,,,,,,"36.2","-10.2",,,,,,,,"2.9","false",,,,,,,,"false","true",,,,,,,,"true","No","N<Required","N<Required","N<Required","No","No","No","N<Required","No"
"34801","Educational Service District 113","14005","2305","Aberdeen School District","Miller Junior High","Math","-3.4",,,,,"-0.1",,"-8.9","-9.8","No","N<Required","N<Required","N/A","Yes","No","No","N<Required","No","44.6",,,,,"49.6",,"4.8","31.5","5.2",,,,,"-0.8",,"19.2","11","false",,,,,"false",,"true","true","true",,,,,"true",,"true","true","No","N<Required","N<Required","N/A","Yes","No","Yes","N<Required","Yes"
"34801","Educational Service District 113","14005","2305","Aberdeen School District","Miller Junior High","Reading","-35.6",,,,,"-34.2","-59","-50.8","-44.5","No","N<Required","N<Required","N/A","No","No","No","N<Required","No","45.5",,,,,"47.5","9.1",,"33.5","-11.2",,,,,"-15.8","1.4","11.5","-6.8","false",,,,,"false","false","true","false","true",,,,,"true","true","true","true","No","N<Required","N<Required","N/A","No","No","No","N<Required","No"
"34801","Educational Service District 113","14005","2763","Aberdeen School District","Robert Gray Elementary","Math","-5.5",,,,,,,,"-11","No","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","No","45",,,,,,,,"39.3","-20.4",,,,,,,,"-21.3","false",,,,,,,,"false","true",,,,,,,,"true","No","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","2763","Aberdeen School District","Robert Gray Elementary","Reading","-17.7",,,,,,,,"-23.6","No","N<Required","N<Required","N<Required","N<Required","No","N<Required","N<Required","No","57.3",,,,,,,,"48.6","-18.9",,,,,,,,"-16.7","false",,,,,,,,"false","true",,,,,,,,"true","No","N<Required","N<Required","N<Required","N<Required","No","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","2971","Aberdeen School District","Stevens Elementary School","Math","13.3",,,,,"20.8",,,"13.3","Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","Yes","N<Required","Yes"
"34801","Educational Service District 113","14005","2971","Aberdeen School District","Stevens Elementary School","Reading","-12.6",,,,,"-3.9",,,"-15.4","No","N<Required","N<Required","N<Required","No","No","No","N<Required","No","62.2",,,,,"62.3",,,"57.5","-9.3",,,,,"0.7",,,"-7.7","false",,,,,"false",,,"false","true",,,,,"true",,,"true","No","N<Required","N<Required","N<Required","No","No","No","N<Required","No"
"34801","Educational Service District 113","21226","2227","Adna School District","Adna Elementary School","Math","5.9",,,,,,,,"0.1","Yes","N/A","N<Required","N/A","N<Required","Yes","N<Required","N/A","Yes",,,"100",,,,,,,,,,,,,,,,,,"false",,,,,,,,,"true",,,,,,,"Yes","N/A","N<Required","N/A","N<Required","Yes","N<Required","N/A","Yes"
"34801","Educational Service District 113","21226","2227","Adna School District","Adna Elementary School","Reading","-6.9",,,,,,,,"-10.2","No","N/A","N<Required","N/A","N<Required","No","N<Required","N/A","No","63.1",,"100",,,,,,"59.2","4.2",,,,,,,,"-22.5","false",,"false",,,,,,"false","true",,"true",,,,,,"true","No","N/A","N<Required","N/A","N<Required","No","N<Required","N/A","No"
"34801","Educational Service District 113","21226","2441","Adna School District","Adna Middle/High School","Math","10.1",,,,,,,,"2.8","Yes","N/A","N<Required","N/A","N<Required","Yes","N<Required","N/A","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N/A","N<Required","N/A","N<Required","Yes","N<Required","N/A","Yes"
"34801","Educational Service District 113","21226","2441","Adna School District","Adna Middle/High School","Reading","-2.6",,,,,,,,"-6.6","No","N/A","N<Required","N/A","N<Required","No","N<Required","N/A","No","75.1",,,,,,,,"58.3","-38.4",,,,,,,,"-13.5","false",,,,,,,,"false","true",,,,,,,,"true","No","N/A","N<Required","N/A","N<Required","No","N<Required","N/A","No"
"32801","Educational Service District 101","22017","2860","Almira School District","Almira Elementary School","Math",,,,,,,,,,"Yes","N/A","N/A","N/A","N<Required","Yes","N<Required","N/A","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N/A","N/A","N/A","N<Required","Yes","N<Required","N/A","Yes"
"32801","Educational Service District 101","22017","2860","Almira School District","Almira Elementary School","Reading",,,,,,,,,,"Yes","N/A","N/A","N/A","N<Required","Yes","N<Required","N/A","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N/A","N/A","N/A","N<Required","Yes","N<Required","N/A","No"
"29801","Northwest Educational Service District 189","29103","2467","Anacortes School District","Anacortes High School","Math","29.6",,,,"28.3","31.7",,,"26.1","Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"29801","Northwest Educational Service District 189","29103","2467","Anacortes School District","Anacortes High School","Reading","9.7",,,,"12.8","11",,,"7.3","Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"29801","Northwest Educational Service District 189","29103","2707","Anacortes School District","Anacortes Middle School","Math","18",,,,"18.5","19.7",,,"-1.8","Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","No",,,,,,,,,"62.2",,,,,,,,,"-51.9",,,,,,,,,"false",,,,,"true",,,,"true","Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"29801","Northwest Educational Service District 189","29103","2707","Anacortes School District","Anacortes Middle School","Reading","1.4",,,,"-0.4","3.6",,,"-15.5","Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","No",,,,,"56.5",,,,"70.6",,,,,"-20",,,,"-61",,,,,"false",,,,"false",,,,,"true",,,,"true","Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","No"
