"esdcode","esdname","districtcode","schoolcode","districtname","schoolname","subject","indexall","indexamericanindian","indexasian","indexblack","indexhispanic","indexwhite","indexpacificislander","indextwoormoreraces","indexspecialed","indexltdenglish","indexlowincome","mettargetall","mettargetamericanindian","mettargetasian","mettargetblack","mettargethispanic","mettargetwhite","mettargetpacificislander","mettargettwoormoreraces","mettargetspecialed","mettargetltdenglish","mettargetlowincome"
"34801","Educational Service District 113","14005","2834","Aberdeen School District","A J West Elementary","Math","-57.7","-46.3","-16.6","-66.6",,,,,,,"-56","No","N<Required","N<Required","N<Required","No","No","N/A","N/A","No","No","No"
"34801","Educational Service District 113","14005","2834","Aberdeen School District","A J West Elementary","Reading","-55.9","-29","-33","-66.6",,,,,,,"-56","No","N<Required","N<Required","N<Required","No","No","N/A","N/A","No","No","No"
"34801","Educational Service District 113","14005","3216","Aberdeen School District","Central Park Elementary","Math","-21.2","0",,"0","-14.4",,,"-22.2","-45.2","-50",,"No","N<Required","N/A","N<Required","N<Required","No","N/A","N/A","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","3216","Aberdeen School District","Central Park Elementary","Reading","-16.7","0",,"0","-7.7",,,"-22.2","-36.3","-50",,"No","N<Required","N/A","N<Required","N<Required","No","N/A","N/A","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","3857","Aberdeen School District","Harbor High School","Math",,,,,,,,,,,,"N<Required","N/A","N/A","N/A","N<Required","N<Required","N/A","N/A","N<Required","N<Required","N<Required"
"34801","Educational Service District 113","14005","3857","Aberdeen School District","Harbor High School","Reading",,,,,,,,,,,,"N<Required","N/A","N/A","N/A","N<Required","N<Required","N/A","N/A","N<Required","N<Required","N<Required"
"34801","Educational Service District 113","14005","3476","Aberdeen School District","J M Weatherwax High School","Math",,,"-38.3",,,,,,,,,"No","N<Required","N<Required","N<Required","No","No","N<Required","N<Required","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","3476","Aberdeen School District","J M Weatherwax High School","Reading","-72","-3.2","0","0","-58.9","-74.9",,,"-66.3",,"-68.8","No","N<Required","N<Required","N<Required","No","No","N<Required","N<Required","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","2449","Aberdeen School District","McDermoth Elementary","Math","-51.5","-20.9","-50",,,"-35.4",,"-63.7",,"-87.1","-63.8","No","N<Required","N<Required","N<Required","No","No","N/A","N/A","No","N<Required","No"
"34801","Educational Service District 113","14005","2449","Aberdeen School District","McDermoth Elementary","Reading","-50.7","-39.1","-66.6",,,"-37.5",,"-63.7",,"-74.4","-56.6","No","N<Required","N<Required","N<Required","No","No","N/A","N/A","No","N<Required","No"
"34801","Educational Service District 113","14005","2305","Aberdeen School District","Miller Junior High","Math","-62.9","-43.3","-57.3","-27.4","-59.5","-58.5","-33.3","-38.3",,"-83","-67.9","No","N<Required","N<Required","N<Required","No","No","N<Required","N<Required","No","N<Required","No"
"34801","Educational Service District 113","14005","2305","Aberdeen School District","Miller Junior High","Reading","-50.4","-8.5","-29.3","-25","-48.7","-45.8","-33.3","-38.3",,"-84.1","-57.4","No","N<Required","N<Required","N<Required","No","No","N<Required","N<Required","No","N<Required","No"
