esdcode,esdname,districtcode,schoolcode,districtname,schoolname,subject,indexall,indexamericanindian,indexasian,indexblack,indexhispanic,indexwhite,indexpacificislander,indextwoormoreraces,indexspecialed,indexltdenglish,indexlowincome,mettargetbeforeshall,mettargetbeforeshamerica,mettargetbeforeshasian,mettargetbeforeshblack,mettargetbeforeshhispanic,mettargetbeforeshwhite,mettargetbeforeshpacific,mettargetbeforeshtwoormo,mettargetbeforeshspecialed,mettargetbeforeshltdenglish,mettargetbeforeshlowincome,previousweightedcemetall,previousweightedcemetame,previousweightedcemetasian,previousweightedcemetblack,previousweightedcemethispanic,previousweightedcemetwhite,previousweightedcemetpac,previousweightedcemettwo,previousweightedcemetspecialed,previousweightedcemetltd,previousweightedcemetlowincome,reductionpercentall,reductionpercentamericanindian,reductionpercentasian,reductionpercentblack,reductionpercenthispanic,reductionpercentwhite,reductionpercentpacifici,reductionpercenttwoormoreraces,reductionpercentspecialed,reductionpercentltdenglish,reductionpercentlowincome,met10percentflagall,met10percentflagamericanindian,met10percentflagasian,met10percentflagblack,met10percentflaghispanic,met10percentflagwhite,met10percentflagpacifici,met10percentflagtwoormoreraces,met10percentflagspecialed,met10percentflagltdenglish,met10percentflaglowincome,metotherindicatorflagall,metotherindicatorflagame,metotherindicatorflagasian,metotherindicatorflagblack,metotherindicatorflaghispanic,metotherindicatorflagwhite,metotherindicatorflagpac,metotherindicatorflagtwo,metotherindicatorflagspecialed,metotherindicatorflagltd,metotherindicatorflaglowincome,mettargetaftershflagall,mettargetaftershflagamer,mettargetaftershflagasian,mettargetaftershflagblack,mettargetaftershflaghispanic,mettargetaftershflagwhite,mettargetaftershflagpaci,mettargetaftershflagtwoo,mettargetaftershflagspecialed,mettargetaftershflagltdenglish,mettargetaftershflaglowincome
34801,Educational Service District 113,14005,2834,Aberdeen School District,A J West Elementary,Math,,-50,-23.8,-20,,,,-42.9,,-6.8,,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,No,N<Required,No,,20,,50,,,,,,22.2,,,21.9,,20,,,,,,32.9,,,TRUE,FALSE,TRUE,,,FALSE,FALSE,,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,No,N<Required,N<Required,N<Required,Yes,No,N/A,N<Required,No,N<Required,No
34801,Educational Service District 113,14005,3216,Aberdeen School District,Central Park Elementary,Math,-21.5,0,-25,-100,-34.5,,,,-77.7,-100,,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No,61,,,,37.5,,,,10,40,,-16.9,,,,-12,,,,-2.6,-66.7,,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No
34801,Educational Service District 113,14005,3857,Aberdeen School District,Harbor High School,Math,-17,,,,-100,0,,,-100,,-8.8,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required,16.7,,,,33.3,,,,,,20,33.3,,,,-50,,,,0,,37.5,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,,FALSE,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required
34801,Educational Service District 113,14005,3476,Aberdeen School District,J M Weatherwax High School,Math,,0,0,0,,,0,0,-59.7,-80,,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No,,,,,,,,,7.1,,,,,,,,,,,18.3,20,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,14005,2449,Aberdeen School District,McDermoth Elementary,Math,-27.9,-28.1,-57.1,-3.3,,-11.2,,-66.7,-67.9,-65.3,-35.6,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,N<Required,N<Required,No,51.2,40,,,,61.5,,,12.5,5.9,39.8,7.6,-19,,33.3,,18,,,-0.6,5.6,2.3,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No,N<Required,N<Required,N<Required,No,No,N/A,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,14005,2305,Aberdeen School District,Miller Junior High,Math,-48.8,-48.1,-17.4,-38.6,-58.8,-37.2,-25,-38.1,-76.7,-72.4,-57.5,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,No,No,47.5,,,,44.3,49.2,,,8.6,23.1,39.1,-8,25,,,-30.2,6.6,,,1.9,-17,-9.5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,No,No
34801,Educational Service District 113,14005,2763,Aberdeen School District,Robert Gray Elementary,Math,-35.9,-25,-50,-100,-29.1,,0,-50,-75.6,-75,-46.5,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,33.8,50,,100,10.3,,,,12,10,26.3,15.9,0,,,29.8,,,,-2.8,2.8,9,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,14005,2971,Aberdeen School District,Stevens Elementary School,Math,-16.5,-4.1,-11.1,-33.3,,-9.2,0,0,,-12.1,-16.5,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,56.3,20,,,,58.3,,,,48.3,54.9,30.2,56.5,,66.7,,31.8,,,,-0.9,29.2,TRUE,TRUE,FALSE,TRUE,,TRUE,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,Yes,N<Required,N<Required,N<Required,Yes,Yes,N<Required,N<Required,Yes,N<Required,Yes
34801,Educational Service District 113,21226,2227,Adna School District,Adna Elementary School,Math,-25.5,,0,,-20,,,-50,-49.4,-100,,No,N/A,N<Required,N/A,N<Required,No,N/A,N/A,N<Required,N<Required,No,46.6,,,,20,,,,25,,,18.3,,,,50,,,,-3.7,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,,No,N/A,N<Required,N/A,N<Required,No,N/A,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,21226,2441,Adna School District,Adna Middle/High School,Math,-30.2,-100,0,0,-28.2,,,-54.5,-78.5,,-39.6,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N/A,No,53.2,,,,16.7,,,,6.7,,33.9,7.1,,,,34.5,,,,0.5,,4,FALSE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,,FALSE,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N<Required,N<Required,N/A,No
