esdcode,esdname,districtcode,schoolcode,districtname,schoolname,subject,indexall,indexamericanindian,indexasian,indexblack,indexhispanic,indexwhite,indexpacificislander,indextwoormoreraces,indexspecialed,indexltdenglish,indexlowincome,mettargetbeforeshall,mettargetbeforeshamerica,mettargetbeforeshasian,mettargetbeforeshblack,mettargetbeforeshhispanic,mettargetbeforeshwhite,mettargetbeforeshpacific,mettargetbeforeshtwoormo,mettargetbeforeshspecialed,mettargetbeforeshltdenglish,mettargetbeforeshlowincome,previousweightedcemetall,previousweightedcemetame,previousweightedcemetasian,previousweightedcemetblack,previousweightedcemethispanic,previousweightedcemetwhite,previousweightedcemetpac,previousweightedcemettwo,previousweightedcemetspecialed,previousweightedcemetltd,previousweightedcemetlowincome,reductionpercentall,reductionpercentamericanindian,reductionpercentasian,reductionpercentblack,reductionpercenthispanic,reductionpercentwhite,reductionpercentpacifici,reductionpercenttwoormoreraces,reductionpercentspecialed,reductionpercentltdenglish,reductionpercentlowincome,met10percentflagall,met10percentflagamericanindian,met10percentflagasian,met10percentflagblack,met10percentflaghispanic,met10percentflagwhite,met10percentflagpacifici,met10percentflagtwoormoreraces,met10percentflagspecialed,met10percentflagltdenglish,met10percentflaglowincome,metotherindicatorflagall,metotherindicatorflagame,metotherindicatorflagasian,metotherindicatorflagblack,metotherindicatorflaghispanic,metotherindicatorflagwhite,metotherindicatorflagpac,metotherindicatorflagtwo,metotherindicatorflagspecialed,metotherindicatorflagltd,metotherindicatorflaglowincome,mettargetaftershflagall,mettargetaftershflagamer,mettargetaftershflagasian,mettargetaftershflagblack,mettargetaftershflaghispanic,mettargetaftershflagwhite,mettargetaftershflagpaci,mettargetaftershflagtwoo,mettargetaftershflagspecialed,mettargetaftershflagltdenglish,mettargetaftershflaglowincome
34801,Educational Service District 113,14005,2834,Aberdeen School District,A J West Elementary,Reading,,0,-23.8,0,,,,-14.3,,-4.5,,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,No,N<Required,No,,,,,,,,,,29.6,,,,,,,,,,,38.2,,,,FALSE,,,,FALSE,FALSE,,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,No,N<Required,N<Required,N<Required,Yes,No,N/A,N<Required,No,N<Required,No
34801,Educational Service District 113,14005,3216,Aberdeen School District,Central Park Elementary,Reading,-20.6,0,-50,-100,-19.2,,,,-54,-100,,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No,63.6,,,,75,,,,20,60,,-22.2,,,,-140,,,,-5.8,-150,,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No
34801,Educational Service District 113,14005,3857,Aberdeen School District,Harbor High School,Reading,-41.4,,,,0,-39.3,,-100,-100,,-45.5,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required,57.1,,,,,55.6,,,50,,70,-69.7,,,,,-68.8,,,-100,,-159.3,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,,FALSE,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N<Required,N<Required,N/A,N<Required
34801,Educational Service District 113,14005,3476,Aberdeen School District,J M Weatherwax High School,Reading,,0,0,0,,,0,0,-46.5,-19.7,,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No,,,,,,,,,14.3,,,,,,,,,,,23.6,40,,,,,,,,,,FALSE,TRUE,,,,,,,,,,FALSE,,,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,14005,2449,Aberdeen School District,McDermoth Elementary,Reading,-21.4,-16.9,-42.9,-3.3,,-8.8,,-100,-62.1,-47.9,-28.2,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,N<Required,N<Required,No,51.4,60,,,,60.9,,,17.5,,38,21.2,-42.9,,33.3,,28.5,,,-1.8,22.2,16.8,TRUE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes,N<Required,N<Required,N<Required,No,No,N/A,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,14005,2305,Aberdeen School District,Miller Junior High,Reading,-43.3,-16.8,-4.1,-23,-54.7,-32.3,-25,-31.4,,-72.4,-52.9,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,No,No,39.4,28.6,,,38.1,39.2,,,,11.5,28.9,15.6,30,,,-11.7,30.2,,,,-1.7,12.3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,FALSE,FALSE,No,N<Required,N<Required,N<Required,No,Yes,N<Required,N<Required,No,No,No
34801,Educational Service District 113,14005,2763,Aberdeen School District,Robert Gray Elementary,Reading,-18.4,-25,0,-100,-12.6,,0,-50,-52.8,-62.5,-24.2,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,49.3,50,,100,34.5,,,,8,,40,23.7,0,,,32.2,,,,12,25,17.6,TRUE,FALSE,,FALSE,TRUE,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,Yes,N<Required,N<Required,N<Required,N<Required,Yes,N<Required,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,14005,2971,Aberdeen School District,Stevens Elementary School,Reading,-13.7,-0.4,-11.1,0,,-5.8,-100,-20,,-23.9,-14.7,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,58.7,,,,,62.6,,,,41.4,54.3,34.6,73.9,,,,35.4,,,,-3.8,34.6,TRUE,TRUE,FALSE,,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,Yes,N<Required,N<Required,N<Required,Yes,Yes,N<Required,N<Required,No,N<Required,Yes
34801,Educational Service District 113,21226,2227,Adna School District,Adna Elementary School,Reading,-22,,0,,-42,,,-50,-44.4,-100,,No,N/A,N<Required,N/A,N<Required,No,N/A,N/A,N<Required,N<Required,No,64.7,,,,60,,,,43.8,,,-13.7,,,,-100,,,,-18.5,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,,No,N/A,N<Required,N/A,N<Required,No,N/A,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,21226,2441,Adna School District,Adna Middle/High School,Reading,,0,0,0,-0.9,,,-9.1,-71.4,,-15.5,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N/A,No,,,,,50,,,,33.3,,52.7,,,,,63.6,,,,-17.9,,10.5,,,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,FALSE,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N<Required,N<Required,N/A,No
32801,Educational Service District 101,22017,2860,Almira School District,Almira Elementary School,Reading,,,,,-33.3,,,0,-42.9,,-9.6,No,N/A,N/A,N/A,N<Required,No,N/A,N/A,N<Required,N/A,N<Required,,,,,60,,,,14.3,,40,,,,,-66.7,,,,16.7,,37.5,,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,Yes,N/A,N/A,N/A,N<Required,Yes,N/A,N<Required,N<Required,N/A,N<Required
29801,Northwest Educational Service District 189,29103,2467,Anacortes School District,Anacortes High School,Reading,-8,0,0,0,-10.1,-6.1,,,-70.7,-100,-11.9,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No,92.4,,,,75,93.5,,,66.7,33.3,83.3,-77.9,,,,-40,-78.5,,,-172.7,-50,-45.5,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,TRUE,,,,,TRUE,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No
29801,Northwest Educational Service District 189,29103,2707,Anacortes School District,Anacortes Middle School,Reading,,0,-2.2,0,-8.8,,,0,,-100,,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,No,N<Required,No,,,,,47.8,,,,,,,,,,,36.1,,,,,0,,,,FALSE,,TRUE,,FALSE,,,FALSE,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N<Required,No,N<Required,Yes
