EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetBeforeSHAll,MetTargetBeforeSHAmericanIndian,MetTargetBeforeSHAsian,MetTargetBeforeSHBlack,MetTargetBeforeSHHispanic,MetTargetBeforeSHWhite,MetTargetBeforeSHPacificIslander,MetTargetBeforeSHTwoOrMoreRaces,MetTargetBeforeSHSpecialEd,MetTargetBeforeSHLtdEnglish,MetTargetBeforeSHLowIncome,PreviousWeightedCEMetAll,PreviousWeightedCEMetAmericanIndian,PreviousWeightedCEMetAsian,PreviousWeightedCEMetBlack,PreviousWeightedCEMetHispanic,PreviousWeightedCEMetWhite,PreviousWeightedCEMetPACIFICISLANDER,PreviousWeightedCEMetTWOORMORERACES,PreviousWeightedCEMetSpecialEd,PreviousWeightedCEMetLtdEnglish,PreviousWeightedCEMetLowIncome,ReductionPercentAll,ReductionPercentAmericanIndian,ReductionPercentAsian,ReductionPercentBlack,ReductionPercentHispanic,ReductionPercentWhite,ReductionPercentPACIFICISLANDER,ReductionPercentTWOORMORERACES,ReductionPercentSpecialEd,ReductionPercentLtdEnglish,ReductionPercentLowIncome,Met10PercentFlagAll,Met10PercentFlagAmericanIndian,Met10PercentFlagAsian,Met10PercentFlagBlack,Met10PercentFlagHispanic,Met10PercentFlagWhite,Met10PercentFlagPACIFICISLANDER,Met10PercentFlagTWOORMORERACES,Met10PercentFlagSpecialEd,Met10PercentFlagLtdEnglish,Met10PercentFlagLowIncome,MetOtherIndicatorFlagAll,MetOtherIndicatorFlagAmericanIndian,MetOtherIndicatorFlagAsian,MetOtherIndicatorFlagBlack,MetOtherIndicatorFlagHispanic,MetOtherIndicatorFlagWhite,MetOtherIndicatorFlagPACIFICISLANDER,MetOtherIndicatorFlagTWOORMORERACES,MetOtherIndicatorFlagSpecialEd,MetOtherIndicatorFlagLtdEnglish,MetOtherIndicatorFlagLowIncome,MetTargetAfterSHFlagAll,MetTargetAfterSHFlagAmericanIndian,MetTargetAfterSHFlagAsian,MetTargetAfterSHFlagBlack,MetTargetAfterSHFlagHispanic,MetTargetAfterSHFlagWhite,MetTargetAfterSHFlagPACIFICISLANDER,MetTargetAfterSHFlagTWOORMORERACES,MetTargetAfterSHFlagSpecialEd,MetTargetAfterSHFlagLtdEnglish,MetTargetAfterSHFlagLowIncome
34801,Educational Service District 113,14005,2834,Aberdeen School District,A J West Elementary,Math,,-50,-23.8,-20,,,,-42.9,,-6.8,,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,No,N<Required,No,,20,,50,,,,,,22.2,,,21.9,,20,,,,,,32.9,,,true,false,true,,,false,false,,true,,,true,true,true,,,true,true,,true,,No,N<Required,N<Required,N<Required,Yes,No,N/A,N<Required,No,N<Required,No
34801,Educational Service District 113,14005,2834,Aberdeen School District,A J West Elementary,Reading,,0,-23.8,0,,,,-14.3,,-4.5,,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,No,N<Required,No,,,,,,,,,,29.6,,,,,,,,,,,38.2,,,,false,,,,false,false,,true,,,true,true,true,,,true,true,,true,,No,N<Required,N<Required,N<Required,Yes,No,N/A,N<Required,No,N<Required,No
34801,Educational Service District 113,14005,3216,Aberdeen School District,Central Park Elementary,Math,-21.5,0,-25,-100,-34.5,,,,-77.7,-100,,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No,61,,,,37.5,,,,10,40,,-16.9,,,,-12,,,,-2.6,-66.7,,false,,false,false,false,,false,false,false,false,,true,true,true,true,true,,true,true,true,true,,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No
34801,Educational Service District 113,14005,3216,Aberdeen School District,Central Park Elementary,Reading,-20.6,0,-50,-100,-19.2,,,,-54,-100,,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No,63.6,,,,75,,,,20,60,,-22.2,,,,-140,,,,-5.8,-150,,false,,false,false,false,,false,false,false,false,,true,true,true,true,true,,true,true,true,true,,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No
34801,Educational Service District 113,14005,3857,Aberdeen School District,Harbor High School,Math,-17,,,,-100,0,,,-100,,-8.8,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required,16.7,,,,33.3,,,,,,20,33.3,,,,-50,,,,0,,37.5,true,false,false,false,false,,false,false,false,false,true,false,,,,,false,,,,,false,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required
34801,Educational Service District 113,14005,3857,Aberdeen School District,Harbor High School,Reading,-41.4,,,,0,-39.3,,-100,-100,,-45.5,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required,57.1,,,,,55.6,,,50,,70,-69.7,,,,,-68.8,,,-100,,-159.3,false,false,false,false,,false,false,false,false,false,false,false,,,,,false,,,,,false,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N<Required,N<Required,N/A,N<Required
34801,Educational Service District 113,14005,3476,Aberdeen School District,J M Weatherwax High School,Math,,0,0,0,,,0,0,-59.7,-80,,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No,,,,,,,,,7.1,,,,,,,,,,,18.3,20,,,,,,,,,,false,false,,,,,,,,,,false,,,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,14005,3476,Aberdeen School District,J M Weatherwax High School,Reading,,0,0,0,,,0,0,-46.5,-19.7,,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No,,,,,,,,,14.3,,,,,,,,,,,23.6,40,,,,,,,,,,false,true,,,,,,,,,,false,,,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,14005,2449,Aberdeen School District,McDermoth Elementary,Math,-27.9,-28.1,-57.1,-3.3,,-11.2,,-66.7,-67.9,-65.3,-35.6,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,N<Required,N<Required,No,51.2,40,,,,61.5,,,12.5,5.9,39.8,7.6,-19,,33.3,,18,,,-0.6,5.6,2.3,false,false,false,true,,false,false,false,false,false,false,true,false,false,false,,false,true,false,false,false,false,No,N<Required,N<Required,N<Required,No,No,N/A,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,14005,2449,Aberdeen School District,McDermoth Elementary,Reading,-21.4,-16.9,-42.9,-3.3,,-8.8,,-100,-62.1,-47.9,-28.2,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,N<Required,N<Required,No,51.4,60,,,,60.9,,,17.5,,38,21.2,-42.9,,33.3,,28.5,,,-1.8,22.2,16.8,true,false,false,true,,true,false,false,false,true,false,true,false,false,false,,false,true,false,false,false,false,Yes,N<Required,N<Required,N<Required,No,No,N/A,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,14005,2305,Aberdeen School District,Miller Junior High,Math,-48.8,-48.1,-17.4,-38.6,-58.8,-37.2,-25,-38.1,-76.7,-72.4,-57.5,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,No,No,47.5,,,,44.3,49.2,,,8.6,23.1,39.1,-8,25,,,-30.2,6.6,,,1.9,-17,-9.5,false,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,true,false,false,false,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,No,No
34801,Educational Service District 113,14005,2305,Aberdeen School District,Miller Junior High,Reading,-43.3,-16.8,-4.1,-23,-54.7,-32.3,-25,-31.4,,-72.4,-52.9,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,No,No,39.4,28.6,,,38.1,39.2,,,,11.5,28.9,15.6,30,,,-11.7,30.2,,,,-1.7,12.3,false,true,false,false,false,true,false,false,,false,false,true,true,true,true,false,true,true,true,,false,false,No,N<Required,N<Required,N<Required,No,Yes,N<Required,N<Required,No,No,No
34801,Educational Service District 113,14005,2763,Aberdeen School District,Robert Gray Elementary,Math,-35.9,-25,-50,-100,-29.1,,0,-50,-75.6,-75,-46.5,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,33.8,50,,100,10.3,,,,12,10,26.3,15.9,0,,,29.8,,,,-2.8,2.8,9,false,false,false,false,true,,,false,false,false,false,true,true,true,true,true,,true,true,true,true,true,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,14005,2763,Aberdeen School District,Robert Gray Elementary,Reading,-18.4,-25,0,-100,-12.6,,0,-50,-52.8,-62.5,-24.2,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,49.3,50,,100,34.5,,,,8,,40,23.7,0,,,32.2,,,,12,25,17.6,true,false,,false,true,,,false,false,true,false,true,true,true,true,true,,true,true,true,true,true,Yes,N<Required,N<Required,N<Required,N<Required,Yes,N<Required,N<Required,N<Required,N<Required,No
34801,Educational Service District 113,14005,2971,Aberdeen School District,Stevens Elementary School,Math,-16.5,-4.1,-11.1,-33.3,,-9.2,0,0,,-12.1,-16.5,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,56.3,20,,,,58.3,,,,48.3,54.9,30.2,56.5,,66.7,,31.8,,,,-0.9,29.2,true,true,false,true,,true,,,,false,true,true,true,true,true,,true,true,true,,true,true,Yes,N<Required,N<Required,N<Required,Yes,Yes,N<Required,N<Required,Yes,N<Required,Yes
