EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetBeforeSHAll,MetTargetBeforeSHAmericanIndian,MetTargetBeforeSHAsian,MetTargetBeforeSHBlack,MetTargetBeforeSHHispanic,MetTargetBeforeSHWhite,MetTargetBeforeSHPacificIslander,MetTargetBeforeSHTwoOrMoreRaces,MetTargetBeforeSHSpecialEd,MetTargetBeforeSHLtdEnglish,MetTargetBeforeSHLowIncome,PreviousWeightedCEMetAll,PreviousWeightedCEMetAmericanIndian,PreviousWeightedCEMetAsian,PreviousWeightedCEMetBlack,PreviousWeightedCEMetHispanic,PreviousWeightedCEMetWhite,PreviousWeightedCEMetPACIFICISLANDER,PreviousWeightedCEMetTWOORMORERACES,PreviousWeightedCEMetSpecialEd,PreviousWeightedCEMetLtdEnglish,PreviousWeightedCEMetLowIncome,ReductionPercentAll,ReductionPercentAmericanIndian,ReductionPercentAsian,ReductionPercentBlack,ReductionPercentHispanic,ReductionPercentWhite,ReductionPercentPACIFICISLANDER,ReductionPercentTWOORMORERACES,ReductionPercentSpecialEd,ReductionPercentLtdEnglish,ReductionPercentLowIncome,Met10PercentFlagAll,Met10PercentFlagAmericanIndian,Met10PercentFlagAsian,Met10PercentFlagBlack,Met10PercentFlagHispanic,Met10PercentFlagWhite,Met10PercentFlagPACIFICISLANDER,Met10PercentFlagTWOORMORERACES,Met10PercentFlagSpecialEd,Met10PercentFlagLtdEnglish,Met10PercentFlagLowIncome,MetOtherIndicatorFlagAll,MetOtherIndicatorFlagAmericanIndian,MetOtherIndicatorFlagAsian,MetOtherIndicatorFlagBlack,MetOtherIndicatorFlagHispanic,MetOtherIndicatorFlagWhite,MetOtherIndicatorFlagPACIFICISLANDER,MetOtherIndicatorFlagTWOORMORERACES,MetOtherIndicatorFlagSpecialEd,MetOtherIndicatorFlagLtdEnglish,MetOtherIndicatorFlagLowIncome,MetTargetAfterSHFlagAll,MetTargetAfterSHFlagAmericanIndian,MetTargetAfterSHFlagAsian,MetTargetAfterSHFlagBlack,MetTargetAfterSHFlagHispanic,MetTargetAfterSHFlagWhite,MetTargetAfterSHFlagPACIFICISLANDER,MetTargetAfterSHFlagTWOORMORERACES,MetTargetAfterSHFlagSpecialEd,MetTargetAfterSHFlagLtdEnglish,MetTargetAfterSHFlagLowIncome
17801,Puget Sound Educational Service District 121,27010,4283,Tacoma School District,Pearl Street Center,Math,-100,,,,,-100,,,-100,,-100,N<Required,N/A,N/A,N/A,N/A,N<Required,N/A,N/A,N<Required,N/A,N<Required,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,FALSE,,,N<Required,N/A,N/A,N/A,N/A,N<Required,N/A,N/A,N<Required,N/A,N<Required
17801,Puget Sound Educational Service District 121,27010,4575,Tacoma School District,Angelo Giaudrone Middle School,Math,-26.8,-1,,-28.4,-21.6,-19.1,-0.9,0,,,-31,No,N<Required,No,No,No,No,N<Required,N<Required,No,No,No,42.5,36.4,,24.4,39.2,47.8,,,,,35.6,39.6,21.4,,41.5,32.3,39.8,,,,,37.1,TRUE,FALSE,,TRUE,TRUE,TRUE,FALSE,,,,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,,,TRUE,No,N<Required,No,No,No,No,N<Required,N<Required,No,No,Yes
17801,Puget Sound Educational Service District 121,27010,4575,Tacoma School District,Angelo Giaudrone Middle School,Reading,-28,-9.8,,-29,-26.3,-17.6,0,0,-70.8,,-30.8,No,N<Required,No,No,No,No,N<Required,N<Required,No,No,No,52.5,27.3,,45.9,51.4,57.9,,,15.3,,45.8,24.3,31.3,,17,5.3,29.5,,,-3.8,,25.6,FALSE,TRUE,,FALSE,FALSE,TRUE,,,FALSE,,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,TRUE,No,N<Required,No,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2940,Tacoma School District,Arlington,Math,-38.6,,-15.8,-31,-26.1,-21.3,-42.7,-27.5,-64.9,-18.3,-41.1,No,N/A,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,33.6,,,21.1,18.8,42.6,,,4,,33.7,16.7,,,15.6,28.7,16.1,,,11.3,,10.1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No,N/A,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2940,Tacoma School District,Arlington,Reading,-28.3,,-6.8,-21.8,0,-16.1,-42.3,-25,-63.7,-18.3,-32.7,No,N/A,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,44.8,,,31.6,,48.1,,,12,,41.3,17.6,,,13.4,,17.9,,,3.2,,11.5,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No,N/A,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3054,Tacoma School District,Baker,Math,-49.6,-43.5,-23.1,-52.5,-52.9,-40,-21.9,-3,,-55.3,-53.7,No,N<Required,No,No,No,No,N<Required,N<Required,No,No,No,35.6,20,,24.3,34,34.8,,,,15.9,31.8,11,2.8,,7.4,-2.2,17.7,,,,9.3,8.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,No,N<Required,No,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,3054,Tacoma School District,Baker,Reading,-37,-21.3,-14.4,-38.3,-44.4,-21.9,-22.9,-12.8,-78.8,,-41.2,No,N<Required,No,No,No,No,N<Required,N<Required,No,No,No,48.8,20,,46.3,41.5,49.4,,,7.7,,44.3,12.3,44.4,,-6.2,-2.4,29.9,,,1.8,,9.7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,TRUE,No,N<Required,No,No,No,Yes,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,3449,Tacoma School District,Birney,Math,-39.6,-100,-5.4,-32.2,-40,-19,-75,-100,,-36.4,-40.2,No,N<Required,N<Required,No,N<Required,No,N<Required,N<Required,No,N<Required,No,40.6,50,,18.5,24.1,56.6,,,,20.8,40.3,5.1,-100,,26.9,15.3,-10.2,,,,17.9,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,TRUE,FALSE,No,N<Required,N<Required,No,N<Required,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3449,Tacoma School District,Birney,Reading,-31,-100,0,-20.4,-24.5,,-100,-100,,-27.7,-36.1,No,N<Required,N<Required,No,N<Required,No,N<Required,N<Required,No,N<Required,No,49.7,50,,37,24.1,,,,,25,47.1,5.5,-100,,22.3,24.7,,,,,13.3,-4,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,,TRUE,FALSE,No,N<Required,N<Required,No,N<Required,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2094,Tacoma School District,Blix Elementary,Math,-50.1,-100,-10.9,,-53.4,-44.5,0,-100,-38.3,,-50.6,No,N<Required,N<Required,No,No,No,N<Required,N<Required,N<Required,No,No,36.6,50,,,28.8,27.9,,,7.4,,34.4,-1.1,-100,,,-6,4.2,,,21.1,,0.2,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,No,N<Required,N<Required,No,No,No,N<Required,N<Required,N<Required,No,No
