SchoolName,r14_over,r14_nati,r14_asi,r14_bla,r14_lati,r15_whi,r15_paci,r15_mul
Angelo Giaudrone Middle School,-28,-9.8,,-29,-26.3,-17.6,0,0
Arlington,-28.3,,-6.8,-21.8,0,-16.1,-42.3,-25
Baker,-37,-21.3,-14.4,-38.3,-44.4,-21.9,-22.9,-12.8
Birney,-31,-100,0,-20.4,-24.5,,-100,-100
Blix Elementary,-35,-100,-8,,-32.6,-17.1,0,0
Boze,-28.1,-20,-1.1,,-22.9,-13.6,0,
Browns Point,-8.6,0,0,-2.9,0,-6.3,-25,0
Bryant,-17.9,-50,0,,-31.3,,-50,0
Crescent Heights,-11.6,,0,0,-7.7,-6.1,0,0
Day Reporting School,0,,,0,,0,,
Delong,-24.4,-100,,-21.6,-8.3,-16.4,-33.3,
Downing,-11.5,,0,-13,0,-2.8,0,0
Edison,-28.4,,-0.8,,-18.1,-16,0,-35
Fawcett,-21,0,-1.9,-4.3,,-11.8,0,0
Fern Hill,-19.1,-100,,-2.9,-13.9,-7.6,-5.6,0
First Creek Middle School,-46.1,0,-22.9,-42.9,-49.7,-26.9,-44.8,-10.4
Foss,-19.1,0,-10.3,-17.4,-12.7,-7.4,0,0
Franklin,-23.7,,-50,,-12.8,,0,0
Fresh Start,-11,0,,0,,-1.6,,-100
Geiger,-23.3,-66.7,-0.8,-17.3,-31.3,-13.7,,0
Goodwill GED,-100,,,-100,,-100,,
Grant,-12.4,-50,0,-3.7,-14.1,-7,-50,-100
Gray,-34.1,-25,-4.4,-30.5,-32.4,-23.4,-16,-14.3
Helen Stafford,-13.5,-100,-0.4,-1.8,-7.3,,0,-0.5
Home Based,-89.3,-100,-100,-90,-100,-90.2,,-100
Jason Lee,-30.2,-8.9,-16.2,-42.2,-11.8,-12,-44.3,-31.5
Jefferson,-9.1,0,0,,-2.8,-1.8,-100,0
Larchmont,-18.6,0,-4.9,-14.2,,-4.2,-33.3,-25
Lincoln,-28.2,0,-20.3,-27.6,-18.8,-16.6,-13.2,-2.4
Lister,-32.9,0,,-33.1,,-15.7,-24.6,0
Lowell,-6.2,0,0,0,0,-4.7,0,0
Lyon,-31.3,,-24.9,-31,-19.3,-11.1,-50,-100
Pearl Street Center,-100,,,,,-100,,
Manitou Park,-24.6,-50,0,-19.9,-20.2,-8.1,0,0
Mann,-30.8,-50,-0.9,-30.8,,-15.7,-20,-34.3
Mason,-16.9,0,,-26.5,,-12.9,-5.6,-16.7
McCarver,-39.9,0,-11.8,-28.1,-31.2,-22.4,-100,-24.6
Meeker,-16.9,-14.1,,-20.5,,-11.7,0,-30.8
Mt Tahoma,-22.3,-13.5,-2.9,-26.8,-22.4,-13.4,0,0
Northeast Tacoma,-8.5,0,0,-0.6,0,-3.9,-100,0
Oakland High School,-9.1,,0,0,0,0,-100,
Point Defiance,-8.8,0,0,0,-0.7,-5.2,0,
Re-engagement Center,-13.4,0,0,-9,0,0,,
Reed,-28.3,,-14.3,,-18.7,,-100,0
Roosevelt,-30.9,-50,0,,-26.3,-19.8,-15.5,-66.7
Science and Math Institute,-2.9,0,0,-1,0,,0,0
Sheridan,-32.4,0,-16.9,-22.9,-29.8,,-33.3,0
Sherman,-10,0,0,-0.9,-3.1,-4.6,,0
Skyline,-16.6,-100,-11.1,-4.1,-20,-9.4,0,-14.3
Special Services,,-100,-100,0,-100,-100,,
Stadium,-7.8,0,0,-8.4,0,-3.2,-100,-2.6
Stanley,-9.2,0,0,-6.5,0,0,-60,-33.3
Stewart,-37.5,-11.9,,-36.7,-26.1,-29.1,-38.7,0
Tacoma Pierce County Education Center,-100,,,-100,,,,
Tacoma School of the Arts,,0,0,0,0,,0,
Truman,-19,-12.5,,-19.2,,-14.3,0,0
Washington-Hoyt,-1.3,,0,-0.8,0,,,0
Whitman,-37,-100,-15.7,-30.5,-28.8,-21.1,-25,0
Whittier,-10.3,,-1,,0,-3.9,0,0
Wilson,-10.6,0,0,-8.5,-2.1,-7.1,0,0
Taholah Elementary & Middle School,,,,,-55.4,,,-55.4
Taholah High School,-31,-30.1,,,,,,0
Cedar River Middle School,-13.1,-25,0,0,-4.2,-11.4,0,-4.1
Glacier Park Elementary,-3,,0,0,0,-1.9,0,0
Lake Wilderness Elementary,-8.2,-50,0,0,,-6.9,0,-1.2
Rock Creek Elementary,-6.6,,0,0,0,-4.9,-100,
Russell Ridge Center,-13.4,,,-100,,-5.9,,-100
Shadow Lake Elementary,-3.2,0,0,-25,-1.3,,,0
Tahoma Jr High,-17.7,0,0,-17,-19.1,-15.3,0,-7.9
Tahoma Middle School,-11.1,0,0,0,-16.8,-9.4,0,0
Tahoma Senior High School,,0,0,0,0,,0,0
