EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetAll,MetTargetAmericanIndian,MetTargetAsian,MetTargetBlack,MetTargetHispanic,MetTargetWhite,MetTargetPacificIslander,MetTargetTwoOrMoreRaces,MetTargetSpecialEd,MetTargetLtdEnglish,MetTargetLowIncome
17801,Puget Sound Educational Service District 121,27010,4283,Tacoma School District,Pearl Street Center,Reading,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17801,Puget Sound Educational Service District 121,27010,4575,Tacoma School District,Angelo Giaudrone Middle School,Math,-46.8,-39.4,,-57.9,-42.4,-33,-38.7,-9.7,,-82.8,-52.1,No,N<Required,No,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,4575,Tacoma School District,Angelo Giaudrone Middle School,Reading,-44.5,-23.1,,-53,-40.3,-33.5,-37.5,-17.3,,-88.8,-48.9,No,N<Required,No,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2940,Tacoma School District,Arlington,Math,-42.3,,-26.1,-27.1,-29.3,,-58.6,-42.6,-64.1,-49.1,-42.4,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2940,Tacoma School District,Arlington,Reading,-51.2,,-11.9,-54.8,-41.7,,-71.9,,-70.7,-54.4,-55.7,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3054,Tacoma School District,Baker,Math,-60.2,-55.9,-26,-64.6,-66.7,-47.3,,,,-70.3,-65.1,No,N<Required,No,No,No,No,No,No,No,No,No
17801,Puget Sound Educational Service District 121,27010,3054,Tacoma School District,Baker,Reading,-52.1,-55.9,-19,-52.3,-57.2,-41.6,,,,-65.9,-58,No,N<Required,No,No,No,No,No,No,No,No,No
17801,Puget Sound Educational Service District 121,27010,3449,Tacoma School District,Birney,Math,-51.1,,-7.9,-36.9,,,-66.6,-3.2,,-63,-48.4,No,N/A,N<Required,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3449,Tacoma School District,Birney,Reading,-49.6,,-0.8,-36.8,,,-18.2,0,,-70.9,-50.2,No,N/A,N<Required,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2094,Tacoma School District,Blix Elementary,Math,-63,,-19.6,-49,-69.6,-43.5,-29.9,,-52.3,,-66.7,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2094,Tacoma School District,Blix Elementary,Reading,-61.1,,-24.3,-35.7,,-43.5,-29.9,,-55.5,,-61.7,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,No,No
