SchoolName,Subject,r15_over,r15_nati,r15_asi,r15_bla,r15_lati,r15_whi,r15_paci,r15_mul
Pearl Street Center,Reading,,,,,,,,
Angelo Giaudrone Middle School,Reading,-44.5,-23.1,,-53,-40.3,-33.5,-37.5,-17.3
Arlington,Reading,-51.2,,-11.9,-54.8,-41.7,,-71.9,
Baker,Reading,-52.1,-55.9,-19,-52.3,-57.2,-41.6,,
Birney,Reading,-49.6,,-0.8,-36.8,,,-18.2,0
Blix Elementary,Reading,-61.1,,-24.3,-35.7,,-43.5,-29.9,
Boze,Reading,-46.2,,,,-48,,-20,
Browns Point,Reading,-20.4,-50,0,-4,-33.2,-16.2,0,-50
Bryant,Reading,-33.1,-50,-7.6,,-41.7,-23.1,0,-34.3
Crescent Heights,Reading,-26,0,0,-19.4,,-21.1,-1.3,0
Day Reporting School,Reading,,,,,,,,
Delong,Reading,-36.1,,0,-47,-16.1,-23.8,-25,
Downing,Reading,-17,0,0,-27,-25,,,0
Edison,Reading,-47.2,,-14.1,-48.4,-32.8,-33.6,0,-24.1
Fawcett,Reading,-41.8,-75,-18.8,-58,-33.3,-24.7,-19.6,-28.5
Fern Hill,Reading,-28.3,,-6.3,-17.6,-29.1,-10.2,-62.5,-22.2
First Creek Middle School,Reading,-59.6,-9.9,-38.2,-62.6,-63.3,-36.9,,-24.2
Foss,Reading,,,,,,,,
Franklin,Reading,-53.4,,-80,-34.9,-28.8,,,-63.6
Fresh Start,Reading,-30,,,-3.2,0,-31.6,,0
Geiger,Reading,-35.9,,-3.7,-21.6,-28.6,-23.3,,-33.3
Goodwill GED,Reading,,,,,,,,
Grant,Reading,-37.4,0,0,-37.4,-26.1,-30.8,,
Gray,Reading,-50.9,-25,-9.9,-51.6,-51.4,-40.7,,-8.7
Helen B. Stafford Elementary,Reading,-35.3,,-15.8,-59.2,-29.2,-0.5,-21.4,-9.5
Jason Lee,Reading,-55,-45.5,-19.9,-64.8,-36.9,-38.3,-60.5,-69.2
Jefferson,Reading,-30.4,,0,,-8.1,-21,,0
Larchmont,Reading,-49.7,0,-42.1,,-43.5,-24.5,-58.5,0
Lincoln,Reading,-72.1,0,-64.4,-71.9,-74.9,-55.7,-39.4,-36.2
Lister,Reading,-56.7,-50,-31,-61.3,,,-74.8,-38.7
Lowell,Reading,-8.8,0,0,-4.7,0,-5.2,-50,0
Lyon,Reading,-56.9,0,-31.9,-60,-43.9,-36.4,,
Manitou Park,Reading,-61.4,,0,-67.4,-55.7,-40.4,-29.6,-46.5
Mann,Reading,-47.9,-75,-0.9,-56.2,,-35.8,-42.8,-34.2
Mason,Reading,-27.5,-25,,-40.5,-23.9,-21.3,0,-0.6
McCarver,Reading,-52.9,,-54.3,-57.3,-40.6,,-50,-20.1
Meeker,Reading,-29.9,-29.8,-3.6,-42.9,,-22.3,-16.3,-7.9
Mt Tahoma,Reading,-77.7,-54.8,-59.9,-71.7,-75.8,-78,-63.9,-54.7
Northeast Tacoma,Reading,-28,0,0,-18.5,-22.7,-16.8,-24.5,0
Oakland High School,Reading,-80.3,,,-49.6,,-78.3,,
Point Defiance,Reading,-26.6,0,0,-1.7,-10.3,-24.6,,
Re-engagement Center,Reading,,,,,,,,
Reed,Reading,-58.2,,-28.1,-57.7,-51.4,,-1.3,-21.2
Roosevelt,Reading,-58.2,,0,-33.2,,,-71.4,-75
Science and Math Institute,Reading,-33.3,0,-19.5,-29.8,-21.8,-28,0,0
Sheridan,Reading,-53.4,0,,-50,-54.3,,-71.4,-24.5
Sherman,Reading,-36.6,-66.6,-2.4,-16.2,-9,-33.5,,-33.3
Skyline,Reading,-28.6,,-1.3,-39.4,0,-20.8,,0
Special Services,Reading,,,,,,,,
Stadium,Reading,-88.6,-24.5,-75.3,,-79.8,-87.4,,-73
Stanley,Reading,-29.9,,0,-25.4,-29.5,,,-40
Stewart,Reading,-43,-36.4,,-43.4,-45.5,-27.2,-24.7,-75
Tacoma School of the Arts,Reading,-13.9,0,0,-2.5,0,-10.2,,
Truman,Reading,-37.6,-51.6,,-45.1,,-30.8,-30,-50
Washington,Reading,-13.7,,0,-4.9,0,-9.7,,-25
Whitman,Reading,-59.4,,,-53.6,,-39.3,-43,
Whittier,Reading,-25.4,,-0.6,-27.8,-13.3,-13.3,-50,-0.9
Wilson,Reading,-51.4,,-31.5,-41.8,-31.5,-49.1,0,-16.3
Taholah Elementary & Middle School,Reading,,,,,-77.6,,,-90
Taholah High School,Reading,-34.9,-39.3,,,,,,0
Cedar River Middle School,Reading,-25.4,-41.9,,-1.2,-27.6,-23.4,0,-10.7
Glacier Park Elementary,Reading,-14.2,0,0,0,,-11.5,0,-4.4
Lake Wilderness Elementary,Reading,-21.1,0,-20,-56.8,,-15.7,0,
Rock Creek Elementary,Reading,-19.5,,-0.6,-26.2,,-17.4,0,-5.4
Russell Ridge Center,Reading,,,,,,-26.4,,-66.6
Shadow Lake Elementary,Reading,-22.7,,0,-41.9,-21.2,-16.8,0,-14.5
Tahoma Jr High,Reading,-22.7,0,-8.6,-13.9,-29.3,-18.8,0,-15.4
Tahoma Middle School,Reading,,0,-8.9,0,,,0,
Tahoma Senior High School,Reading,-74.5,,-58.2,-75,-81.2,-71.2,-8.9,-71.8
