,0
0,240.74190598973092
1,182.18116200992986
2,194.03505476791295
3,199.93933816872388
4,192.52768871342593
5,185.53374574319463
6,196.616013236559
7,199.41075385503098
8,211.643648189365
9,200.0447765246936
10,199.73431523950393
11,201.51614704463492
12,189.54196345432115
13,188.35250098203284
14,227.004998740464
15,201.91142404767282
16,232.0090040966358
17,264.64690704107824
18,270.67622074985866
19,292.2560760393865
20,260.36033803961277
21,297.7675988961337
22,197.15386697877975
23,197.41458740031587
24,209.71444442229654
25,216.36174753054658
26,242.6019824574917
27,200.30918127400017
28,288.2569421178368
29,346.17331943631757
30,230.13608082796574
31,250.31869558367055
32,266.4639909894046
33,300.5276995226671
34,287.59779975749126
