,0
0,265.8804527991754
1,200.87183916843853
2,209.75132278058535
3,200.39442031071783
4,198.3396019993071
5,199.42413736872825
6,200.92000443318076
7,217.09244331830843
8,233.4113307493234
9,201.26793100035005
10,203.98230399054648
11,207.78383886399618
12,201.4807533879388
13,213.26726078064786
14,279.4696969894142
15,274.0766447985246
16,290.91374735215476
17,313.16210481105765
18,318.02910370909683
19,347.3258419198296
20,295.47755912482614
21,354.1544773546311
22,205.20256412844108
23,218.06067303020376
24,224.92277578731444
25,290.4286858521257
26,298.4129012586538
27,209.0713030915645
28,342.0268812670508
29,328.44809777318085
30,297.5201809582359
31,301.9434461502978
32,319.6759568182241
33,348.3532287510569
34,363.429354276437
