,0
0,164.40138088443766
1,163.0549302456273
2,166.24622581429168
3,185.18065635633752
4,178.10534447403032
5,167.20068996008123
6,179.24624957094662
7,163.6923576626272
8,157.3131853069459
9,187.79961762747126
10,185.4577249169062
11,178.0518600522077
12,170.41710830441855
13,153.4052970190989
14,157.2020444445749
15,166.66117872857913
16,195.07135368665172
17,232.73273420651574
18,256.845073819021
19,281.9236762911765
20,188.6015425435977
21,268.85373233756457
22,179.5683841607108
23,155.4231426615201
24,168.7707699344906
25,173.65209372083984
26,178.999684860822
27,181.0102169333263
28,293.3088372562858
29,187.30616138938177
30,193.07913180902273
31,228.6768874782569
32,254.89339924977193
33,188.89421263308455
34,208.46945631827077
