,0
0,290.5149632265845
1,219.50721922035038
2,224.4296435678226
3,219.18143396574197
4,220.94056262036483
5,216.4330842348419
6,217.5653134166848
7,245.54667498392917
8,260.93186945260754
9,227.55529829288147
10,232.75263987739854
11,221.44003412548568
12,224.95080135761785
13,233.09655232448677
14,304.8480443343347
15,297.3653032928741
16,314.9427580697458
17,334.5737348532029
18,341.1288372494786
19,369.2185265592934
20,312.1313244620544
21,374.2318823384076
22,233.53615243770065
23,242.34852114362656
24,237.77112961722239
25,316.7704558545816
26,314.0537761207338
27,240.22466838058864
28,363.65604061077903
29,352.5056685847187
30,317.3080500499715
31,323.97730097136497
32,340.6054589776159
33,369.6956605286835
34,378.25667003973314
