,0
0,76.71459561539683
1,62.94618093546605
2,66.31821712396541
3,60.36703440706017
4,59.224974180346315
5,62.4932279887916
6,61.04220771107025
7,59.74664210782375
8,62.81399441913683
9,59.49474813624734
10,59.33110824236958
11,63.1563643462031
12,59.54263691539118
13,66.54706224452974
14,104.15949341824955
15,95.49185879747695
16,99.39258523546688
17,99.09818850286584
18,99.71417749017137
19,102.86280818082356
20,93.20999646678848
21,102.2646859025829
22,59.13146307285636
23,62.19235732867907
24,70.21921965102221
25,104.39276293988996
26,98.49121952165872
27,59.23507257810161
28,101.73865653192276
29,125.52855099859075
30,100.03819475387853
31,97.34424322323292
32,98.04705714951442
33,123.60948177682569
34,113.3396109751051
