,0
0,188.29478307169578
1,140.70983529140537
2,151.59111667408
3,145.64493440950204
4,140.28664960179168
5,142.08831408886462
6,145.76848921715555
7,144.18211209742864
8,152.67557469138694
9,143.32664600133182
10,143.04459784565876
11,152.03227735569547
12,139.96657719255532
13,148.1844358414134
14,182.62886484392308
15,173.52507665446322
16,176.81458580551427
17,217.1146353934243
18,204.52533378925267
19,250.67294898180265
20,242.5413611138112
21,290.46108213365176
22,142.11115850587274
23,147.16663375856004
24,164.90866778938374
25,173.16015156836872
26,224.23817261658127
27,143.3241483206746
28,197.94801242068533
29,249.5687622852425
30,168.00024284074053
31,178.52213525631322
32,182.91888071888204
33,221.7393918606755
34,199.20575982360555
