,0
0,258.90347263296457
1,164.22891316981153
2,172.07789194192134
3,161.1567670944957
4,157.2417393709628
5,162.81377887072634
6,162.7414294509917
7,171.46629499691534
8,192.7014704827734
9,158.15104768443555
10,158.69480431934238
11,169.49932930712998
12,159.4555424167027
13,181.80186239780727
14,230.69188159630087
15,226.61568448766866
16,274.53675691357347
17,364.78505922958783
18,375.19420791184046
19,453.63349201962836
20,348.8191380561186
21,503.0467234389892
22,159.39532419467378
23,180.42924609036945
24,183.6222018990309
25,241.9933050033958
26,300.213850472306
27,161.25023584204607
28,397.012203425248
29,267.8969787010882
30,268.98287620549365
31,316.80824089531916
32,346.68644813397276
33,278.94065990954687
34,307.98167625685585
