"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99","Total:!!1.00 to 1.24","Total:!!1.25 to 1.49","Total:!!1.50 to 1.84","Total:!!1.85 to 1.99","Total:!!2.00 and over"
"Block Group 1, Census Tract 602, Pierce County, Washington","","","","","","","",""
"    Estimate","664","45","28","8","10","55","4","514"
"    Margin of Error","±98","±27","±28","±10","±15","±16","±7","±100"
"Block Group 1, Census Tract 603, Pierce County, Washington","","","","","","","",""
"    Estimate","1,288","34","4","0","19","60","109","1,062"
"    Margin of Error","±186","±33","±5","±12","±20","±44","±96","±171"
"Block Group 2, Census Tract 603, Pierce County, Washington","","","","","","","",""
"    Estimate","1,140","49","0","180","13","148","28","722"
"    Margin of Error","±233","±56","±12","±204","±19","±128","±31","±181"
"Block Group 3, Census Tract 603, Pierce County, Washington","","","","","","","",""
"    Estimate","1,651","89","82","66","131","43","23","1,217"
"    Margin of Error","±242","±67","±53","±57","±127","±31","±28","±197"
"Block Group 1, Census Tract 604, Pierce County, Washington","","","","","","","",""
"    Estimate","709","65","0","0","11","0","0","633"
"    Margin of Error","±159","±80","±12","±12","±17","±12","±12","±142"
"Block Group 2, Census Tract 604, Pierce County, Washington","","","","","","","",""
"    Estimate","697","25","0","0","0","62","0","610"
"    Margin of Error","±122","±26","±12","±12","±12","±73","±12","±95"
"Block Group 3, Census Tract 604, Pierce County, Washington","","","","","","","",""
"    Estimate","787","12","8","8","0","90","0","669"
"    Margin of Error","±172","±19","±12","±11","±12","±140","±12","±153"
"Block Group 4, Census Tract 604, Pierce County, Washington","","","","","","","",""
"    Estimate","1,035","0","145","8","18","26","9","829"
"    Margin of Error","±245","±12","±158","±13","±28","±38","±14","±258"
"Block Group 5, Census Tract 604, Pierce County, Washington","","","","","","","",""
"    Estimate","757","49","10","105","24","9","0","560"
"    Margin of Error","±174","±50","±15","±113","±38","±14","±12","±158"
"Block Group 1, Census Tract 605, Pierce County, Washington","","","","","","","",""
"    Estimate","728","0","0","7","0","14","0","707"
"    Margin of Error","±159","±12","±12","±10","±12","±24","±12","±160"
"Block Group 2, Census Tract 605, Pierce County, Washington","","","","","","","",""
"    Estimate","850","27","0","0","0","0","0","823"
"    Margin of Error","±218","±39","±12","±12","±12","±12","±12","±217"
"Block Group 3, Census Tract 605, Pierce County, Washington","","","","","","","",""
"    Estimate","981","165","66","99","30","18","0","603"
"    Margin of Error","±265","±177","±57","±94","±47","±30","±12","±185"
"Block Group 4, Census Tract 605, Pierce County, Washington","","","","","","","",""
"    Estimate","556","0","1","0","0","39","9","507"
"    Margin of Error","±181","±12","±2","±12","±12","±45","±12","±176"
"Block Group 5, Census Tract 605, Pierce County, Washington","","","","","","","",""
"    Estimate","882","23","0","0","0","0","22","837"
"    Margin of Error","±238","±37","±12","±12","±12","±12","±34","±239"
