total,no_yr,nurs_scl,kndr,oneyr,twoyr,threeyr,fouryr,fiveyr,sixyr,sevenyr,eightyr,nineyr,tenyr,elevenyr,twelveyr_nd,twelveyr,GED,sub_thirteenyr,thirteenyr,fourteenyr,sixteenyr,eighteenyr,prof_scl,doctorate,id,id,Y2014_Ed_TTL,Y2014_Ed_Avg
563,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,43,0,33,88,30,223,98,24,14,530602001,530602001,8636.5,15.3401421
1186,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,206,10,30,233,64,345,155,104,35,530603001,530603001,17794,15.00337268
808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,272,41,40,134,110,111,73,5,12,530603002,530603002,11073,13.70420792
1193,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,164,54,74,190,182,317,144,45,10,530603003,530603003,17358,14.54987427
504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,6,8,49,18,167,115,81,38,530604001,530604001,8280,16.42857143
538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,11,25,41,28,202,129,58,5,530604002,530604002,8535.5,15.86524164
555,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,99,41,27,107,53,82,100,27,10,530604003,530604003,8047.5,14.5
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,203,8,33,143,202,177,60,17,0,530604004,530604004,11976,14.0234192
549,0,0,0,0,0,0,0,0,0,0,0,9,0,0,21,77,16,34,139,17,141,77,0,18,530604005,530604005,7910.5,14.40892532
584,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,29,8,42,39,88,208,83,55,7,530605001,530605001,8910,15.25684932
638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,20,124,44,217,135,61,11,530605002,530605002,10010,15.68965517
489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,32,22,86,49,125,66,29,0,530605003,530605003,7133,14.58691207
398,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,22,9,79,8,170,18,34,6,530605004,530605004,5819.5,14.6218593
684,15,0,0,0,0,0,0,0,0,0,0,0,24,0,15,34,25,0,24,19,269,112,70,77,530605005,530605005,10818.5,15.81652047
780,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,60,17,31,85,79,236,170,83,15,530606001,530606001,12183.5,15.61987179
967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,85,50,136,159,211,173,45,15,530606002,530606002,14355,14.84488108
600,19,0,0,0,0,0,0,0,0,0,13,0,0,0,0,122,0,28,61,33,200,106,18,0,530606003,530606003,8605,14.34166667
914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,211,0,4,164,34,181,260,12,16,530606004,530606004,13670,14.95623632
449,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,35,27,42,31,109,87,14,46,530606005,530606005,6723.5,14.97438753
421,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,61,23,0,126,11,145,39,0,0,530606006,530606006,5982,14.20902613
834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,45,0,101,11,356,125,43,53,530607001,530607001,12987,15.57194245
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,22,53,86,30,206,158,18,14,530607002,530607002,10552.5,15.09656652
800,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,14,0,106,75,153,166,73,51,530607003,530607003,12178,15.2225
507,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,117,36,30,45,0,148,31,18,16,530607004,530607004,7092,13.98816568
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,11,53,8,71,37,0,0,530607005,530607005,2980.5,14.9025
301,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,29,14,14,0,0,107,109,14,0,530607006,530607006,4729,15.71096346
523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,48,45,16,107,81,79,88,27,19,530608001,530608001,7704.5,14.73135755
538,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,115,8,0,141,27,142,61,12,19,530608002,530608002,7757,14.41821561
592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,9,21,180,83,153,16,15,28,530608003,530608003,8470.5,14.30827703
