est_tl,MOE_tl,est_tl_No schooling completed,MOE_tl_No schooling completed,est_tl_Nursery school,MOE_tl_Nursery school,est_tl_Kindergarten,MOE_tl_Kindergarten,est_tl_1st grade,MOE_tl_1st grade,est_tl_2nd grade,MOE_tl_2nd grade,est_tl_3rd grade,MOE_tl_3rd grade,est_tl_4th grade,MOE_tl_4th grade,est_tl_5th grade,MOE_tl_5th grade,est_tl_6th grade,MOE_tl_6th grade,est_tl_7th grade,MOE_tl_7th grade,est_tl_8th grade,MOE_tl_8th grade,est_tl_9th grade,MOE_tl_9th grade,est_tl_10th grade,MOE_tl_10th grade,est_tl_11th grade,MOE_tl_11th grade,"est_tl_12th grade, no diploma","MOE_tl_12th grade, no diploma",est_tl_Regular high school diploma,MOE_tl_Regular high school diploma,est_tl_GED or alternative credential,MOE_tl_GED or alternative credential,"est_tl_Some college, less than 1 year","MOE_tl_Some college, less than 1 year","est_tl_Some college, 1 or more years, no deg","MOE_tl_Some college, 1 or more years, no deg",est_tl_Associate's deg,MOE_tl_Associate's deg,est_tl_Bachelor's deg,MOE_tl_Bachelor's deg,est_tl_Master's deg,MOE_tl_Master's deg,est_tl_Professional school deg,MOE_tl_Professional school deg,est_tl_Doctorate deg,MOE_tl_Doctorate deg,id,Geographic Area Name
563,84,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,0,12,0,12,43,17,0,12,33,26,88,44,30,23,223,81,98,43,24,17,14,16,1500000US530530602001,"Block Group 1, Census Tract 602, Pierce County, Washington"
1186,173,2,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2,4,0,12,0,12,206,85,10,12,30,30,233,93,64,38,345,111,155,69,104,52,35,29,1500000US530530603001,"Block Group 1, Census Tract 603, Pierce County, Washington"
808,156,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,272,140,41,39,40,39,134,70,110,54,111,64,73,43,5,7,12,16,1500000US530530603002,"Block Group 2, Census Tract 603, Pierce County, Washington"
1193,160,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,6,3,5,0,12,6,7,0,12,164,61,54,44,74,31,190,69,182,66,317,81,144,44,45,29,10,9,1500000US530530603003,"Block Group 3, Census Tract 603, Pierce County, Washington"
504,108,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,12,12,18,6,11,8,13,49,43,18,19,167,75,115,52,81,38,38,41,1500000US530530604001,"Block Group 1, Census Tract 604, Pierce County, Washington"
538,104,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,39,33,11,18,25,28,41,26,28,22,202,122,129,49,58,49,5,9,1500000US530530604002,"Block Group 2, Census Tract 604, Pierce County, Washington"
555,98,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,13,0,12,99,49,41,48,27,22,107,52,53,42,82,39,100,39,27,26,10,15,1500000US530530604003,"Block Group 3, Census Tract 604, Pierce County, Washington"
854,253,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,17,203,168,8,13,33,27,143,100,202,157,177,78,60,47,17,19,0,12,1500000US530530604004,"Block Group 4, Census Tract 604, Pierce County, Washington"
549,96,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,13,0,12,0,12,21,19,77,56,16,25,34,27,139,76,17,16,141,63,77,35,0,12,18,15,1500000US530530604005,"Block Group 5, Census Tract 604, Pierce County, Washington"
584,129,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,40,0,12,0,12,29,41,8,12,42,28,39,44,88,55,208,62,83,46,55,36,7,11,1500000US530530605001,"Block Group 1, Census Tract 605, Pierce County, Washington"
