est_med_inc,moe_med_inc,id,Geographic Area Name
64324,20175,1500000US530530602001,"Block Group 1, Census Tract 602, Pierce County, Washington"
66484,26791,1500000US530530603001,"Block Group 1, Census Tract 603, Pierce County, Washington"
67292,21820,1500000US530530603002,"Block Group 2, Census Tract 603, Pierce County, Washington"
64554,5922,1500000US530530603003,"Block Group 3, Census Tract 603, Pierce County, Washington"
128750,52604,1500000US530530604001,"Block Group 1, Census Tract 604, Pierce County, Washington"
103750,25877,1500000US530530604002,"Block Group 2, Census Tract 604, Pierce County, Washington"
89659,19717,1500000US530530604003,"Block Group 3, Census Tract 604, Pierce County, Washington"
97227,22075,1500000US530530604004,"Block Group 4, Census Tract 604, Pierce County, Washington"
64866,15071,1500000US530530604005,"Block Group 5, Census Tract 604, Pierce County, Washington"
148500,52269,1500000US530530605001,"Block Group 1, Census Tract 605, Pierce County, Washington"
123438,16235,1500000US530530605002,"Block Group 2, Census Tract 605, Pierce County, Washington"
75417,27460,1500000US530530605003,"Block Group 3, Census Tract 605, Pierce County, Washington"
90469,38084,1500000US530530605004,"Block Group 4, Census Tract 605, Pierce County, Washington"
108542,39128,1500000US530530605005,"Block Group 5, Census Tract 605, Pierce County, Washington"
102308,23962,1500000US530530606001,"Block Group 1, Census Tract 606, Pierce County, Washington"
75088,15314,1500000US530530606002,"Block Group 2, Census Tract 606, Pierce County, Washington"
40037,15109,1500000US530530606003,"Block Group 3, Census Tract 606, Pierce County, Washington"
98277,33050,1500000US530530606004,"Block Group 4, Census Tract 606, Pierce County, Washington"
93387,60060,1500000US530530606005,"Block Group 5, Census Tract 606, Pierce County, Washington"
44688,49092,1500000US530530606006,"Block Group 6, Census Tract 606, Pierce County, Washington"
80521,40237,1500000US530530607001,"Block Group 1, Census Tract 607, Pierce County, Washington"
71607,61433,1500000US530530607002,"Block Group 2, Census Tract 607, Pierce County, Washington"
56447,19671,1500000US530530607003,"Block Group 3, Census Tract 607, Pierce County, Washington"
55962,28178,1500000US530530607004,"Block Group 4, Census Tract 607, Pierce County, Washington"
61462,18371,1500000US530530607005,"Block Group 5, Census Tract 607, Pierce County, Washington"
50000,45858,1500000US530530607006,"Block Group 6, Census Tract 607, Pierce County, Washington"
77961,32679,1500000US530530608001,"Block Group 1, Census Tract 608, Pierce County, Washington"
61425,26283,1500000US530530608002,"Block Group 2, Census Tract 608, Pierce County, Washington"
87500,15438,1500000US530530608003,"Block Group 3, Census Tract 608, Pierce County, Washington"
48672,26629,1500000US530530608004,"Block Group 4, Census Tract 608, Pierce County, Washington"
102344,35250,1500000US530530608005,"Block Group 5, Census Tract 608, Pierce County, Washington"
64250,30804,1500000US530530608006,"Block Group 6, Census Tract 608, Pierce County, Washington"
77917,9168,1500000US530530608007,"Block Group 7, Census Tract 608, Pierce County, Washington"
66438,11296,1500000US530530609031,"Block Group 1, Census Tract 609.03, Pierce County, Washington"
41184,4765,1500000US530530609032,"Block Group 2, Census Tract 609.03, Pierce County, Washington"
91625,31843,1500000US530530609033,"Block Group 3, Census Tract 609.03, Pierce County, Washington"
52206,16331,1500000US530530609041,"Block Group 1, Census Tract 609.04, Pierce County, Washington"
44120,10139,1500000US530530609042,"Block Group 2, Census Tract 609.04, Pierce County, Washington"
73125,79583,1500000US530530609043,"Block Group 3, Census Tract 609.04, Pierce County, Washington"
35679,11750,1500000US530530609044,"Block Group 4, Census Tract 609.04, Pierce County, Washington"
23997,2134,1500000US530530609051,"Block Group 1, Census Tract 609.05, Pierce County, Washington"
50691,8779,1500000US530530609052,"Block Group 2, Census Tract 609.05, Pierce County, Washington"
59186,14668,1500000US530530609053,"Block Group 3, Census Tract 609.05, Pierce County, Washington"
75313,38554,1500000US530530609054,"Block Group 4, Census Tract 609.05, Pierce County, Washington"
110625,43802,1500000US530530609055,"Block Group 5, Census Tract 609.05, Pierce County, Washington"
65000,5773,1500000US530530609061,"Block Group 1, Census Tract 609.06, Pierce County, Washington"
58125,12430,1500000US530530609062,"Block Group 2, Census Tract 609.06, Pierce County, Washington"
32083,6439,1500000US530530610011,"Block Group 1, Census Tract 610.01, Pierce County, Washington"
74091,57322,1500000US530530610012,"Block Group 2, Census Tract 610.01, Pierce County, Washington"
100958,13117,1500000US530530610013,"Block Group 3, Census Tract 610.01, Pierce County, Washington"
37024,12444,1500000US530530610021,"Block Group 1, Census Tract 610.02, Pierce County, Washington"
102708,35795,1500000US530530610022,"Block Group 2, Census Tract 610.02, Pierce County, Washington"
30476,8420,1500000US530530610023,"Block Group 3, Census Tract 610.02, Pierce County, Washington"
