est_ttl,est_ttl_ml_sub5,est_ttl_ml_sub10,est_ttl_ml_sub15,est_ttl_fl_sub5,est_ttl_fl_sub10,est_ttl_fl_sub15,id,Geographic Area Name,elem,mdl
665,0,19,23,0,0,8,1500000US530530602001,"Block Group 1, Census Tract 602, Pierce County, Washington",19,31
1371,14,11,0,14,26,20,1500000US530530603001,"Block Group 1, Census Tract 603, Pierce County, Washington",37,20
1140,73,0,47,0,42,50,1500000US530530603002,"Block Group 2, Census Tract 603, Pierce County, Washington",42,97
1655,61,11,12,34,60,43,1500000US530530603003,"Block Group 3, Census Tract 603, Pierce County, Washington",71,55
709,11,58,7,21,29,10,1500000US530530604001,"Block Group 1, Census Tract 604, Pierce County, Washington",87,17
697,18,35,9,14,30,0,1500000US530530604002,"Block Group 2, Census Tract 604, Pierce County, Washington",65,9
811,28,20,55,31,36,14,1500000US530530604003,"Block Group 3, Census Tract 604, Pierce County, Washington",56,69
1035,16,53,35,0,0,6,1500000US530530604004,"Block Group 4, Census Tract 604, Pierce County, Washington",53,41
757,37,31,6,19,44,16,1500000US530530604005,"Block Group 5, Census Tract 604, Pierce County, Washington",75,22
728,11,21,29,22,51,0,1500000US530530605001,"Block Group 1, Census Tract 605, Pierce County, Washington",72,29
850,14,50,25,48,29,10,1500000US530530605002,"Block Group 2, Census Tract 605, Pierce County, Washington",79,35
981,28,35,8,48,0,17,1500000US530530605003,"Block Group 3, Census Tract 605, Pierce County, Washington",35,25
556,0,29,35,0,0,60,1500000US530530605004,"Block Group 4, Census Tract 605, Pierce County, Washington",29,95
882,15,42,48,14,24,32,1500000US530530605005,"Block Group 5, Census Tract 605, Pierce County, Washington",66,80
1124,0,31,34,15,16,35,1500000US530530606001,"Block Group 1, Census Tract 606, Pierce County, Washington",47,69
1255,36,0,66,0,25,31,1500000US530530606002,"Block Group 2, Census Tract 606, Pierce County, Washington",25,97
816,32,36,0,0,15,47,1500000US530530606003,"Block Group 3, Census Tract 606, Pierce County, Washington",51,47
1194,41,12,26,16,16,25,1500000US530530606004,"Block Group 4, Census Tract 606, Pierce County, Washington",28,51
571,0,28,0,31,46,0,1500000US530530606005,"Block Group 5, Census Tract 606, Pierce County, Washington",74,0
619,12,23,15,0,29,13,1500000US530530606006,"Block Group 6, Census Tract 606, Pierce County, Washington",52,28
1136,45,0,43,87,33,12,1500000US530530607001,"Block Group 1, Census Tract 607, Pierce County, Washington",33,55
982,9,22,54,0,22,33,1500000US530530607002,"Block Group 2, Census Tract 607, Pierce County, Washington",44,87
1265,69,17,10,42,19,14,1500000US530530607003,"Block Group 3, Census Tract 607, Pierce County, Washington",36,24
816,61,7,0,0,0,8,1500000US530530607004,"Block Group 4, Census Tract 607, Pierce County, Washington",7,8
1485,0,0,8,0,9,0,1500000US530530607005,"Block Group 5, Census Tract 607, Pierce County, Washington",9,8
698,29,15,0,18,0,0,1500000US530530607006,"Block Group 6, Census Tract 607, Pierce County, Washington",15,0
765,0,53,38,14,20,21,1500000US530530608001,"Block Group 1, Census Tract 608, Pierce County, Washington",73,59
643,14,0,12,0,26,0,1500000US530530608002,"Block Group 2, Census Tract 608, Pierce County, Washington",26,12
739,13,59,57,0,18,0,1500000US530530608003,"Block Group 3, Census Tract 608, Pierce County, Washington",77,57
527,0,0,59,16,0,17,1500000US530530608004,"Block Group 4, Census Tract 608, Pierce County, Washington",0,76
850,0,77,0,65,0,65,1500000US530530608005,"Block Group 5, Census Tract 608, Pierce County, Washington",77,65
1037,15,0,139,0,0,30,1500000US530530608006,"Block Group 6, Census Tract 608, Pierce County, Washington",0,169
588,14,15,0,14,0,28,1500000US530530608007,"Block Group 7, Census Tract 608, Pierce County, Washington",15,28
1083,77,54,114,57,35,124,1500000US530530609031,"Block Group 1, Census Tract 609.03, Pierce County, Washington",89,238
1008,0,12,15,18,26,12,1500000US530530609032,"Block Group 2, Census Tract 609.03, Pierce County, Washington",38,27
1248,32,30,0,17,66,34,1500000US530530609033,"Block Group 3, Census Tract 609.03, Pierce County, Washington",96,34
