id,Y14_elem,Y14_mdl
530602001,19,31
530603001,37,20
530603002,42,97
530603003,71,55
530604001,87,17
530604002,65,9
530604003,56,69
530604004,53,41
530604005,75,22
530605001,72,29
530605002,79,35
530605003,35,25
530605004,29,95
530605005,66,80
530606001,47,69
530606002,25,97
530606003,51,47
530606004,28,51
530606005,74,0
530606006,52,28
530607001,33,55
530607002,44,87
530607003,36,24
530607004,7,8
530607005,9,8
530607006,15,0
530608001,73,59
530608002,26,12
530608003,77,57
530608004,0,76
530608005,77,65
530608006,0,169
530608007,15,28
530609031,89,238
530609032,38,27
530609033,96,34
530609041,14,65
530609042,170,87
530609043,31,38
530609044,54,77
530609051,39,61
530609052,0,0
530609053,40,50
530609054,34,108
530609055,36,0
530609061,80,62
530609062,55,20
530610011,33,20
530610012,34,37
530610013,96,51
530610021,202,51
530610022,0,106
530610023,0,0
530610024,0,0
530611001,86,173
530611002,33,0
530611003,89,26
530611004,0,0
530611005,36,60
530611006,24,133
530611007,46,63
530612001,223,102
530612002,32,12
530612003,81,33
530612004,13,40
530612005,19,10
530612006,8,53
530613001,30,24
530613002,88,112
530613003,27,90
530613004,31,86
530613005,53,26
530613006,115,51
530614001,48,73
530614002,16,17
530614003,61,154
530615001,0,16
530615002,15,41
530615003,15,0
530615004,30,30
530616011,15,21
530616021,43,36
530617001,50,12
530617002,98,150
530617003,102,42
530617004,9,8
530617005,0,57
530618001,75,111
530618002,37,71
530618003,11,11
530619001,16,64
530619002,22,22
530620001,15,59
530620002,93,102
530620003,69,89
530620004,53,64
530623001,119,48
530623002,140,145
530623003,126,133
530623004,38,31
530624001,0,51
530624002,44,49
530624003,128,110
530624004,86,8
530624005,125,58
530625001,136,139
530625002,40,278
530625003,0,6
530625004,154,62
530625005,73,162
530625006,0,0
530625007,94,122
530626001,113,31
530626002,185,53
530628011,83,0
530628012,244,272
530628013,82,39
530628014,14,0
530628021,100,155
530628022,55,63
530628023,8,61
530629001,104,197
530629002,79,66
530629003,29,20
530629004,13,12
530629005,110,28
530629006,41,55
530630001,61,81
530630002,66,135
530631001,25,38
530631002,103,85
530631003,132,28
530631004,83,74
530632001,34,49
530632002,209,99
530632003,29,83
530632004,77,29
530632005,21,27
530633001,119,59
530633002,413,218
530633003,80,44
530633004,114,61
530633005,73,116
530634001,339,80
530634002,257,135
530634003,38,67
530634004,33,15
530634005,216,64
530634006,94,98
530635011,20,94
530635012,43,68
530635013,23,50
530635014,149,136
530635021,15,128
530635022,157,133
530635023,33,178
530701001,14,37
530701002,0,0
530701003,91,139
530701004,42,79
530702031,267,203
530702032,146,306
530702033,84,48
530702041,134,150
530702042,153,54
530702051,170,123
530702052,13,153
530702061,87,144
530702062,77,102
530702063,39,126
530702071,31,184
530702072,43,87
530702073,37,70
530702074,41,112
530703071,123,109
530703072,92,194
530703073,203,229
530703081,151,107
530703082,140,36
530703091,33,59
530703092,157,171
530703093,174,115
530703101,63,179
530703102,84,9
530703103,172,227
530703104,24,48
530703111,133,177
530703112,106,86
530703113,212,326
530703121,94,144
530703122,149,372
530703123,91,234
530703131,83,74
530703132,77,23
530703133,76,31
530703134,0,42
530703135,19,64
530703141,153,71
530703142,47,77
530703151,89,26
530703152,130,173
530703153,132,86
530703154,189,24
530703161,57,68
