id,Y14_busi,Y14_sci,Y14_edleg,Y14_health,Y14_serve,Y14_saleoff,Y14_extract,Y14_logist
530602001,0.251764706,0.063529412,0.122352941,0.124705882,0.075294118,0.301176471,0.051764706,0
530603001,0.137667304,0,0.233269598,0.216061185,0.084130019,0.229445507,0.034416826,0
530603002,0.225,0.123214286,0.035714286,0.060714286,0.158928571,0.233928571,0.067857143,0.035714286
530603003,0.129538763,0.014720314,0.209028459,0.084396467,0.207065751,0.177625123,0.096172718,0.015701668
530604001,0.251515152,0.066666667,0.245454545,0.227272727,0.042424242,0.057575758,0.042424242,0.042424242
530604002,0.17679558,0.110497238,0.267955801,0.198895028,0.096685083,0.033149171,0.093922652,0
530604003,0.140583554,0.071618037,0.291777188,0.153846154,0.230769231,0.037135279,0.074270557,0
530604004,0.142857143,0.052767053,0.073359073,0.072072072,0.12998713,0.338481338,0.25997426,0.01029601
530604005,0.301333333,0.018666667,0.042666667,0.098666667,0.098666667,0.282666667,0.032,0
530605001,0.219948849,0.166240409,0.117647059,0.230179028,0,0.202046036,0,0
530605002,0.390243902,0,0.131707317,0.187804878,0.036585366,0.143902439,0.175609756,0
530605003,0.143396226,0.058490566,0.203773585,0.028301887,0.149056604,0.330188679,0,0
530605004,0.216129032,0.029032258,0.24516129,0.058064516,0.119354839,0.229032258,0.112903226,0.041935484
530605005,0.225433526,0.02504817,0.283236994,0.125240848,0.157996146,0.096339114,0.05973025,0.028901734
530606001,0.366108787,0.094142259,0.225941423,0.062761506,0.039748954,0.175732218,0.071129707,0
530606002,0.203757225,0,0.128612717,0.018786127,0.163294798,0.212427746,0.346820809,0
530606003,0.33974359,0,0.213675214,0.076923077,0.128205128,0.170940171,0.064102564,0
530606004,0.24028777,0.097841727,0.238848921,0.017266187,0.056115108,0.169784173,0.18705036,0
530606005,0.141065831,0.150470219,0.278996865,0.163009404,0.10031348,0.094043887,0.072100313,0.072100313
530606006,0.302816901,0.038732394,0.123239437,0.052816901,0.253521127,0.228873239,0,0
530607001,0.277701778,0.016415869,0.10123119,0.069767442,0.14500684,0.283173735,0.082079343,0.021887825
530607002,0.229411765,0.052941176,0.131372549,0.02745098,0.229411765,0.243137255,0.1,0.01372549
530607003,0.123342175,0.045092838,0.156498674,0.108753316,0.184350133,0.237400531,0.025198939,0.025198939
