"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"665","98","1500000US530530602001","Block Group 1, Census Tract 602, Pierce County, Washington"
"1371","196","1500000US530530603001","Block Group 1, Census Tract 603, Pierce County, Washington"
"1140","233","1500000US530530603002","Block Group 2, Census Tract 603, Pierce County, Washington"
"1655","243","1500000US530530603003","Block Group 3, Census Tract 603, Pierce County, Washington"
"709","159","1500000US530530604001","Block Group 1, Census Tract 604, Pierce County, Washington"
"697","122","1500000US530530604002","Block Group 2, Census Tract 604, Pierce County, Washington"
"811","172","1500000US530530604003","Block Group 3, Census Tract 604, Pierce County, Washington"
"1035","245","1500000US530530604004","Block Group 4, Census Tract 604, Pierce County, Washington"
"757","174","1500000US530530604005","Block Group 5, Census Tract 604, Pierce County, Washington"
"728","159","1500000US530530605001","Block Group 1, Census Tract 605, Pierce County, Washington"
"850","218","1500000US530530605002","Block Group 2, Census Tract 605, Pierce County, Washington"
"981","265","1500000US530530605003","Block Group 3, Census Tract 605, Pierce County, Washington"
"556","181","1500000US530530605004","Block Group 4, Census Tract 605, Pierce County, Washington"
"882","238","1500000US530530605005","Block Group 5, Census Tract 605, Pierce County, Washington"
"1124","311","1500000US530530606001","Block Group 1, Census Tract 606, Pierce County, Washington"
"1255","286","1500000US530530606002","Block Group 2, Census Tract 606, Pierce County, Washington"
"816","276","1500000US530530606003","Block Group 3, Census Tract 606, Pierce County, Washington"
"1194","358","1500000US530530606004","Block Group 4, Census Tract 606, Pierce County, Washington"
"571","178","1500000US530530606005","Block Group 5, Census Tract 606, Pierce County, Washington"
"619","254","1500000US530530606006","Block Group 6, Census Tract 606, Pierce County, Washington"
"1136","368","1500000US530530607001","Block Group 1, Census Tract 607, Pierce County, Washington"
"982","237","1500000US530530607002","Block Group 2, Census Tract 607, Pierce County, Washington"
"1265","409","1500000US530530607003","Block Group 3, Census Tract 607, Pierce County, Washington"
"816","308","1500000US530530607004","Block Group 4, Census Tract 607, Pierce County, Washington"
"1485","306","1500000US530530607005","Block Group 5, Census Tract 607, Pierce County, Washington"
"698","212","1500000US530530607006","Block Group 6, Census Tract 607, Pierce County, Washington"
"765","217","1500000US530530608001","Block Group 1, Census Tract 608, Pierce County, Washington"
"643","157","1500000US530530608002","Block Group 2, Census Tract 608, Pierce County, Washington"
"739","283","1500000US530530608003","Block Group 3, Census Tract 608, Pierce County, Washington"
"527","189","1500000US530530608004","Block Group 4, Census Tract 608, Pierce County, Washington"
"850","290","1500000US530530608005","Block Group 5, Census Tract 608, Pierce County, Washington"
"1037","303","1500000US530530608006","Block Group 6, Census Tract 608, Pierce County, Washington"
"588","135","1500000US530530608007","Block Group 7, Census Tract 608, Pierce County, Washington"
"1083","478","1500000US530530609031","Block Group 1, Census Tract 609.03, Pierce County, Washington"
"1008","177","1500000US530530609032","Block Group 2, Census Tract 609.03, Pierce County, Washington"
"1248","235","1500000US530530609033","Block Group 3, Census Tract 609.03, Pierce County, Washington"
"650","261","1500000US530530609041","Block Group 1, Census Tract 609.04, Pierce County, Washington"
"2406","457","1500000US530530609042","Block Group 2, Census Tract 609.04, Pierce County, Washington"
"750","328","1500000US530530609043","Block Group 3, Census Tract 609.04, Pierce County, Washington"
"1260","296","1500000US530530609044","Block Group 4, Census Tract 609.04, Pierce County, Washington"
"1961","378","1500000US530530609051","Block Group 1, Census Tract 609.05, Pierce County, Washington"
"854","300","1500000US530530609052","Block Group 2, Census Tract 609.05, Pierce County, Washington"
"781","245","1500000US530530609053","Block Group 3, Census Tract 609.05, Pierce County, Washington"
"1736","355","1500000US530530609054","Block Group 4, Census Tract 609.05, Pierce County, Washington"
"1105","260","1500000US530530609055","Block Group 5, Census Tract 609.05, Pierce County, Washington"
"1632","161","1500000US530530609061","Block Group 1, Census Tract 609.06, Pierce County, Washington"
"723","175","1500000US530530609062","Block Group 2, Census Tract 609.06, Pierce County, Washington"
"1017","223","1500000US530530610011","Block Group 1, Census Tract 610.01, Pierce County, Washington"
"803","165","1500000US530530610012","Block Group 2, Census Tract 610.01, Pierce County, Washington"
"1875","267","1500000US530530610013","Block Group 3, Census Tract 610.01, Pierce County, Washington"
"1813","492","1500000US530530610021","Block Group 1, Census Tract 610.02, Pierce County, Washington"
"836","299","1500000US530530610022","Block Group 2, Census Tract 610.02, Pierce County, Washington"
"938","200","1500000US530530610023","Block Group 3, Census Tract 610.02, Pierce County, Washington"
"605","232","1500000US530530610024","Block Group 4, Census Tract 610.02, Pierce County, Washington"
"1299","394","1500000US530530611001","Block Group 1, Census Tract 611, Pierce County, Washington"
"494","220","1500000US530530611002","Block Group 2, Census Tract 611, Pierce County, Washington"
"784","354","1500000US530530611003","Block Group 3, Census Tract 611, Pierce County, Washington"
"779","272","1500000US530530611004","Block Group 4, Census Tract 611, Pierce County, Washington"
"1103","341","1500000US530530611005","Block Group 5, Census Tract 611, Pierce County, Washington"
"1442","457","1500000US530530611006","Block Group 6, Census Tract 611, Pierce County, Washington"
"1033","344","1500000US530530611007","Block Group 7, Census Tract 611, Pierce County, Washington"
"1896","612","1500000US530530612001","Block Group 1, Census Tract 612, Pierce County, Washington"
"595","197","1500000US530530612002","Block Group 2, Census Tract 612, Pierce County, Washington"
"794","338","1500000US530530612003","Block Group 3, Census Tract 612, Pierce County, Washington"
"896","275","1500000US530530612004","Block Group 4, Census Tract 612, Pierce County, Washington"
"677","193","1500000US530530612005","Block Group 5, Census Tract 612, Pierce County, Washington"
"844","296","1500000US530530612006","Block Group 6, Census Tract 612, Pierce County, Washington"
"670","183","1500000US530530613001","Block Group 1, Census Tract 613, Pierce County, Washington"
"1074","355","1500000US530530613002","Block Group 2, Census Tract 613, Pierce County, Washington"
"913","257","1500000US530530613003","Block Group 3, Census Tract 613, Pierce County, Washington"
"672","313","1500000US530530613004","Block Group 4, Census Tract 613, Pierce County, Washington"
