Y2015_Total,Y2015_0,Y2015_0.25,Y2015_0.5,Y2015_1,Y2015_2,Y2015_3,Y2015_4,Y2015_5,Y2015_6,Y2015_7,Y2015_8,Y2015_9,Y2015_10,Y2015_11,Y2015_11.5,Y2015_12,Y2015_GED,Y2015_12.5,"Y2015_Some college, 13",Y2015_14,Y2015_16,Y2015_18,Y2015_Prf,Y2015_20,id,newid
807,0,0,0,0,0,0,0,0,0,0,20,21,0,20,0,108,41,27,144,58,209,116,19,24,1500000US530530602001,530602001
1139,1,0,0,0,0,0,0,0,0,0,0,2,2,6,0,176,18,47,188,69,249,223,104,54,1500000US530530603001,530603001
819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,228,43,47,108,99,220,41,0,25,1500000US530530603002,530603002
1222,0,0,0,0,0,0,0,0,0,0,5,5,11,12,2,216,55,83,182,165,279,145,40,22,1500000US530530603003,530603003
498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,8,10,62,11,163,106,68,34,1500000US530530604001,530604001
548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,35,41,35,224,135,19,7,1500000US530530604002,530604002
508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,30,32,88,58,103,86,6,11,1500000US530530604003,530604003
751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,140,0,34,163,107,228,58,8,0,1500000US530530604004,530604004
592,0,0,0,0,0,0,0,0,0,0,0,7,0,0,25,62,29,48,135,41,133,92,0,20,1500000US530530604005,530604005
635,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,27,10,89,42,94,187,68,62,25,1500000US530530605001,530605001
684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44,0,22,83,101,226,145,39,12,1500000US530530605002,530605002
454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,18,12,112,55,92,82,19,0,1500000US530530605003,530605003
366,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,10,78,11,146,7,30,24,1500000US530530605004,530605004
711,15,0,0,0,0,0,0,0,0,0,0,0,0,0,18,70,0,0,34,21,317,81,69,86,1500000US530530605005,530605005
841,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,85,27,27,89,43,252,193,108,14,1500000US530530606001,530606001
931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,65,59,156,137,181,157,55,15,1500000US530530606002,530606002
573,15,0,0,0,0,0,0,0,0,0,17,0,0,0,11,114,12,28,73,30,202,41,16,14,1500000US530530606003,530606003
643,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,72,0,0,120,40,188,165,18,12,1500000US530530606004,530606004
494,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,33,13,0,78,103,65,14,26,1500000US530530606005,530606005
480,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,81,22,0,208,0,91,58,0,0,1500000US530530606006,530606006
784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,40,0,59,15,304,166,50,18,1500000US530530607001,530607001
690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,22,27,104,31,198,167,22,30,1500000US530530607002,530607002
770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,14,0,116,67,208,117,95,20,1500000US530530607003,530607003
636,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,93,38,31,61,52,146,49,17,15,1500000US530530607004,530607004
214,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,39,0,9,63,0,54,36,0,0,1500000US530530607005,530607005
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,18,14,0,143,118,13,0,1500000US530530607006,530607006
552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,66,13,117,50,104,83,24,16,1500000US530530608001,530608001
561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,16,0,164,30,87,65,0,37,1500000US530530608002,530608002
646,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,13,11,216,93,145,31,11,32,1500000US530530608003,530608003
428,0,0,0,0,0,0,0,0,0,0,0,0,23,37,0,36,63,45,82,0,95,23,24,0,1500000US530530608004,530608004
488,0,0,0,0,15,0,0,0,0,0,0,0,0,16,51,100,14,78,34,12,145,13,10,0,1500000US530530608005,530608005
677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,244,14,60,26,43,170,90,13,0,1500000US530530608006,530608006
428,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,50,14,56,74,94,73,34,11,8,1500000US530530608007,530608007
576,0,0,0,0,0,0,0,0,0,0,2,0,40,2,19,171,0,27,143,20,128,7,8,9,1500000US530530609031,530609031
915,0,0,0,8,0,10,0,0,0,0,0,0,3,7,36,255,51,89,193,86,70,107,0,0,1500000US530530609032,530609032
952,10,0,0,0,0,0,0,0,0,0,10,10,13,17,0,163,10,52,112,123,219,147,44,22,1500000US530530609033,530609033
558,0,0,0,0,0,0,0,0,0,0,37,0,0,70,14,112,15,38,74,143,55,0,0,0,1500000US530530609041,530609041
1250,0,0,0,0,0,0,0,0,0,0,0,31,27,76,18,144,14,102,385,104,225,89,0,35,1500000US530530609042,530609042
690,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,126,73,0,67,126,260,10,0,0,1500000US530530609043,530609043
1146,0,0,0,0,0,0,0,31,0,14,38,12,0,12,86,299,24,102,184,91,215,38,0,0,1500000US530530609044,530609044
1464,0,0,0,0,0,0,13,0,15,0,35,0,0,70,63,326,57,185,211,170,178,131,0,10,1500000US530530609051,530609051
750,0,0,0,0,0,0,0,0,21,0,0,0,0,5,0,231,68,40,78,62,166,63,0,16,1500000US530530609052,530609052
671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,16,64,140,72,188,44,12,0,1500000US530530609053,530609053
1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,301,35,33,173,112,251,48,50,17,1500000US530530609054,530609054
1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,39,98,186,143,204,74,55,51,1500000US530530609055,530609055
1222,8,0,0,0,0,0,0,0,0,5,0,13,7,5,5,306,31,109,271,110,218,110,18,6,1500000US530530609061,530609061
525,0,5,0,0,0,0,0,0,0,0,0,5,13,20,6,89,12,31,90,32,141,57,10,14,1500000US530530609062,530609062
741,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,177,28,103,96,81,154,66,0,0,1500000US530530610011,530610011
694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,16,76,43,177,73,69,17,1500000US530530610012,530610012
1452,8,0,0,0,0,0,0,0,0,0,15,0,0,26,17,310,40,55,194,171,256,247,84,29,1500000US530530610013,530610013
1501,34,0,0,0,85,0,40,108,9,6,11,0,98,128,40,308,63,179,157,67,85,63,0,20,1500000US530530610021,530610021
580,18,0,0,0,0,0,11,0,10,0,0,0,7,84,0,100,0,74,109,14,153,0,0,0,1500000US530530610022,530610022
856,0,0,0,0,0,0,0,0,0,0,0,24,0,28,76,154,37,93,118,51,143,118,14,0,1500000US530530610023,530610023
439,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,84,14,79,161,15,66,11,0,0,1500000US530530610024,530610024
696,0,0,0,0,0,0,0,0,0,0,0,0,21,11,13,121,17,40,193,52,152,59,0,17,1500000US530530611001,530611001
367,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,164,15,32,46,49,46,0,0,0,1500000US530530611002,530611002
513,0,0,0,0,0,0,0,0,20,0,6,0,6,23,44,187,0,25,74,0,108,20,0,0,1500000US530530611003,530611003
656,0,0,0,0,0,0,0,0,15,0,0,0,16,16,14,140,52,99,113,0,163,0,0,28,1500000US530530611004,530611004
776,0,0,0,0,0,0,0,0,0,0,0,0,44,8,16,230,33,43,153,51,150,16,32,0,1500000US530530611005,530611005
1081,18,0,0,0,0,0,22,0,0,0,0,0,24,0,0,227,22,54,265,144,154,124,27,0,1500000US530530611006,530611006
773,0,0,0,0,0,0,0,0,0,0,16,0,0,15,29,313,16,11,157,61,120,11,24,0,1500000US530530611007,530611007
860,0,0,0,0,9,0,0,0,10,0,0,0,5,0,39,247,26,10,191,115,116,92,0,0,1500000US530530612001,530612001
533,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,117,19,32,82,99,131,9,0,10,1500000US530530612002,530612002
640,0,0,0,0,0,0,0,0,0,11,34,8,12,47,41,98,29,25,72,52,184,17,0,10,1500000US530530612003,530612003
625,0,0,0,0,0,0,0,0,10,0,20,9,37,37,8,202,50,11,39,18,144,24,16,0,1500000US530530612004,530612004
476,0,0,0,0,0,0,0,0,0,0,9,0,8,9,17,101,24,30,85,9,113,71,0,0,1500000US530530612005,530612005
596,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,159,0,41,82,85,117,66,29,0,1500000US530530612006,530612006
579,29,0,0,0,4,0,0,0,3,7,19,7,3,13,8,190,30,28,101,24,79,6,19,9,1500000US530530613001,530613001
673,20,0,0,0,0,0,16,11,0,0,0,0,0,7,15,109,48,46,147,51,159,31,0,13,1500000US530530613002,530613002
609,9,0,0,0,0,0,0,0,13,0,0,6,7,42,40,209,35,46,61,42,74,4,0,21,1500000US530530613003,530613003
428,12,0,0,0,0,0,0,0,0,0,0,0,0,8,7,94,40,10,114,0,81,57,0,5,1500000US530530613004,530613004
472,38,0,0,0,0,0,0,0,3,13,0,0,5,0,0,157,86,21,60,17,50,22,0,0,1500000US530530613005,530613005
510,14,0,0,0,0,0,0,0,0,8,11,12,31,26,17,91,38,11,74,27,91,49,0,10,1500000US530530613006,530613006
605,0,0,0,0,11,0,12,0,5,0,0,29,19,36,7,121,72,35,135,53,54,16,0,0,1500000US530530614001,530614001
1172,44,0,0,0,0,0,0,15,19,0,35,32,49,155,19,188,253,98,162,37,53,8,5,0,1500000US530530614002,530614002
622,39,0,0,0,10,0,0,32,0,0,15,14,40,31,12,125,72,37,65,45,62,23,0,0,1500000US530530614003,530614003
1372,14,0,0,0,0,0,0,0,0,0,0,0,54,0,0,224,26,33,228,144,375,190,54,30,1500000US530530615001,530615001
998,0,0,0,0,0,0,0,0,0,0,0,17,0,68,0,147,18,80,112,170,205,122,59,0,1500000US530530615002,530615002
718,18,0,0,0,0,0,0,0,0,0,17,7,19,14,0,150,0,39,192,17,120,57,53,15,1500000US530530615003,530615003
758,8,0,0,0,0,0,0,0,3,2,0,0,0,36,69,52,85,14,160,101,160,60,0,8,1500000US530530615004,530615004
1612,37,0,0,0,0,0,0,30,68,0,13,0,21,54,18,257,65,102,328,87,251,201,74,6,1500000US530530616011,530616011
