id,newid,Y2015_Ed_TTL,Y2015_Ed_Avg
1500000US530530602001,530602001,11632.5,14.41449814
1500000US530530603001,530603001,17379.5,15.25856014
1500000US530530603002,530603002,11479.5,14.01648352
1500000US530530603003,530603003,17549.5,14.36129296
1500000US530530604001,530604001,8030,16.12449799
1500000US530530604002,530604002,8580.5,15.65784672
1500000US530530604003,530604003,7368,14.50393701
1500000US530530604004,530604004,10707.5,14.25765646
1500000US530530604005,530604005,8555.5,14.45185811
1500000US530530605001,530605001,9560.5,15.05590551
1500000US530530605002,530605002,10602,15.5
1500000US530530605003,530605003,6650,14.64757709
1500000US530530605004,530605004,5387,14.71857923
1500000US530530605005,530605005,11275,15.85794655
1500000US530530606001,530606001,13194.5,15.68906064
1500000US530530606002,530606002,13747.5,14.76638024
1500000US530530606003,530606003,8031.5,14.01657941
1500000US530530606004,530606004,9841,15.30482115
1500000US530530606005,530606005,7004.5,14.1791498
1500000US530530606006,530606006,6640,13.83333333
1500000US530530607001,530607001,12153,15.50127551
1500000US530530607002,530607002,10625.5,15.39927536
1500000US530530607003,530607003,11754,15.26493506
1500000US530530607004,530607004,8778.5,13.80267296
1500000US530530607005,530607005,3054.5,14.27336449
1500000US530530607006,530607006,5797,15.75271739
1500000US530530608001,530608001,8033.5,14.55344203
1500000US530530608002,530608002,7990,14.24242424
1500000US530530608003,530608003,9223.5,14.27786378
1500000US530530608004,530608004,5819.5,13.59696262
1500000US530530608005,530608005,6479.5,13.27766393
1500000US530530608006,530608006,9555.5,14.11447563
1500000US530530608007,530608007,6038,14.10747664
1500000US530530609031,530609031,7683,13.33854167
1500000US530530609032,530609032,12102.5,13.22677596
1500000US530530609033,530609033,13773,14.46743697
1500000US530530609041,530609041,7070,12.6702509
1500000US530530609042,530609042,17126,13.7008
1500000US530530609043,530609043,9606,13.92173913
1500000US530530609044,530609044,14727,12.85078534
1500000US530530609051,530609051,19354,13.21994536
1500000US530530609052,530609052,10261,13.68133333
1500000US530530609053,530609053,9456,14.0923994
1500000US530530609054,530609054,14577,14.05689489
1500000US530530609055,530609055,14615,14.49900794
1500000US530530609061,530609061,16716,13.6792144
1500000US530530609062,530609062,7424.75,14.14238095
1500000US530530610011,530610011,10191,13.75303644
1500000US530530610012,530610012,10194,14.68876081
1500000US530530610013,530610013,21039,14.48966942
1500000US530530610021,530610021,16464.5,10.96902065
1500000US530530610022,530610022,7284,12.55862069
1500000US530530610023,530610023,11764.5,13.74357477
1500000US530530610024,530610024,5810.5,13.2357631
1500000US530530611001,530611001,9707.5,13.94755747
1500000US530530611002,530611002,4733,12.89645777
1500000US530530611003,530611003,6593.5,12.85282651
1500000US530530611004,530611004,8765.5,13.36204268
1500000US530530611005,530611005,10372.5,13.36662371
1500000US530530611006,530611006,14634,13.53746531
1500000US530530611007,530611007,10157,13.13971539
1500000US530530612001,530612001,11582.5,13.46802326
1500000US530530612002,530612002,7321,13.73545966
1500000US530530612003,530612003,8480,13.25
1500000US530530612004,530612004,8114.5,12.9832
1500000US530530612005,530612005,6638.5,13.94642857
1500000US530530612006,530612006,8445.5,14.17030201
1500000US530530613001,530613001,7088,12.2417962
1500000US530530613002,530613002,8814.5,13.09732541
1500000US530530613003,530613003,7684,12.61740558
1500000US530530613004,530613004,5805.5,13.56425234
1500000US530530613005,530613005,5551.5,11.76165254
1500000US530530613006,530613006,6607,12.95490196
1500000US530530614001,530614001,7430,12.28099174
1500000US530530614002,530614002,13393.5,11.42790102
1500000US530530614003,530614003,7012.5,11.27411576
1500000US530530615001,530615001,19924.5,14.52223032
1500000US530530615002,530615002,14255,14.28356713
1500000US530530615003,530615003,9764.5,13.59958217
1500000US530530615004,530615004,10334.5,13.63390501
1500000US530530616011,530616011,21380,13.2630273
1500000US530530616021,530616021,7138.5,13.44350282
1500000US530530617001,530617001,8975,13.43562874
1500000US530530617002,530617002,7656.5,12.91146712
1500000US530530617003,530617003,7027,13.56563707
1500000US530530617004,530617004,4554.5,11.2179803
1500000US530530617005,530617005,10239,12.87924528
1500000US530530618001,530618001,8023,12.67456556
1500000US530530618002,530618002,7859,11.92564492
1500000US530530618003,530618003,5317,12.78125
1500000US530530619001,530619001,8574.5,13.25270479
1500000US530530619002,530619002,9413,13.16503497
1500000US530530620001,530620001,7979.5,11.39928571
1500000US530530620002,530620002,7779,12.23113208
1500000US530530620003,530620003,7700.5,12.40016103
1500000US530530620004,530620004,11052,11.6459431
1500000US530530623001,530623001,11275.5,12.72629797
1500000US530530623002,530623002,9178.5,11.48748436
1500000US530530623003,530623003,9961,12.5138191
1500000US530530623004,530623004,8124,12.8748019
1500000US530530624001,530624001,12653.5,11.79263747
