Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!No schooling completed,Margin of Error!!Total!!No schooling completed,Estimate!!Total!!Nursery school,Margin of Error!!Total!!Nursery school,Estimate!!Total!!Kindergarten,Margin of Error!!Total!!Kindergarten,Estimate!!Total!!1st grade,Margin of Error!!Total!!1st grade,Estimate!!Total!!2nd grade,Margin of Error!!Total!!2nd grade,Estimate!!Total!!3rd grade,Margin of Error!!Total!!3rd grade,Estimate!!Total!!4th grade,Margin of Error!!Total!!4th grade,Estimate!!Total!!5th grade,Margin of Error!!Total!!5th grade,Estimate!!Total!!6th grade,Margin of Error!!Total!!6th grade,Estimate!!Total!!7th grade,Margin of Error!!Total!!7th grade,Estimate!!Total!!8th grade,Margin of Error!!Total!!8th grade,Estimate!!Total!!9th grade,Margin of Error!!Total!!9th grade,Estimate!!Total!!10th grade,Margin of Error!!Total!!10th grade,Estimate!!Total!!11th grade,Margin of Error!!Total!!11th grade,"Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma",Estimate!!Total!!Regular high school diploma,Margin of Error!!Total!!Regular high school diploma,Estimate!!Total!!GED or alternative credential,Margin of Error!!Total!!GED or alternative credential,"Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree",Estimate!!Total!!Associate's degree,Margin of Error!!Total!!Associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Master's degree,Margin of Error!!Total!!Master's degree,Estimate!!Total!!Professional school degree,Margin of Error!!Total!!Professional school degree,Estimate!!Total!!Doctorate degree,Margin of Error!!Total!!Doctorate degree,id,Geographic Area Name
807,148,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,47,21,23,0,12,20,23,0,12,108,71,41,33,27,18,144,58,58,27,209,69,116,39,19,20,24,15,1500000US530530602001,"Block Group 1, Census Tract 602, Pierce County, Washington"
1139,187,1,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2,4,2,5,6,11,0,12,176,71,18,18,47,38,188,72,69,42,249,95,223,72,104,46,54,43,1500000US530530603001,"Block Group 1, Census Tract 603, Pierce County, Washington"
819,172,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,11,228,142,43,35,47,39,108,51,99,48,220,127,41,30,0,12,25,22,1500000US530530603002,"Block Group 2, Census Tract 603, Pierce County, Washington"
1222,172,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,5,6,11,13,12,13,2,4,216,70,55,41,83,36,182,56,165,64,279,73,145,46,40,22,22,23,1500000US530530603003,"Block Group 3, Census Tract 603, Pierce County, Washington"
498,111,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,10,30,28,8,12,10,17,62,47,11,18,163,75,106,51,68,34,34,38,1500000US530530604001,"Block Group 1, Census Tract 604, Pierce County, Washington"
548,122,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,52,45,0,12,35,31,41,27,35,26,224,107,135,59,19,23,7,11,1500000US530530604002,"Block Group 2, Census Tract 604, Pierce County, Washington"
508,92,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,94,48,30,36,32,25,88,48,58,41,103,41,86,48,6,11,11,18,1500000US530530604003,"Block Group 3, Census Tract 604, Pierce County, Washington"
751,183,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,20,140,82,0,12,34,27,163,125,107,93,228,93,58,45,8,13,0,12,1500000US530530604004,"Block Group 4, Census Tract 604, Pierce County, Washington"
592,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12,0,12,0,12,25,24,62,36,29,32,48,41,135,72,41,29,133,52,92,47,0,12,20,23,1500000US530530604005,"Block Group 5, Census Tract 604, Pierce County, Washington"
635,133,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,31,47,0,12,0,12,27,42,10,15,89,54,42,46,94,61,187,66,68,35,62,38,25,23,1500000US530530605001,"Block Group 1, Census Tract 605, Pierce County, Washington"
684,154,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,19,44,30,0,12,22,24,83,50,101,98,226,99,145,75,39,30,12,18,1500000US530530605002,"Block Group 2, Census Tract 605, Pierce County, Washington"
