id,newid,Y15_Income
1500000US530530602001,530602001,78382
1500000US530530603001,530603001,66587
1500000US530530603002,530603002,85250
1500000US530530603003,530603003,65313
1500000US530530604001,530604001,127961
1500000US530530604002,530604002,100833
1500000US530530604003,530604003,95268
1500000US530530604004,530604004,76750
1500000US530530604005,530604005,76667
1500000US530530605001,530605001,120625
1500000US530530605002,530605002,123250
1500000US530530605003,530605003,66563
1500000US530530605004,530605004,85000
1500000US530530605005,530605005,103667
1500000US530530606001,530606001,110250
1500000US530530606002,530606002,76250
1500000US530530606003,530606003,36500
1500000US530530606004,530606004,83516
1500000US530530606005,530606005,97015
1500000US530530606006,530606006,36045
1500000US530530607001,530607001,68125
1500000US530530607002,530607002,65729
1500000US530530607003,530607003,52181
1500000US530530607004,530607004,73309
1500000US530530607005,530607005,61389
1500000US530530607006,530607006,58462
1500000US530530608001,530608001,73594
1500000US530530608002,530608002,61890
1500000US530530608003,530608003,85452
1500000US530530608004,530608004,51047
1500000US530530608005,530608005,89911
1500000US530530608006,530608006,100256
1500000US530530608007,530608007,76563
1500000US530530609031,530609031,75368
1500000US530530609032,530609032,40531
1500000US530530609033,530609033,85114
1500000US530530609041,530609041,67929
1500000US530530609042,530609042,59938
1500000US530530609043,530609043,null
1500000US530530609044,530609044,32480
1500000US530530609051,530609051,24296
1500000US530530609052,530609052,50147
1500000US530530609053,530609053,69293
1500000US530530609054,530609054,67868
1500000US530530609055,530609055,115119
1500000US530530609061,530609061,65993
1500000US530530609062,530609062,63000
1500000US530530610011,530610011,39167
1500000US530530610012,530610012,81406
1500000US530530610013,530610013,97361
1500000US530530610021,530610021,22727
1500000US530530610022,530610022,108250
1500000US530530610023,530610023,37730
1500000US530530610024,530610024,58409
1500000US530530611001,530611001,64009
1500000US530530611002,530611002,44615
1500000US530530611003,530611003,50852
1500000US530530611004,530611004,24917
1500000US530530611005,530611005,70735
1500000US530530611006,530611006,73750
1500000US530530611007,530611007,53000
1500000US530530612001,530612001,52989
1500000US530530612002,530612002,75714
1500000US530530612003,530612003,69688
1500000US530530612004,530612004,51129
1500000US530530612005,530612005,71033
1500000US530530612006,530612006,61250
1500000US530530613001,530613001,19213
1500000US530530613002,530613002,47750
1500000US530530613003,530613003,45729
1500000US530530613004,530613004,47188
1500000US530530613005,530613005,35357
1500000US530530613006,530613006,57031
1500000US530530614001,530614001,14619
1500000US530530614002,530614002,19891
