Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),id,Geographic Area Name
78382,7359,1500000US530530602001,"Block Group 1, Census Tract 602, Pierce County, Washington"
66587,16907,1500000US530530603001,"Block Group 1, Census Tract 603, Pierce County, Washington"
85250,43189,1500000US530530603002,"Block Group 2, Census Tract 603, Pierce County, Washington"
65313,6211,1500000US530530603003,"Block Group 3, Census Tract 603, Pierce County, Washington"
127961,54045,1500000US530530604001,"Block Group 1, Census Tract 604, Pierce County, Washington"
100833,21642,1500000US530530604002,"Block Group 2, Census Tract 604, Pierce County, Washington"
95268,21871,1500000US530530604003,"Block Group 3, Census Tract 604, Pierce County, Washington"
76750,34022,1500000US530530604004,"Block Group 4, Census Tract 604, Pierce County, Washington"
76667,17019,1500000US530530604005,"Block Group 5, Census Tract 604, Pierce County, Washington"
120625,49694,1500000US530530605001,"Block Group 1, Census Tract 605, Pierce County, Washington"
123250,32206,1500000US530530605002,"Block Group 2, Census Tract 605, Pierce County, Washington"
66563,27252,1500000US530530605003,"Block Group 3, Census Tract 605, Pierce County, Washington"
85000,29708,1500000US530530605004,"Block Group 4, Census Tract 605, Pierce County, Washington"
103667,22775,1500000US530530605005,"Block Group 5, Census Tract 605, Pierce County, Washington"
110250,33638,1500000US530530606001,"Block Group 1, Census Tract 606, Pierce County, Washington"
76250,17995,1500000US530530606002,"Block Group 2, Census Tract 606, Pierce County, Washington"
36500,16348,1500000US530530606003,"Block Group 3, Census Tract 606, Pierce County, Washington"
83516,76286,1500000US530530606004,"Block Group 4, Census Tract 606, Pierce County, Washington"
97015,27857,1500000US530530606005,"Block Group 5, Census Tract 606, Pierce County, Washington"
36045,9478,1500000US530530606006,"Block Group 6, Census Tract 606, Pierce County, Washington"
68125,25116,1500000US530530607001,"Block Group 1, Census Tract 607, Pierce County, Washington"
65729,57791,1500000US530530607002,"Block Group 2, Census Tract 607, Pierce County, Washington"
52181,21139,1500000US530530607003,"Block Group 3, Census Tract 607, Pierce County, Washington"
73309,29579,1500000US530530607004,"Block Group 4, Census Tract 607, Pierce County, Washington"
61389,21097,1500000US530530607005,"Block Group 5, Census Tract 607, Pierce County, Washington"
58462,52809,1500000US530530607006,"Block Group 6, Census Tract 607, Pierce County, Washington"
73594,39027,1500000US530530608001,"Block Group 1, Census Tract 608, Pierce County, Washington"
61890,19024,1500000US530530608002,"Block Group 2, Census Tract 608, Pierce County, Washington"
85452,4142,1500000US530530608003,"Block Group 3, Census Tract 608, Pierce County, Washington"
51047,25075,1500000US530530608004,"Block Group 4, Census Tract 608, Pierce County, Washington"
