id,newid,Y15_Pop
1500000US530530602001,530602001,1020
1500000US530530603001,530603001,1258
1500000US530530603002,530603002,1236
1500000US530530603003,530603003,1658
1500000US530530604001,530604001,692
1500000US530530604002,530604002,702
1500000US530530604003,530604003,760
1500000US530530604004,530604004,999
1500000US530530604005,530604005,754
1500000US530530605001,530605001,817
1500000US530530605002,530605002,979
1500000US530530605003,530605003,859
1500000US530530605004,530605004,574
1500000US530530605005,530605005,890
1500000US530530606001,530606001,1246
1500000US530530606002,530606002,1217
1500000US530530606003,530606003,819
1500000US530530606004,530606004,863
1500000US530530606005,530606005,557
1500000US530530606006,530606006,642
1500000US530530607001,530607001,1084
1500000US530530607002,530607002,952
1500000US530530607003,530607003,1213
1500000US530530607004,530607004,1048
1500000US530530607005,530607005,1415
1500000US530530607006,530607006,772
1500000US530530608001,530608001,787
1500000US530530608002,530608002,618
1500000US530530608003,530608003,787
1500000US530530608004,530608004,523
1500000US530530608005,530608005,823
1500000US530530608006,530608006,991
1500000US530530608007,530608007,578
1500000US530530609031,530609031,1053
1500000US530530609032,530609032,1083
1500000US530530609033,530609033,1328
1500000US530530609041,530609041,819
1500000US530530609042,530609042,1808
1500000US530530609043,530609043,1061
1500000US530530609044,530609044,1433
1500000US530530609051,530609051,2103
1500000US530530609052,530609052,965
1500000US530530609053,530609053,983
1500000US530530609054,530609054,1582
1500000US530530609055,530609055,1165
1500000US530530609061,530609061,1627
1500000US530530609062,530609062,686
1500000US530530610011,530610011,1025
1500000US530530610012,530610012,928
1500000US530530610013,530610013,1843
1500000US530530610021,530610021,1853
1500000US530530610022,530610022,775
1500000US530530610023,530610023,1101
1500000US530530610024,530610024,544
1500000US530530611001,530611001,1345
1500000US530530611002,530611002,522
1500000US530530611003,530611003,586
1500000US530530611004,530611004,724
1500000US530530611005,530611005,996
1500000US530530611006,530611006,1402
1500000US530530611007,530611007,1190
1500000US530530612001,530612001,1409
1500000US530530612002,530612002,686
1500000US530530612003,530612003,936
1500000US530530612004,530612004,853
1500000US530530612005,530612005,631
1500000US530530612006,530612006,962
1500000US530530613001,530613001,760
1500000US530530613002,530613002,1059
1500000US530530613003,530613003,918
1500000US530530613004,530613004,780
1500000US530530613005,530613005,771
1500000US530530613006,530613006,897
1500000US530530614001,530614001,973
1500000US530530614002,530614002,1569
1500000US530530614003,530614003,1057
1500000US530530615001,530615001,1647
1500000US530530615002,530615002,1412
1500000US530530615003,530615003,894
1500000US530530615004,530615004,1047
1500000US530530616011,530616011,1925
1500000US530530616021,530616021,846
1500000US530530617001,530617001,1101
1500000US530530617002,530617002,989
1500000US530530617003,530617003,855
1500000US530530617004,530617004,528
1500000US530530617005,530617005,1096
