Estimate!!Total,Margin of Error!!Total,id,Geographic Area Name
1020,231,1500000US530530602001,"Block Group 1, Census Tract 602, Pierce County, Washington"
1258,215,1500000US530530603001,"Block Group 1, Census Tract 603, Pierce County, Washington"
1236,256,1500000US530530603002,"Block Group 2, Census Tract 603, Pierce County, Washington"
1658,265,1500000US530530603003,"Block Group 3, Census Tract 603, Pierce County, Washington"
692,163,1500000US530530604001,"Block Group 1, Census Tract 604, Pierce County, Washington"
702,155,1500000US530530604002,"Block Group 2, Census Tract 604, Pierce County, Washington"
760,166,1500000US530530604003,"Block Group 3, Census Tract 604, Pierce County, Washington"
999,256,1500000US530530604004,"Block Group 4, Census Tract 604, Pierce County, Washington"
754,145,1500000US530530604005,"Block Group 5, Census Tract 604, Pierce County, Washington"
817,184,1500000US530530605001,"Block Group 1, Census Tract 605, Pierce County, Washington"
979,266,1500000US530530605002,"Block Group 2, Census Tract 605, Pierce County, Washington"
859,273,1500000US530530605003,"Block Group 3, Census Tract 605, Pierce County, Washington"
574,194,1500000US530530605004,"Block Group 4, Census Tract 605, Pierce County, Washington"
890,229,1500000US530530605005,"Block Group 5, Census Tract 605, Pierce County, Washington"
1246,338,1500000US530530606001,"Block Group 1, Census Tract 606, Pierce County, Washington"
1217,299,1500000US530530606002,"Block Group 2, Census Tract 606, Pierce County, Washington"
819,242,1500000US530530606003,"Block Group 3, Census Tract 606, Pierce County, Washington"
863,295,1500000US530530606004,"Block Group 4, Census Tract 606, Pierce County, Washington"
557,167,1500000US530530606005,"Block Group 5, Census Tract 606, Pierce County, Washington"
642,303,1500000US530530606006,"Block Group 6, Census Tract 606, Pierce County, Washington"
1084,324,1500000US530530607001,"Block Group 1, Census Tract 607, Pierce County, Washington"
952,246,1500000US530530607002,"Block Group 2, Census Tract 607, Pierce County, Washington"
1213,415,1500000US530530607003,"Block Group 3, Census Tract 607, Pierce County, Washington"
1048,337,1500000US530530607004,"Block Group 4, Census Tract 607, Pierce County, Washington"
1415,311,1500000US530530607005,"Block Group 5, Census Tract 607, Pierce County, Washington"
772,258,1500000US530530607006,"Block Group 6, Census Tract 607, Pierce County, Washington"
787,231,1500000US530530608001,"Block Group 1, Census Tract 608, Pierce County, Washington"
618,170,1500000US530530608002,"Block Group 2, Census Tract 608, Pierce County, Washington"
787,289,1500000US530530608003,"Block Group 3, Census Tract 608, Pierce County, Washington"
523,216,1500000US530530608004,"Block Group 4, Census Tract 608, Pierce County, Washington"
823,245,1500000US530530608005,"Block Group 5, Census Tract 608, Pierce County, Washington"
991,324,1500000US530530608006,"Block Group 6, Census Tract 608, Pierce County, Washington"
578,167,1500000US530530608007,"Block Group 7, Census Tract 608, Pierce County, Washington"
1053,523,1500000US530530609031,"Block Group 1, Census Tract 609.03, Pierce County, Washington"
1083,211,1500000US530530609032,"Block Group 2, Census Tract 609.03, Pierce County, Washington"
1328,225,1500000US530530609033,"Block Group 3, Census Tract 609.03, Pierce County, Washington"
819,491,1500000US530530609041,"Block Group 1, Census Tract 609.04, Pierce County, Washington"
1808,443,1500000US530530609042,"Block Group 2, Census Tract 609.04, Pierce County, Washington"
1061,520,1500000US530530609043,"Block Group 3, Census Tract 609.04, Pierce County, Washington"
1433,300,1500000US530530609044,"Block Group 4, Census Tract 609.04, Pierce County, Washington"
2103,390,1500000US530530609051,"Block Group 1, Census Tract 609.05, Pierce County, Washington"
965,383,1500000US530530609052,"Block Group 2, Census Tract 609.05, Pierce County, Washington"
983,352,1500000US530530609053,"Block Group 3, Census Tract 609.05, Pierce County, Washington"
1582,364,1500000US530530609054,"Block Group 4, Census Tract 609.05, Pierce County, Washington"
1165,269,1500000US530530609055,"Block Group 5, Census Tract 609.05, Pierce County, Washington"
1627,154,1500000US530530609061,"Block Group 1, Census Tract 609.06, Pierce County, Washington"
686,115,1500000US530530609062,"Block Group 2, Census Tract 609.06, Pierce County, Washington"
1025,204,1500000US530530610011,"Block Group 1, Census Tract 610.01, Pierce County, Washington"
928,208,1500000US530530610012,"Block Group 2, Census Tract 610.01, Pierce County, Washington"
1843,267,1500000US530530610013,"Block Group 3, Census Tract 610.01, Pierce County, Washington"
1853,543,1500000US530530610021,"Block Group 1, Census Tract 610.02, Pierce County, Washington"
775,234,1500000US530530610022,"Block Group 2, Census Tract 610.02, Pierce County, Washington"
1101,249,1500000US530530610023,"Block Group 3, Census Tract 610.02, Pierce County, Washington"
544,260,1500000US530530610024,"Block Group 4, Census Tract 610.02, Pierce County, Washington"
1345,374,1500000US530530611001,"Block Group 1, Census Tract 611, Pierce County, Washington"
522,252,1500000US530530611002,"Block Group 2, Census Tract 611, Pierce County, Washington"
586,218,1500000US530530611003,"Block Group 3, Census Tract 611, Pierce County, Washington"
724,248,1500000US530530611004,"Block Group 4, Census Tract 611, Pierce County, Washington"
996,270,1500000US530530611005,"Block Group 5, Census Tract 611, Pierce County, Washington"
1402,447,1500000US530530611006,"Block Group 6, Census Tract 611, Pierce County, Washington"
1190,383,1500000US530530611007,"Block Group 7, Census Tract 611, Pierce County, Washington"
1409,367,1500000US530530612001,"Block Group 1, Census Tract 612, Pierce County, Washington"
686,215,1500000US530530612002,"Block Group 2, Census Tract 612, Pierce County, Washington"
936,369,1500000US530530612003,"Block Group 3, Census Tract 612, Pierce County, Washington"
853,305,1500000US530530612004,"Block Group 4, Census Tract 612, Pierce County, Washington"
631,186,1500000US530530612005,"Block Group 5, Census Tract 612, Pierce County, Washington"
962,254,1500000US530530612006,"Block Group 6, Census Tract 612, Pierce County, Washington"
760,200,1500000US530530613001,"Block Group 1, Census Tract 613, Pierce County, Washington"
1059,286,1500000US530530613002,"Block Group 2, Census Tract 613, Pierce County, Washington"
918,220,1500000US530530613003,"Block Group 3, Census Tract 613, Pierce County, Washington"
780,285,1500000US530530613004,"Block Group 4, Census Tract 613, Pierce County, Washington"
