Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",id,Geographic Area Name
1020,231,888,214,10,6,0,12,89,53,30,10,0,12,3,5,0,12,3,5,1500000US530530602001,"Block Group 1, Census Tract 602, Pierce County, Washington"
1258,215,1225,220,2,4,0,12,23,24,0,12,0,12,8,12,0,12,8,12,1500000US530530603001,"Block Group 1, Census Tract 603, Pierce County, Washington"
1236,256,1083,238,112,128,0,12,0,12,0,12,0,12,41,82,4,6,37,82,1500000US530530603002,"Block Group 2, Census Tract 603, Pierce County, Washington"
1658,265,1436,258,35,30,13,15,39,37,50,75,3,5,82,45,13,19,69,32,1500000US530530603003,"Block Group 3, Census Tract 603, Pierce County, Washington"
692,163,627,177,0,12,0,12,45,74,0,12,0,12,20,23,0,12,20,23,1500000US530530604001,"Block Group 1, Census Tract 604, Pierce County, Washington"
702,155,651,140,7,12,0,12,13,20,0,12,0,12,31,39,0,12,31,39,1500000US530530604002,"Block Group 2, Census Tract 604, Pierce County, Washington"
760,166,667,143,0,12,0,12,41,55,0,12,8,14,44,38,15,25,29,29,1500000US530530604003,"Block Group 3, Census Tract 604, Pierce County, Washington"
999,256,866,203,0,12,0,12,7,11,0,12,8,12,118,124,0,12,118,124,1500000US530530604004,"Block Group 4, Census Tract 604, Pierce County, Washington"
754,145,722,151,0,12,0,12,9,15,0,12,0,12,23,22,0,12,23,22,1500000US530530604005,"Block Group 5, Census Tract 604, Pierce County, Washington"
817,184,785,186,0,12,0,12,14,20,0,12,0,12,18,20,0,12,18,20,1500000US530530605001,"Block Group 1, Census Tract 605, Pierce County, Washington"
979,266,949,267,0,12,0,12,13,21,0,12,0,12,17,19,0,12,17,19,1500000US530530605002,"Block Group 2, Census Tract 605, Pierce County, Washington"
859,273,756,257,16,25,0,12,8,14,0,12,0,12,79,93,0,12,79,93,1500000US530530605003,"Block Group 3, Census Tract 605, Pierce County, Washington"
574,194,418,132,26,45,10,17,27,27,0,12,0,12,93,82,0,12,93,82,1500000US530530605004,"Block Group 4, Census Tract 605, Pierce County, Washington"
890,229,832,233,8,12,0,12,14,22,11,16,0,12,25,26,0,12,25,26,1500000US530530605005,"Block Group 5, Census Tract 605, Pierce County, Washington"
1246,338,1208,326,0,12,13,23,9,15,0,12,1,4,15,24,14,24,1,4,1500000US530530606001,"Block Group 1, Census Tract 606, Pierce County, Washington"
1217,299,929,273,52,80,31,38,127,116,0,12,0,12,78,99,0,12,78,99,1500000US530530606002,"Block Group 2, Census Tract 606, Pierce County, Washington"
819,242,741,249,36,40,0,12,42,39,0,12,0,12,0,12,0,12,0,12,1500000US530530606003,"Block Group 3, Census Tract 606, Pierce County, Washington"
863,295,739,285,34,55,14,24,46,73,0,12,0,12,30,33,0,12,30,33,1500000US530530606004,"Block Group 4, Census Tract 606, Pierce County, Washington"
557,167,516,162,0,12,0,12,13,23,0,12,0,12,28,33,0,12,28,33,1500000US530530606005,"Block Group 5, Census Tract 606, Pierce County, Washington"
642,303,642,303,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530606006,"Block Group 6, Census Tract 606, Pierce County, Washington"
1084,324,819,246,186,203,0,12,0,12,0,12,61,108,18,30,0,12,18,30,1500000US530530607001,"Block Group 1, Census Tract 607, Pierce County, Washington"
952,246,839,236,40,60,0,12,54,51,0,12,0,12,19,30,0,12,19,30,1500000US530530607002,"Block Group 2, Census Tract 607, Pierce County, Washington"
1213,415,1105,404,14,24,0,12,57,86,0,12,37,60,0,12,0,12,0,12,1500000US530530607003,"Block Group 3, Census Tract 607, Pierce County, Washington"
1048,337,957,324,0,12,0,12,0,12,0,12,91,129,0,12,0,12,0,12,1500000US530530607004,"Block Group 4, Census Tract 607, Pierce County, Washington"
1415,311,1191,279,21,20,11,16,76,37,4,8,0,12,112,61,0,12,112,61,1500000US530530607005,"Block Group 5, Census Tract 607, Pierce County, Washington"
772,258,628,209,9,13,6,9,71,81,0,12,0,12,58,55,0,12,58,55,1500000US530530607006,"Block Group 6, Census Tract 607, Pierce County, Washington"
787,231,740,222,0,12,0,12,17,29,0,12,0,12,30,31,0,12,30,31,1500000US530530608001,"Block Group 1, Census Tract 608, Pierce County, Washington"
618,170,592,168,10,16,0,12,0,12,0,12,0,12,16,27,0,12,16,27,1500000US530530608002,"Block Group 2, Census Tract 608, Pierce County, Washington"
787,289,731,279,0,12,0,12,36,39,0,12,2,5,18,30,0,12,18,30,1500000US530530608003,"Block Group 3, Census Tract 608, Pierce County, Washington"
523,216,506,227,0,12,0,12,0,12,0,12,0,12,17,27,0,12,17,27,1500000US530530608004,"Block Group 4, Census Tract 608, Pierce County, Washington"
823,245,748,236,0,12,0,12,0,12,0,12,15,24,60,76,17,27,43,70,1500000US530530608005,"Block Group 5, Census Tract 608, Pierce County, Washington"
991,324,991,324,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530608006,"Block Group 6, Census Tract 608, Pierce County, Washington"
578,167,578,167,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530608007,"Block Group 7, Census Tract 608, Pierce County, Washington"
1053,523,932,526,55,37,0,12,21,36,0,12,14,23,31,39,0,12,31,39,1500000US530530609031,"Block Group 1, Census Tract 609.03, Pierce County, Washington"
1083,211,901,203,67,61,0,12,103,89,0,12,1,5,11,17,0,12,11,17,1500000US530530609032,"Block Group 2, Census Tract 609.03, Pierce County, Washington"
1328,225,1030,214,85,64,0,12,79,78,0,12,0,12,134,102,0,12,134,102,1500000US530530609033,"Block Group 3, Census Tract 609.03, Pierce County, Washington"
819,491,712,427,0,12,0,12,0,12,0,12,37,60,70,99,0,12,70,99,1500000US530530609041,"Block Group 1, Census Tract 609.04, Pierce County, Washington"
1808,443,1408,418,41,35,18,27,128,109,0,12,0,12,213,108,16,26,197,105,1500000US530530609042,"Block Group 2, Census Tract 609.04, Pierce County, Washington"
1061,520,911,474,0,12,11,18,1,3,0,12,0,12,138,188,0,12,138,188,1500000US530530609043,"Block Group 3, Census Tract 609.04, Pierce County, Washington"
1433,300,1233,266,37,44,0,12,87,85,0,12,0,12,76,92,0,12,76,92,1500000US530530609044,"Block Group 4, Census Tract 609.04, Pierce County, Washington"
2103,390,1554,408,285,172,0,12,51,48,0,12,0,12,213,209,0,12,213,209,1500000US530530609051,"Block Group 1, Census Tract 609.05, Pierce County, Washington"
965,383,574,241,274,331,0,12,24,26,0,12,0,12,93,97,0,12,93,97,1500000US530530609052,"Block Group 2, Census Tract 609.05, Pierce County, Washington"
983,352,855,354,109,96,0,12,0,12,0,12,0,12,19,30,0,12,19,30,1500000US530530609053,"Block Group 3, Census Tract 609.05, Pierce County, Washington"
1582,364,1499,377,41,47,0,12,42,60,0,12,0,12,0,12,0,12,0,12,1500000US530530609054,"Block Group 4, Census Tract 609.05, Pierce County, Washington"
1165,269,867,239,25,35,0,12,248,113,0,12,0,12,25,34,0,12,25,34,1500000US530530609055,"Block Group 5, Census Tract 609.05, Pierce County, Washington"
1627,154,1307,152,98,55,5,10,35,24,20,23,20,27,142,70,8,12,134,69,1500000US530530609061,"Block Group 1, Census Tract 609.06, Pierce County, Washington"
686,115,470,97,42,27,0,12,75,55,0,12,0,12,99,62,0,12,99,62,1500000US530530609062,"Block Group 2, Census Tract 609.06, Pierce County, Washington"
1025,204,920,194,11,19,0,12,0,12,0,12,0,12,94,68,9,14,85,67,1500000US530530610011,"Block Group 1, Census Tract 610.01, Pierce County, Washington"
928,208,715,188,0,12,0,12,178,139,0,12,0,12,35,42,0,12,35,42,1500000US530530610012,"Block Group 2, Census Tract 610.01, Pierce County, Washington"
1843,267,1556,255,63,54,0,12,125,77,31,37,17,30,51,50,10,16,41,45,1500000US530530610013,"Block Group 3, Census Tract 610.01, Pierce County, Washington"
