id,newid,Y15_elem,Y15_mid
1500000US530530602001,530602001,14,26
1500000US530530603001,530603001,19,21
1500000US530530603002,530603002,83,82
1500000US530530603003,530603003,95,44
1500000US530530604001,530604001,73,16
1500000US530530604002,530604002,47,8
1500000US530530604003,530604003,54,57
1500000US530530604004,530604004,67,54
1500000US530530604005,530604005,22,5
1500000US530530605001,530605001,74,23
1500000US530530605002,530605002,84,16
1500000US530530605003,530605003,34,20
1500000US530530605004,530605004,41,96
1500000US530530605005,530605005,85,63
1500000US530530606001,530606001,40,60
1500000US530530606002,530606002,32,97
1500000US530530606003,530606003,33,51
1500000US530530606004,530606004,18,40
1500000US530530606005,530606005,43,0
1500000US530530606006,530606006,31,30
1500000US530530607001,530607001,53,106
1500000US530530607002,530607002,83,74
1500000US530530607003,530607003,37,16
1500000US530530607004,530607004,16,16
1500000US530530607005,530607005,0,0
1500000US530530607006,530607006,17,0
1500000US530530608001,530608001,84,57
1500000US530530608002,530608002,0,14
1500000US530530608003,530608003,73,54
1500000US530530608004,530608004,0,58
1500000US530530608005,530608005,68,67
1500000US530530608006,530608006,14,149
1500000US530530608007,530608007,16,16
1500000US530530609031,530609031,49,194
1500000US530530609032,530609032,54,58
1500000US530530609033,530609033,79,41
1500000US530530609041,530609041,17,95
1500000US530530609042,530609042,124,65
1500000US530530609043,530609043,48,104
1500000US530530609044,530609044,25,62
1500000US530530609051,530609051,43,60
1500000US530530609052,530609052,107,54
1500000US530530609053,530609053,94,32
1500000US530530609054,530609054,47,118
1500000US530530609055,530609055,54,34
1500000US530530609061,530609061,95,76
1500000US530530609062,530609062,24,19
1500000US530530610011,530610011,45,32
1500000US530530610012,530610012,58,49
1500000US530530610013,530610013,97,50
1500000US530530610021,530610021,133,41
1500000US530530610022,530610022,0,71
1500000US530530610023,530610023,0,0
1500000US530530610024,530610024,0,0
1500000US530530611001,530611001,93,188
1500000US530530611002,530611002,53,0
1500000US530530611003,530611003,0,32
1500000US530530611004,530611004,0,0
1500000US530530611005,530611005,35,51
1500000US530530611006,530611006,0,109
1500000US530530611007,530611007,33,42
1500000US530530612001,530612001,181,79
1500000US530530612002,530612002,11,14
1500000US530530612003,530612003,122,42
1500000US530530612004,530612004,21,73
1500000US530530612005,530612005,20,10
1500000US530530612006,530612006,7,55
1500000US530530613001,530613001,21,24
1500000US530530613002,530613002,102,54
