Estimate!!Total,Estimate!!Total!!Male!!5 to 9 years,Estimate!!Total!!Male!!10 to 14 years,Estimate!!Total!!Female!!5 to 9 years,Estimate!!Total!!Female!!10 to 14 years,id
1020,14,19,0,7,1500000US530530602001
1258,6,8,13,13,1500000US530530603001
1236,0,47,83,35,1500000US530530603002
1658,33,19,62,25,1500000US530530603003
692,44,8,29,8,1500000US530530604001
702,24,8,23,0,1500000US530530604002
760,22,39,32,18,1500000US530530604003
999,67,47,0,7,1500000US530530604004
754,16,5,6,0,1500000US530530604005
817,23,14,51,9,1500000US530530605001
979,31,16,53,0,1500000US530530605002
859,34,7,0,13,1500000US530530605003
574,37,34,4,62,1500000US530530605004
890,57,24,28,39,1500000US530530605005
1246,28,32,12,28,1500000US530530606001
1217,0,58,32,39,1500000US530530606002
819,19,0,14,51,1500000US530530606003
863,0,0,18,40,1500000US530530606004
557,28,0,15,0,1500000US530530606005
642,0,15,31,15,1500000US530530606006
1084,0,86,53,20,1500000US530530607001
952,40,31,43,43,1500000US530530607002
1213,17,16,20,0,1500000US530530607003
1048,16,0,0,16,1500000US530530607004
1415,0,0,0,0,1500000US530530607005
772,17,0,0,0,1500000US530530607006
787,54,40,30,17,1500000US530530608001
618,0,0,0,14,1500000US530530608002
787,53,54,20,0,1500000US530530608003
523,0,58,0,0,1500000US530530608004
823,68,0,0,67,1500000US530530608005
991,0,136,14,13,1500000US530530608006
578,16,0,0,16,1500000US530530608007
1053,37,118,12,76,1500000US530530609031
1083,23,33,31,25,1500000US530530609032
1328,39,0,40,41,1500000US530530609033
819,17,78,0,17,1500000US530530609041
1808,30,22,94,43,1500000US530530609042
1061,0,79,48,25,1500000US530530609043
1433,25,45,0,17,1500000US530530609044
2103,43,60,0,0,1500000US530530609051
965,53,0,54,54,1500000US530530609052
983,42,0,52,32,1500000US530530609053
1582,31,56,16,62,1500000US530530609054
1165,35,17,19,17,1500000US530530609055
1627,46,54,49,22,1500000US530530609061
686,24,8,0,11,1500000US530530609062
1025,45,10,0,22,1500000US530530610011
928,34,28,24,21,1500000US530530610012
1843,41,34,56,16,1500000US530530610013
1853,40,40,93,1,1500000US530530610021
775,0,71,0,0,1500000US530530610022
1101,0,0,0,0,1500000US530530610023
544,0,0,0,0,1500000US530530610024
1345,48,169,45,19,1500000US530530611001
522,16,0,37,0,1500000US530530611002
586,0,15,0,17,1500000US530530611003
724,0,0,0,0,1500000US530530611004
996,0,17,35,34,1500000US530530611005
1402,0,27,0,82,1500000US530530611006
1190,14,6,19,36,1500000US530530611007
1409,131,79,50,0,1500000US530530612001
686,11,14,0,0,1500000US530530612002
936,93,42,29,0,1500000US530530612003
853,0,49,21,24,1500000US530530612004
631,10,0,10,10,1500000US530530612005
962,0,9,7,46,1500000US530530612006
760,13,15,8,9,1500000US530530613001
1059,52,22,50,32,1500000US530530613002
918,10,22,36,44,1500000US530530613003
780,10,77,42,40,1500000US530530613004
771,35,0,7,36,1500000US530530613005
897,49,46,67,0,1500000US530530613006
973,31,0,32,14,1500000US530530614001
1569,17,8,0,9,1500000US530530614002
1057,50,49,9,33,1500000US530530614003
1647,0,0,0,20,1500000US530530615001
1412,0,24,16,15,1500000US530530615002
894,32,0,0,0,1500000US530530615003
1047,0,2,29,30,1500000US530530615004
1925,22,13,0,0,1500000US530530616011
846,0,13,27,12,1500000US530530616021
1101,25,0,40,12,1500000US530530617001
989,35,108,61,37,1500000US530530617002
855,86,43,0,14,1500000US530530617003
528,11,7,0,0,1500000US530530617004
1096,15,95,0,19,1500000US530530617005
1094,62,83,30,55,1500000US530530618001
1147,32,76,54,0,1500000US530530618002
566,0,0,30,13,1500000US530530618003
862,0,43,15,23,1500000US530530619001
923,16,0,4,0,1500000US530530619002
920,0,33,8,38,1500000US530530620001
1155,47,31,65,56,1500000US530530620002
1082,105,32,46,77,1500000US530530620003
1383,54,41,25,15,1500000US530530620004
1389,65,16,44,25,1500000US530530623001
1438,94,69,60,46,1500000US530530623002
1352,75,73,76,38,1500000US530530623003
1085,42,56,71,50,1500000US530530623004
1651,62,71,33,63,1500000US530530624001
993,10,41,27,0,1500000US530530624002
1095,124,27,46,28,1500000US530530624003
975,28,6,42,0,1500000US530530624004
808,84,58,44,0,1500000US530530624005
1309,52,66,84,75,1500000US530530625001
1663,27,31,19,205,1500000US530530625002
504,0,2,0,0,1500000US530530625003
1067,98,11,71,53,1500000US530530625004
1649,12,47,57,155,1500000US530530625005
695,0,0,0,0,1500000US530530625006
1030,33,22,93,29,1500000US530530625007
1099,20,26,76,0,1500000US530530626001
2067,85,23,86,53,1500000US530530626002
1222,34,0,82,0,1500000US530530628011
2076,115,40,163,45,1500000US530530628012
1865,0,43,99,0,1500000US530530628013
1245,0,0,15,31,1500000US530530628014
1828,34,59,109,85,1500000US530530628021
1377,41,54,14,58,1500000US530530628022
954,0,0,0,19,1500000US530530628023
2681,86,133,54,54,1500000US530530629001
1482,74,33,15,86,1500000US530530629002
719,15,0,16,14,1500000US530530629003
815,0,0,13,17,1500000US530530629004
852,62,0,84,29,1500000US530530629005
857,0,32,57,36,1500000US530530629006
1280,23,37,64,49,1500000US530530630001
1769,30,74,9,100,1500000US530530630002
881,17,18,34,51,1500000US530530631001
1267,69,25,58,66,1500000US530530631002
830,89,21,20,0,1500000US530530631003
1481,78,11,46,39,1500000US530530631004
1171,15,41,36,71,1500000US530530632001
2091,88,49,93,75,1500000US530530632002
694,0,68,0,10,1500000US530530632003
730,30,0,33,0,1500000US530530632004
825,34,12,4,54,1500000US530530632005
1667,99,40,62,38,1500000US530530633001
3141,292,131,61,82,1500000US530530633002
1379,16,17,49,23,1500000US530530633003
1149,47,44,16,0,1500000US530530633004
1177,21,52,20,47,1500000US530530633005
910,27,0,145,48,1500000US530530634001
2317,223,43,245,59,1500000US530530634002
771,32,49,30,20,1500000US530530634003
646,21,20,30,17,1500000US530530634004
1474,150,76,48,0,1500000US530530634005
1235,29,0,52,96,1500000US530530634006
801,17,88,0,9,1500000US530530635011
1103,18,28,31,69,1500000US530530635012
1059,32,29,0,21,1500000US530530635013
1400,0,51,143,40,1500000US530530635014
1149,5,78,12,45,1500000US530530635021
2239,127,64,70,46,1500000US530530635022
1483,30,42,8,151,1500000US530530635023
688,8,22,4,12,1500000US530530701001
0,0,0,0,0,1500000US530530701002
1735,64,72,62,121,1500000US530530701003
1385,50,45,0,35,1500000US530530701004
2286,128,131,96,78,1500000US530530702031
2699,106,204,153,101,1500000US530530702032
693,20,19,59,31,1500000US530530702033
1614,24,36,80,146,1500000US530530702041
2240,119,37,71,7,1500000US530530702042
2325,87,57,68,84,1500000US530530702051
895,4,51,5,77,1500000US530530702052
1699,48,63,58,107,1500000US530530702061
1305,14,82,45,8,1500000US530530702062
1038,30,72,20,21,1500000US530530702063
1178,33,9,9,129,1500000US530530702071
1409,53,54,39,53,1500000US530530702072
1184,22,52,40,7,1500000US530530702073
1402,0,66,25,45,1500000US530530702074
1073,78,64,48,105,1500000US530530703071
1895,86,76,72,119,1500000US530530703072
2309,97,68,125,114,1500000US530530703073
1830,104,28,69,75,1500000US530530703081
1726,69,19,75,34,1500000US530530703082
1031,0,34,26,13,1500000US530530703091
2072,65,98,83,89,1500000US530530703092
2170,128,35,159,25,1500000US530530703093
1914,66,52,43,51,1500000US530530703101
739,57,8,8,0,1500000US530530703102
1941,99,95,84,126,1500000US530530703103
728,8,7,14,36,1500000US530530703104
1477,116,60,59,102,1500000US530530703111
1531,53,65,57,28,1500000US530530703112
2094,86,194,140,109,1500000US530530703113
1167,29,65,59,168,1500000US530530703121
3028,116,155,61,237,1500000US530530703122
1498,30,65,25,172,1500000US530530703123
1426,13,40,65,55,1500000US530530703131
873,64,0,11,27,1500000US530530703132
1529,69,20,45,0,1500000US530530703133
761,34,39,0,14,1500000US530530703134
1051,9,16,24,17,1500000US530530703135
1890,103,29,31,43,1500000US530530703141
1380,23,37,39,82,1500000US530530703142
1615,22,26,82,15,1500000US530530703151
1440,64,64,93,68,1500000US530530703152
1835,104,59,91,71,1500000US530530703153
707,40,2,0,7,1500000US530530703154
1661,0,56,54,0,1500000US530530703161
4095,195,69,58,129,1500000US530530703162
1562,81,84,64,59,1500000US530530704011
732,36,7,23,21,1500000US530530704012
976,29,27,58,25,1500000US530530704031
625,23,0,0,0,1500000US530530704032
2201,147,89,73,97,1500000US530530704033
2867,245,69,179,254,1500000US530530704041
2003,89,44,37,117,1500000US530530704042
925,17,30,20,10,1500000US530530707031
1500,73,13,18,14,1500000US530530707032
2000,138,14,137,58,1500000US530530707033
831,5,3,29,13,1500000US530530707034
942,33,17,4,3,1500000US530530707035
1359,33,12,20,97,1500000US530530711001
969,14,69,9,13,1500000US530530711002
