id,newid,Y2015_ttl,Y2015_white_col,Y2015_man_bus_fin,Y2015_manag,Y2015_busi_fina,Y2015_com_eng_sci,Y2015_comp_math,Y2015_archi_engi,Y2015_lif_phy_socs,Y2015_edu_leg_cs_art,Y2015_com_serv,Y2015_legal,Y2015_educ_tr_lib,Y2015_art_enter_med,Y2015_healthc,Y2015_health_dia_tr,Y2015_health_tech,Y2015_service,Y2015_health_support,Y2015_protect,Y2015_fire_fight,Y2015_cop,Y2015_food_prep,Y2015_grounds_maint,Y2015_pers_care_serv,Y2015_sales_office,Y2015_sales,Y2015_office_admin,Y2015_nat_rec_con_maint,Y2015_farm_fish_forest,Y2015_construction_extraction,Y2015_install_rep_main,Y2015_prod_tran_mov,Y2015_production,Y2015_transportation,Y2015_moving
1500000US530530602001,530602001,562,270,118,75,43,37,4,9,24,60,6,13,18,23,55,55,0,55,3,23,16,7,15,0,14,158,112,46,28,0,28,0,51,7,9,28
1500000US530530603001,530603001,461,259,80,73,7,0,0,0,0,88,5,6,69,8,91,83,8,41,12,0,0,0,0,13,16,123,32,91,10,0,10,0,28,7,12,9
1500000US530530603002,530603002,642,309,167,134,33,50,9,39,2,69,15,7,47,0,23,9,14,90,7,15,15,0,7,53,8,153,95,58,48,0,16,32,42,0,24,5
1500000US530530603003,530603003,960,414,106,63,43,22,15,5,2,185,25,16,126,18,101,66,35,168,23,32,23,9,51,21,41,185,53,132,82,8,48,26,111,34,45,32
1500000US530530604001,530604001,295,218,64,53,11,18,0,18,0,76,9,26,41,0,60,60,0,17,0,0,0,0,0,6,11,25,7,18,17,0,0,17,18,8,10,0
1500000US530530604002,530604002,359,226,56,33,23,46,13,33,0,72,18,0,47,7,52,52,0,40,9,10,10,0,21,0,0,44,27,17,18,0,18,0,31,9,15,7
1500000US530530604003,530604003,372,242,57,32,25,18,0,18,0,106,17,16,55,18,61,53,8,104,25,34,16,18,33,6,6,7,0,7,0,0,0,0,19,10,9,0
1500000US530530604004,530604004,638,273,119,42,77,56,27,29,0,53,6,0,21,26,45,8,37,103,0,11,0,11,48,9,35,145,46,99,75,0,67,8,42,6,36,0
1500000US530530604005,530604005,436,201,122,84,38,6,0,6,0,18,4,0,14,0,55,27,28,42,14,20,10,10,0,0,8,163,73,90,6,0,6,0,24,0,24,0
1500000US530530605001,530605001,454,260,91,76,15,61,39,10,12,26,7,0,9,10,82,82,0,0,0,0,0,0,0,0,0,155,115,40,0,0,0,0,39,31,8,0
1500000US530530605002,530605002,490,306,171,77,94,8,0,8,0,49,0,8,9,32,78,78,0,35,18,0,0,0,0,10,7,84,62,22,35,0,35,0,30,0,10,20
1500000US530530605003,530605003,480,222,81,81,0,34,6,28,0,80,24,9,37,10,27,18,9,59,6,32,32,0,6,0,15,147,42,105,9,0,9,0,43,21,12,10
1500000US530530605004,530605004,328,174,86,64,22,6,0,0,6,76,8,21,23,24,6,6,0,52,0,14,14,0,29,0,9,82,73,9,10,0,10,0,10,0,10,0
1500000US530530605005,530605005,574,383,164,96,68,20,9,11,0,122,18,19,72,13,77,65,12,71,6,0,0,0,21,6,38,70,34,36,40,0,22,18,10,10,0,0
1500000US530530606001,530606001,561,443,174,164,10,52,43,0,9,136,0,48,88,0,81,68,13,31,24,0,0,0,1,2,4,71,0,71,16,0,16,0,0,0,0,0
1500000US530530606002,530606002,705,239,180,65,115,0,0,0,0,17,0,0,17,0,42,42,0,113,13,0,0,0,61,39,0,131,27,104,148,0,134,14,74,0,15,12
1500000US530530606003,530606003,506,260,148,94,54,0,0,0,0,97,33,16,48,0,15,15,0,85,30,0,0,0,15,0,40,105,14,91,15,0,15,0,41,0,0,41
