id,newid,Y15_BusPer,Y15_SciPer,Y15_EdLegper,Y15_HealPer,Y15_OfficePer,Y15_ExtrPer,Y15_LogiPer
1500000US530530602001,530602001,0.209964413,0.065836299,0.106761566,0.097864769,0.097864769,0.28113879,0.049822064
1500000US530530603001,530603001,0.173535792,0,0.190889371,0.197396963,0.088937093,0.26681128,0.021691974
1500000US530530603002,530603002,0.260124611,0.07788162,0.107476636,0.035825545,0.140186916,0.238317757,0.074766355
1500000US530530603003,530603003,0.110416667,0.022916667,0.192708333,0.105208333,0.175,0.192708333,0.085416667
1500000US530530604001,530604001,0.216949153,0.061016949,0.257627119,0.203389831,0.057627119,0.084745763,0.057627119
1500000US530530604002,530604002,0.155988858,0.128133705,0.200557103,0.144846797,0.111420613,0.122562674,0.050139276
1500000US530530604003,530604003,0.153225806,0.048387097,0.284946237,0.163978495,0.279569892,0.018817204,0
1500000US530530604004,530604004,0.186520376,0.087774295,0.0830721,0.070532915,0.161442006,0.227272727,0.117554859
1500000US530530604005,530604005,0.279816514,0.013761468,0.041284404,0.126146789,0.096330275,0.373853211,0.013761468
1500000US530530605001,530605001,0.200440529,0.134361233,0.057268722,0.18061674,0,0.341409692,0
1500000US530530605002,530605002,0.348979592,0.016326531,0.1,0.159183673,0.071428571,0.171428571,0.071428571
1500000US530530605003,530605003,0.16875,0.070833333,0.166666667,0.05625,0.122916667,0.30625,0.01875
1500000US530530605004,530605004,0.262195122,0.018292683,0.231707317,0.018292683,0.158536585,0.25,0.030487805
1500000US530530605005,530605005,0.285714286,0.034843206,0.212543554,0.134146341,0.12369338,0.12195122,0.069686411
1500000US530530606001,530606001,0.310160428,0.092691622,0.242424242,0.144385027,0.055258467,0.126559715,0.028520499
1500000US530530606002,530606002,0.255319149,0,0.024113475,0.059574468,0.160283688,0.185815603,0.209929078
1500000US530530606003,530606003,0.292490119,0,0.191699605,0.029644269,0.16798419,0.207509881,0.029644269
1500000US530530606004,530606004,0.147679325,0.162447257,0.280590717,0.037974684,0.097046414,0.122362869,0.029535865
1500000US530530606005,530606005,0.035714286,0.137755102,0.229591837,0.102040816,0.145408163,0.147959184,0.158163265
1500000US530530606006,530606006,0.247619048,0.066666667,0.138095238,0.061904762,0.3,0.185714286,0
1500000US530530607001,530607001,0.317073171,0,0.070121951,0.042682927,0.140243902,0.262195122,0.042682927
1500000US530530607002,530607002,0.142,0.044,0.206,0.03,0.17,0.282,0.044
1500000US530530607003,530607003,0.180051813,0.042746114,0.160621762,0.117875648,0.224093264,0.207253886,0.022020725
1500000US530530607004,530607004,0.158227848,0.14556962,0.074367089,0,0.254746835,0.189873418,0.113924051
1500000US530530607005,530607005,0.026548673,0.031858407,0.132743363,0.007079646,0.338053097,0.42300885,0
1500000US530530607006,530607006,0.293159609,0.071661238,0.153094463,0,0.241042345,0.146579805,0
1500000US530530608001,530608001,0.11038961,0.19047619,0.212121212,0.067099567,0,0.231601732,0.034632035
1500000US530530608002,530608002,0.180156658,0.195822454,0.156657963,0,0.039164491,0.219321149,0.130548303
1500000US530530608003,530608003,0.163398693,0.074074074,0.093681917,0.030501089,0.272331155,0.191721133,0.08496732
1500000US530530608004,530608004,0,0.068548387,0.258064516,0.14516129,0.112903226,0.197580645,0.100806452
1500000US530530608005,530608005,0.196868009,0.031319911,0.029082774,0.138702461,0.140939597,0.123042506,0.176733781
1500000US530530608006,530608006,0.088353414,0.014056225,0.401606426,0.02811245,0.112449799,0.16064257,0.128514056
1500000US530530608007,530608007,0.223367698,0.027491409,0,0.079037801,0.10652921,0.274914089,0.243986254
1500000US530530609031,530609031,0.161662818,0.050808314,0.080831409,0.032332564,0.327944573,0.23556582,0.036951501
1500000US530530609032,530609032,0.172910663,0.115273775,0.129682997,0.04610951,0.201729107,0.239193084,0
1500000US530530609033,530609033,0.185733513,0.060565276,0.125168237,0.099596231,0.169582773,0.169582773,0.094212651
1500000US530530609041,530609041,0.039911308,0.068736142,0.042128603,0,0.235033259,0.350332594,0.155210643
1500000US530530609042,530609042,0.187250996,0.121513944,0.158366534,0.014940239,0.22310757,0.141434263,0.056772908
1500000US530530609043,530609043,0.107195301,0.032305433,0.054331865,0.016152717,0.167400881,0.24082232,0
1500000US530530609044,530609044,0.166193182,0.052556818,0,0.076704545,0.267045455,0.339488636,0.058238636
1500000US530530609051,530609051,0.195177956,0.016073479,0.133180253,0.119402985,0.138920781,0.192881745,0.105625718
1500000US530530609052,530609052,0.054597701,0,0.189655172,0.08045977,0.123563218,0.293103448,0.25862069
1500000US530530609053,530609053,0.298056156,0.051835853,0.127429806,0.032397408,0.20950324,0.159827214,0
1500000US530530609054,530609054,0.313880126,0,0.093059937,0.03785489,0.241324921,0.220820189,0.093059937
1500000US530530609055,530609055,0.152136752,0.052991453,0.121367521,0.112820513,0.152136752,0.379487179,0.029059829
1500000US530530609061,530609061,0.137254902,0.04826546,0.179487179,0.042232278,0.174962293,0.194570136,0.102564103
1500000US530530609062,530609062,0.055718475,0.04398827,0.263929619,0.017595308,0.123167155,0.322580645,0.114369501
1500000US530530610011,530610011,0.116666667,0.041666667,0.039583333,0.070833333,0.060416667,0.445833333,0.1
1500000US530530610012,530610012,0.160990712,0.027863777,0,0.343653251,0.13622291,0.275541796,0.024767802
1500000US530530610013,530610013,0.158071749,0.090807175,0.137892377,0.128923767,0.156950673,0.191704036,0.085201794
1500000US530530610021,530610021,0.047021944,0.028213166,0.114420063,0.081504702,0.47492163,0.180250784,0.017241379
1500000US530530610022,530610022,0.132911392,0,0.05907173,0.023206751,0,0.508438819,0.223628692
1500000US530530610023,530610023,0.222972973,0,0.108108108,0,0.185810811,0.347972973,0.037162162
1500000US530530610024,530610024,0.074688797,0.099585062,0.124481328,0,0.112033195,0.323651452,0.116182573
1500000US530530611001,530611001,0.074132492,0,0.148264984,0.056782334,0.246056782,0.449526814,0.025236593
1500000US530530611002,530611002,0.063829787,0.136170213,0.059574468,0.072340426,0.327659574,0.063829787,0.140425532
1500000US530530611003,530611003,0.214689266,0.09039548,0.13559322,0,0.248587571,0.15819209,0.084745763
1500000US530530611004,530611004,0,0,0.339100346,0,0.321799308,0.121107266,0.058823529
1500000US530530611005,530611005,0.147812971,0.018099548,0.078431373,0.076923077,0.114630468,0.340874811,0.098039216
1500000US530530611006,530611006,0.048899756,0.048899756,0.204156479,0.092909535,0.14792176,0.16992665,0.019559902
1500000US530530611007,530611007,0.310661765,0,0.084558824,0.066176471,0.084558824,0.194852941,0.079044118
1500000US530530612001,530612001,0.138613861,0.077227723,0.184158416,0.057425743,0.213861386,0.172277228,0
1500000US530530612002,530612002,0.171837709,0.016706444,0.143198091,0.050119332,0.202863962,0.334128878,0.016706444
1500000US530530612003,530612003,0.058947368,0,0.210526316,0.08,0.214736842,0.117894737,0.075789474
1500000US530530612004,530612004,0.081967213,0,0.030054645,0.046448087,0.073770492,0.587431694,0.092896175
1500000US530530612005,530612005,0.273556231,0.218844985,0.200607903,0,0.054711246,0.200607903,0.027355623
1500000US530530612006,530612006,0.053045187,0.055009823,0.223968566,0.2043222,0.292730845,0.10805501,0.047151277
1500000US530530613001,530613001,0.138157895,0.055921053,0.065789474,0,0.296052632,0.246710526,0.039473684
1500000US530530613002,530613002,0.225641026,0.030769231,0.138461538,0.017948718,0.179487179,0.058974359,0.11025641
1500000US530530613003,530613003,0.071808511,0.018617021,0.026595745,0.103723404,0.316489362,0.228723404,0.074468085
1500000US530530613004,530613004,0.142857143,0.184126984,0.158730159,0.025396825,0.273015873,0.022222222,0.079365079
