"C24010_001E","C24010_001M","C24010_002E","C24010_002M","C24010_003E","C24010_003M","C24010_004E","C24010_004M","C24010_005E","C24010_005M","C24010_006E","C24010_006M","C24010_007E","C24010_007M","C24010_008E","C24010_008M","C24010_009E","C24010_009M","C24010_010E","C24010_010M","C24010_011E","C24010_011M","C24010_012E","C24010_012M","C24010_013E","C24010_013M","C24010_014E","C24010_014M","C24010_015E","C24010_015M","C24010_016E","C24010_016M","C24010_017E","C24010_017M","C24010_018E","C24010_018M","C24010_019E","C24010_019M","C24010_020E","C24010_020M","C24010_021E","C24010_021M","C24010_022E","C24010_022M","C24010_023E","C24010_023M","C24010_024E","C24010_024M","C24010_025E","C24010_025M","C24010_026E","C24010_026M","C24010_027E","C24010_027M","C24010_028E","C24010_028M","C24010_029E","C24010_029M","C24010_030E","C24010_030M","C24010_031E","C24010_031M","C24010_032E","C24010_032M","C24010_033E","C24010_033M","C24010_034E","C24010_034M","C24010_035E","C24010_035M","C24010_036E","C24010_036M","C24010_037E","C24010_037M","C24010_038E","C24010_038M","C24010_039E","C24010_039M","C24010_040E","C24010_040M","C24010_041E","C24010_041M","C24010_042E","C24010_042M","C24010_043E","C24010_043M","C24010_044E","C24010_044M","C24010_045E","C24010_045M","C24010_046E","C24010_046M","C24010_047E","C24010_047M","C24010_048E","C24010_048M","C24010_049E","C24010_049M","C24010_050E","C24010_050M","C24010_051E","C24010_051M","C24010_052E","C24010_052M","C24010_053E","C24010_053M","C24010_054E","C24010_054M","C24010_055E","C24010_055M","C24010_056E","C24010_056M","C24010_057E","C24010_057M","C24010_058E","C24010_058M","C24010_059E","C24010_059M","C24010_060E","C24010_060M","C24010_061E","C24010_061M","C24010_062E","C24010_062M","C24010_063E","C24010_063M","C24010_064E","C24010_064M","C24010_065E","C24010_065M","C24010_066E","C24010_066M","C24010_067E","C24010_067M","C24010_068E","C24010_068M","C24010_069E","C24010_069M","C24010_070E","C24010_070M","C24010_071E","C24010_071M","C24010_072E","C24010_072M","C24010_073E","C24010_073M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Management, business, science, and arts occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health diagnosing and treating practitioners and other technical occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health diagnosing and treating practitioners and other technical occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health technologists and technicians","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health technologists and technicians","Estimate!!Total!!Male!!Service occupations","Margin of Error!!Total!!Male!!Service occupations","Estimate!!Total!!Male!!Service occupations!!Healthcare support occupations","Margin of Error!!Total!!Male!!Service occupations!!Healthcare support occupations","Estimate!!Total!!Male!!Service occupations!!Protective service occupations","Margin of Error!!Total!!Male!!Service occupations!!Protective service occupations","Estimate!!Total!!Male!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors","Margin of Error!!Total!!Male!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors","Estimate!!Total!!Male!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors","Margin of Error!!Total!!Male!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors","Estimate!!Total!!Male!!Service occupations!!Food preparation and serving related occupations","Margin of Error!!Total!!Male!!Service occupations!!Food preparation and serving related occupations","Estimate!!Total!!Male!!Service occupations!!Building and grounds cleaning and maintenance occupations","Margin of Error!!Total!!Male!!Service occupations!!Building and grounds cleaning and maintenance occupations","Estimate!!Total!!Male!!Service occupations!!Personal care and service occupations","Margin of Error!!Total!!Male!!Service occupations!!Personal care and service occupations","Estimate!!Total!!Male!!Sales and office occupations","Margin of Error!!Total!!Male!!Sales and office occupations","Estimate!!Total!!Male!!Sales and office occupations!!Sales and related occupations","Margin of Error!!Total!!Male!!Sales and office occupations!!Sales and related occupations","Estimate!!Total!!Male!!Sales and office occupations!!Office and administrative support occupations","Margin of Error!!Total!!Male!!Sales and office occupations!!Office and administrative support occupations","Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations","Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations","Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","Estimate!!Total!!Male!!Production, transportation, and material moving occupations","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations","Estimate!!Total!!Male!!Production, transportation, and material moving occupations!!Production occupations","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations!!Production occupations","Estimate!!Total!!Male!!Production, transportation, and material moving occupations!!Transportation occupations","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations!!Transportation occupations","Estimate!!Total!!Male!!Production, transportation, and material moving occupations!!Material moving occupations","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations!!Material moving occupations","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Management, business, science, and arts occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health diagnosing and treating practitioners and other technical occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health diagnosing and treating practitioners and other technical occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health technologists and technicians","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health technologists and technicians","Estimate!!Total!!Female!!Service occupations","Margin of Error!!Total!!Female!!Service occupations","Estimate!!Total!!Female!!Service occupations!!Healthcare support occupations","Margin of Error!!Total!!Female!!Service occupations!!Healthcare support occupations","Estimate!!Total!!Female!!Service occupations!!Protective service occupations","Margin of Error!!Total!!Female!!Service occupations!!Protective service occupations","Estimate!!Total!!Female!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors","Margin of Error!!Total!!Female!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors","Estimate!!Total!!Female!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors","Margin of Error!!Total!!Female!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors","Estimate!!Total!!Female!!Service occupations!!Food preparation and serving related occupations","Margin of Error!!Total!!Female!!Service occupations!!Food preparation and serving related occupations","Estimate!!Total!!Female!!Service occupations!!Building and grounds cleaning and maintenance occupations","Margin of Error!!Total!!Female!!Service occupations!!Building and grounds cleaning and maintenance occupations","Estimate!!Total!!Female!!Service occupations!!Personal care and service occupations","Margin of Error!!Total!!Female!!Service occupations!!Personal care and service occupations","Estimate!!Total!!Female!!Sales and office occupations","Margin of Error!!Total!!Female!!Sales and office occupations","Estimate!!Total!!Female!!Sales and office occupations!!Sales and related occupations","Margin of Error!!Total!!Female!!Sales and office occupations!!Sales and related occupations","Estimate!!Total!!Female!!Sales and office occupations!!Office and administrative support occupations","Margin of Error!!Total!!Female!!Sales and office occupations!!Office and administrative support occupations","Estimate!!Total!!Female!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total!!Female!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Female!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations","Margin of Error!!Total!!Female!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations","Estimate!!Total!!Female!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations","Margin of Error!!Total!!Female!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations","Estimate!!Total!!Female!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","Margin of Error!!Total!!Female!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","Estimate!!Total!!Female!!Production, transportation, and material moving occupations","Margin of Error!!Total!!Female!!Production, transportation, and material moving occupations","Estimate!!Total!!Female!!Production, transportation, and material moving occupations!!Production occupations","Margin of Error!!Total!!Female!!Production, transportation, and material moving occupations!!Production occupations","Estimate!!Total!!Female!!Production, transportation, and material moving occupations!!Transportation occupations","Margin of Error!!Total!!Female!!Production, transportation, and material moving occupations!!Transportation occupations","Estimate!!Total!!Female!!Production, transportation, and material moving occupations!!Material moving occupations","Margin of Error!!Total!!Female!!Production, transportation, and material moving occupations!!Material moving occupations","id","Geographic Area Name"
"562","116","312","88","139","59","74","54","69","53","5","9","26","23","0","12","9","10","17","21","19","18","0","12","0","12","8","8","11","16","20","18","20","18","0","12","25","23","0","12","10","12","7","11","3","6","15","20","0","12","0","12","83","41","70","36","13","15","28","21","0","12","28","21","0","12","37","35","0","12","9","9","28","33","250","57","131","42","44","28","6","7","38","28","11","10","4","6","0","12","7","8","41","20","6","9","13","15","10","10","12","13","35","23","35","23","0","12","30","27","3","5","13","13","9","13","4","6","0","12","0","12","14","24","75","36","42","29","33","24","0","12","0","12","0","12","0","12","14","11","7","10","0","12","7","2","1500000US530530602001","Block Group 1, Census Tract 602, Pierce County, Washington"
"461","133","240","83","121","61","17","18","17","18","0","12","0","12","0","12","0","12","0","12","43","34","0","12","0","12","35","31","8","11","61","52","61","52","0","12","14","17","0","12","0","12","0","12","0","12","0","12","7","11","7","11","67","52","25","27","42","43","10","15","0","12","10","15","0","12","28","25","7","12","12","19","9","12","221","67","138","53","63","44","56","42","7","11","0","12","0","12","0","12","0","12","45","24","5","9","6","10","34","25","0","12","30","22","22","23","8","11","27","24","12","18","0","12","0","12","0","12","0","12","6","11","9","12","56","33","7","11","49","32","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530603001","Block Group 1, Census Tract 603, Pierce County, Washington"
"642","140","336","88","145","69","108","68","106","67","2","4","11","14","0","12","9","13","2","3","14","16","0","12","7","12","7","11","0","12","12","16","9","15","3","5","74","49","0","12","13","21","13","21","0","12","0","12","53","43","8","13","42","46","40","46","2","3","48","35","0","12","16","18","32","30","27","20","0","12","22","19","5","9","306","71","164","58","59","33","28","25","31","21","39","47","9","14","30","45","0","12","55","45","15","22","0","12","40","38","0","12","11","17","0","12","11","17","16","16","7","11","2","4","2","4","0","12","7","10","0","12","0","12","111","60","55","40","56","53","0","12","0","12","0","12","0","12","15","18","0","12","2","3","13","18","1500000US530530603002","Block Group 2, Census Tract 603, Pierce County, Washington"
"960","173","504","115","188","70","62","53","31","23","31","47","15","15","15","15","0","12","0","12","88","42","6","6","4","4","62","32","16","27","23","17","23","17","0","12","59","24","1","3","12","14","3","5","9","13","16","16","21","16","9","12","66","36","27","20","39","29","80","37","6","7","48","31","26","24","111","57","34","30","45","26","32","43","456","90","226","67","44","25","32","22","12","11","7","9","0","12","5","8","2","3","97","38","19","14","12","14","64","34","2","4","78","49","43","24","35","42","109","62","22","17","20","27","20","27","0","12","35","42","0","12","32","26","119","51","26","19","93","45","2","3","2","3","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530603003","Block Group 3, Census Tract 603, Pierce County, Washington"
"295","92","198","77","157","62","52","51","41","45","11","17","18","22","0","12","18","22","0","12","34","26","0","12","17","19","17","18","0","12","53","46","53","46","0","12","6","10","0","12","0","12","0","12","0","12","0","12","6","10","0","12","0","12","0","12","0","12","17","29","0","12","0","12","17","29","18","19","8","12","10","15","0","12","97","45","61","33","12","19","12","19","0","12","0","12","0","12","0","12","0","12","42","23","9","13","9","15","24","18","0","12","7","12","7","12","0","12","11","18","0","12","0","12","0","12","0","12","0","12","0","12","11","18","25","25","7","13","18","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530604001","Block Group 1, Census Tract 604, Pierce County, Washington"
"359","89","177","56","90","39","22","24","8","14","14","17","38","25","13","20","25","23","0","12","30","23","13","14","0","12","17","17","0","12","0","12","0","12","0","12","21","23","0","12","10","15","10","15","0","12","11","17","0","12","0","12","17","19","17","19","0","12","18","21","0","12","18","21","0","12","31","30","9","16","15","22","7","12","182","59","136","51","34","24","25","24","9","14","8","12","0","12","8","12","0","12","42","32","5","9","0","12","30","28","7","11","52","46","52","46","0","12","19","22","9","15","0","12","0","12","0","12","10","16","0","12","0","12","27","25","10","15","17","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530604002","Block Group 2, Census Tract 604, Pierce County, Washington"
"372","86","136","47","91","44","32","26","21","20","11","17","18","22","0","12","18","22","0","12","20","23","6","10","6","11","8","15","0","12","21","20","13","16","8","13","35","28","0","12","8","14","8","14","0","12","21","24","6","10","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","15","10","15","0","12","0","12","236","62","151","55","25","23","11","18","14","15","0","12","0","12","0","12","0","12","86","46","11","17","10","15","47","36","18","20","40","31","40","31","0","12","69","44","25","37","26","21","8","12","18","20","12","19","0","12","6","10","7","10","0","12","7","10","0","12","0","12","0","12","0","12","9","15","0","12","9","15","0","12","1500000US530530604003","Block Group 3, Census Tract 604, Pierce County, Washington"
"638","216","399","191","140","65","54","51","10","16","44","49","36","25","7","12","29","23","0","12","13","17","6","10","0","12","7","13","0","12","37","43","0","12","37","43","92","80","0","12","11","17","0","12","11","17","37","37","9","13","35","45","58","54","0","12","58","54","67","79","0","12","59","78","8","12","42","47","6","10","36","46","0","12","239","83","133","72","65","48","32","28","33","48","20","25","20","25","0","12","0","12","40","44","0","12","0","12","14","16","26","42","8","13","8","13","0","12","11","18","0","12","0","12","0","12","0","12","11","18","0","12","0","12","87","57","46","43","41","35","8","13","0","12","8","13","0","12","0","12","0","12","0","12","0","12","1500000US530530604004","Block Group 4, Census Tract 604, Pierce County, Washington"
"436","124","244","119","140","74","101","67","77","59","24","33","6","11","0","12","6","11","0","12","0","12","0","12","0","12","0","12","0","12","33","33","15","16","18","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","74","69","66","69","8","12","6","10","0","12","6","10","0","12","24","23","0","12","24","23","0","12","192","61","61","37","21","21","7","13","14","17","0","12","0","12","0","12","0","12","18","19","4","7","0","12","14","17","0","12","22","26","12","19","10","17","42","31","14","11","20","22","10","15","10","16","0","12","0","12","8","12","89","56","7","12","82","57","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530604005","Block Group 5, Census Tract 604, Pierce County, Washington"
