OBJECTID,PropertyID,ParkType,ParkClass,Address,PostalCity,ZIPCode,Owner,Manager,ParkHours,AcresImproved,AcresUnimproved,ParkWebLink,IsPublicAccessible,Maplabel,GISAcres,Name,AltWebLink,RESTROOM,ADACOMPLY,PARKING,PAVED_TRAIL,UNPAVED_TRAIL,TRAILHEAD,COMMUNITY_CENTER,PICNIC,PLAYGROUND,DOG_PARK,BASEBALL,BASKETBALL,MULTIPURPOSE,GOLF,BEACH,FISHING,BOAT_LAUNCH,SKATE,TENNIS,BMX,CLIMBING,EQUESTRIAN,DISC_GOLF,ICE_RINK,QTR_MIDGET_TRACK,PARKSIZE,DESCRIPTION,VisibleInApp,Camping,SHAPE_Length,SHAPE_Area
1,28,Community Center,Special Use,9112 Lakewood Dr SW,Tacoma,98499,Pierce County,Pierce County Parks and Recreation Services,See website,3.63,0,https://www.co.pierce.wa.us/1305/Lakewood-Community-Center,1,Lakewood Community Center,3.63169297,Lakewood Community Center, ,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,3.71,"The Lakewood Community Center is a multipurpose center, that includes a college-sized gymnasium, meeting rooms, and the Lakewood Senior Activity Center.",Yes, ,1770.82690152149,158203.239595066
2,43,Rec Center,Regional,14824 S C ST,Tacoma,98444,Pierce County,Pierce County Parks and Recreation Services,See website,45,0,https://www.co.pierce.wa.us/1310/Sprinker-Recreation-Center,1,Sprinker Recreation Center,45.24461158,Sprinker Recreation Center, ,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,43.76,"Sprinker Recreation Center is part of Spanaway Regional Park, and includes many indoor and outdoor recreation facilities, including ice rink, raquet-sports and basketball courts, ballfields, and skatepark with many community activities.",Yes, ,5552.38947981996,1970848.68761006
3,55,Park,Local,10506 Russell Rd SW,Lakewood,98499,City of Lakewood,City of Lakewood,"7:30am - 9:00pm or sunset, whichever comes first",2,0,http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks,1,Active Park,2.35243351,Active Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1371.92145719958,102512.846187975
4,56,Park,Resource Conservancy,2917 Morrison Ave W,University Place,98466,City of University Place,City of University Place,Tuesday - Saturday 10 AM - 2:30 PM,0,2,http://www.tahomaaudubon.org/Default.aspx?pageId=30304,1,Adriana Hess Wetland Park,3.31693522,Adriana Hess Wetland Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1904.90193618059,144485.111215774
5,57,Park,Regional,50324 School Rd,Eatonville,98328,City of Tacoma,Tacoma Power,Dawn to Dusk,161,537,http://www.mytpu.org/tacomapower/parks-rec/alder-lake-park/Default.htm,1,Alder Lake Park,771.42612432,Alder Lake Park, ,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,0,"Tacoma Power's Alder Lake Park offers expansive campgrounds and access to Alder Lake (formed by Alder Dam) in Pierce County, Washington.",no,Yes,41986.423279471,33603206.7716725
6,58,Park,Local,208 Browns Point Blvd,Tacoma,98422,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,7,0,http://www.metroparkstacoma.org/alderwood-park,1,Alderwood Park,6.58836554,Alderwood Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2988.80992766811,286995.165519976
7,59,Park,Local,Regents Boulevard and Electron Way,Fircrest,98466,City of Fircrest,City of Fircrest,Dawn to Dusk,0.21,0, ,1,Alice Peers Park,0.12303662,Alice Peers Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,432.966779518493,5359.45591151857
8,60,Park,Local,1134 S 60th St,Tacoma,98408,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,5,0,http://www.metroparkstacoma.org/alling-park,1,Alling Park,5.63042369,Alling Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2060.27753113904,245260.27936505
9,61,Park,Local,9222 Veterans Dr SW,Lakewood,98498,City of Lakewood,City of Lakewood,"7:30am - 9:00pm or sunset, whichever comes first",5,0,http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks,1,American Lake North Park,5.18756516,American Lake North Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1948.28206281528,225969.370178688
11,63,Playfield,Special Use,13005 Camus RD AI,Anderson Island,98303,Anderson Island Park District,Anderson Island Park District,7 am to 10:30 pm,0,40,http://www.andersonislandparks.org/Jane_Cammon_Park.html,1,Jane Cammon Park,40.63779604,Jane Cammon Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,6596.58439710252,1770175.24426073
