,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,p_XCOORD,p_YCOORD,pG_tri_raster_val,pG_slope_raster_val,pG_hw_raster_val,pG_hs_raster_val,pG_rr_raster_val,pD_parkd_none_dist,pD_waterd_none_dist,pG_park_raster_val,pG_waterd_raster_val,pG_elev_raster_val,pD_soundd_none_dist,pF_trid_none_dist,pE_hwd_none_dist,pE_hsd_none_dist,pE_rrd_none_dist
depMEAN_NO2__Plume,1.0,-0.23948216647427564,-0.10264082150693114,0.12933643851128165,-0.003277851059483298,0.21644394331729452,-0.19513709658311543,-0.2288762818044234,0.04533565890389385,0.17828146062214303,-0.04963922219517806,0.11989184717598099,0.4164390047202489,0.505679860471148,-0.14438140885899495,-0.2805087533972486,-0.06394710622178419,0.14182679201183712,-0.25880136384501135,0.025946628753753094,0.03223742197548867,0.06126730185773885
depMEAN_VOC__Plume,-0.23948216647427564,1.0,0.23320617715991304,-0.1857439557694221,0.06015203531963329,0.23115344475250732,-0.1643652211737586,0.25455937203565515,0.12611905343401122,0.28734659534060886,0.32421882574821226,0.3284125949714921,0.03419903406278327,0.0046652688519678255,-0.3092617062134241,0.08945322422275433,-0.3083737601289507,-0.08142755070698367,-0.09319717627954921,-0.2540186957253751,-0.10741857718058798,-0.22194866852578723
depMEAN_pm_10__Plu,-0.10264082150693114,0.23320617715991304,1.0,0.08292013011591479,0.7557803930398439,0.18341976101687232,-0.02732882213562362,0.21044308477853474,0.16938463028216494,0.17058220226685175,0.06939054458084805,0.2102288369289796,-0.043585075445448075,0.04604885384726693,-0.04583468049287869,-0.07767215527418973,-0.16456005352677958,-0.1725033451511383,-0.10656431171107662,-0.16940576421864156,-0.0835319713678089,-0.2042737246511447
depMEAN_pm_1__Plum,0.12933643851128165,-0.1857439557694221,0.08292013011591479,1.0,0.588621856889935,-0.24340855105460277,0.6104081643868473,-0.22870166035686176,-0.10227253578011912,-0.4231157833332057,-0.5400289464046999,-0.2625319098859165,0.03293726687195149,0.3220139234488722,0.14363694410413122,-0.46061538772178473,0.11665352931365165,-0.3353808093470104,0.5305156223108267,0.7185977063281279,0.7173228694539824,-0.07087709962972939
depMEAN_pm_2_5__Pl,-0.003277851059483298,0.06015203531963329,0.7557803930398439,0.588621856889935,1.0,0.03549417430147494,0.27917537510675106,0.0510632612007235,0.08904169593338833,-0.07028474139353971,-0.2297477033727393,0.04400081223374022,-0.03692729866548169,0.1968300824454876,0.08587452344174974,-0.30751301201571163,-0.050042747465253,-0.2890938037190224,0.15666775587004514,0.23392577932710346,0.318146717916716,-0.20101643420033463
p_XCOORD,0.21644394331729452,0.23115344475250732,0.18341976101687232,-0.24340855105460277,0.03549417430147494,1.0,-0.5252780411676441,0.3816595362246389,0.2195032522101695,0.6119453893573495,0.03499001708787794,0.6171242545883732,0.14942942690849004,0.38426939495650386,-0.09948172563050312,-0.40079348426510153,-0.4525762067288239,0.07907128925233427,-0.6861433683816206,-0.26563140874514773,-0.19050487144116246,-0.4073217660307345
p_YCOORD,-0.19513709658311543,-0.1643652211737586,-0.02732882213562362,0.6104081643868473,0.27917537510675106,-0.5252780411676441,1.0,-0.06652610621268316,-0.07407760744538214,-0.3417110247831446,-0.31864507326539854,-0.19261456712844094,-0.27807320740360286,-0.011982090843205435,0.433627332076191,-0.21896480037451088,0.04438703381647503,-0.7547943418959749,0.5868026009954259,0.43884002751650836,0.6759629677736023,-0.16184524456852445
pG_tri_raster_val,-0.2288762818044234,0.25455937203565515,0.21044308477853474,-0.22870166035686176,0.0510632612007235,0.3816595362246389,-0.06652610621268316,1.0,0.24302361525610472,0.34143473282363784,0.16764199255257298,0.3865784083510426,-0.1977238650609362,-0.11740301117026182,0.0956466847882427,-0.03858380272543238,-0.3722553281116455,-0.21768341607306177,-0.4940926013727145,-0.4022152462703336,-0.24406964134481518,-0.41761753514952965
pG_slope_raster_val,0.04533565890389385,0.12611905343401122,0.16938463028216494,-0.10227253578011912,0.08904169593338833,0.2195032522101695,-0.07407760744538214,0.24302361525610472,1.0,0.4370454054020939,0.08304854909936185,0.4264348233050109,-0.21046535512901696,0.2876274782606794,-0.1449240193921514,-0.19693530463935066,-0.2996116101602399,-0.27189722952634954,-0.16566395270752687,-0.305718617487211,-0.15615266938976333,-0.44136778135166577
pG_hw_raster_val,0.17828146062214303,0.28734659534060886,0.17058220226685175,-0.4231157833332057,-0.07028474139353971,0.6119453893573495,-0.3417110247831446,0.34143473282363784,0.4370454054020939,1.0,0.5154606032287556,0.940737168628554,0.012995702131486715,0.2580983419698094,-0.16893851621362344,-0.0961917039195322,-0.7109428386047474,-0.21910711647701506,-0.6466867470010498,-0.6712057172850453,-0.4059430638018304,-0.5281146510056792
