siteID,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,siteID_INT,p_XCOORD,p_YCOORD,pG_tri_raster_val,pG_slope_raster_val,pG_hw_raster_val,pG_hs_raster_val,pG_rr_raster_val,pD_parkd_none_dist,pD_waterd_none_dist,pG_park_raster_val,pG_waterd_raster_val,pG_elev_raster_val,pD_soundd_none_dist,pF_trid_none_dist,pE_hwd_none_dist,pE_hsd_none_dist,pE_rrd_none_dist
1,28.0,2.0,4.0,3.0,4.0,1,1159547.5972159654,674478.9877735525,0.0,0.0981593057513237,0.0,1.0,0.0,3542.0779262462565,3989.407635887828,1.0,2.0,114.1376953125,27322.54094371389,9199.625264714405,10004.729813177733,187.52015731096742,5644.547515606955
2,28.0,2.0,6.0,3.0,4.0,2,1159424.2008092254,674510.1061496437,0.0,0.15860393643379211,0.0,1.0,0.0,3476.946157261158,3879.5326419931866,1.0,2.0,113.91512298583984,27296.73315184383,9084.154562602193,9892.751571119787,62.54816620060949,5730.1214497819865
3,28.0,2.0,6.0,3.0,4.0,3,1159602.709310472,674514.4857340604,0.0,0.21650967001914978,0.0,1.0,0.0,3525.3831063231414,4052.109254307944,1.0,2.0,114.1376953125,27284.85951640692,9260.332202450192,10021.7495070767,240.51531935442213,5578.999370961764
4,30.0,2.0,18.0,3.0,7.0,4,1159586.3986475617,674539.3298444748,0.0,0.21650967001914978,0.0,1.0,0.0,3496.64945052402,4043.3555828439394,1.0,2.0,114.1376953125,27260.689253428358,9248.953385816154,9993.009152925482,222.81261871819197,5578.831247051757
5,30.0,2.0,18.0,3.0,7.0,5,1159691.2229129672,674552.448584646,0.0,0.20090603828430176,0.0,1.0,0.0,3518.8549787125594,4147.66626550716,1.0,2.0,114.09676361083984,27243.382634964488,9354.374617180933,10062.527974895593,326.7167391698268,5484.269172001109
6,36.0,2.0,10.0,3.0,4.0,6,1159572.9757741392,674570.3055043072,0.0,0.21650967001914978,0.0,1.0,0.0,3463.0205697839083,4039.338268510703,1.0,2.0,114.18209838867188,27230.276601907364,9241.665294387274,9962.331400651785,207.64143606655674,5572.864072137746
7,33.0,3.0,10.0,3.0,7.0,7,1159459.2315790504,674589.14733015,0.0,0.25519460439682007,0.0,1.0,0.0,3410.811278488069,3936.253190559322,1.0,2.0,114.06696319580078,27216.211115925693,9133.739666921478,9865.239127683495,92.99670851733529,5657.14141403505
8,35.0,2.0,3.0,3.0,4.0,8,1159386.7822488844,674597.4911454767,0.0,0.17262670397758484,0.0,1.0,0.0,3382.7111005233023,3869.8195370462104,1.0,2.0,114.04525756835938,27211.155422091993,9064.363801749636,9806.070930181371,20.185674862456676,5712.713448450484
9,32.0,3.0,0.0,0.0,0.0,9,1159533.9328732193,674611.7601458132,0.0,0.2776144742965698,0.0,1.0,0.0,3411.4567278290237,4014.2957854835986,1.0,2.0,114.18209838867188,27190.438081255044,9211.42896134123,9905.590988316053,166.26249979847057,5582.482177315523
10,32.0,3.0,0.0,0.0,0.0,10,1159335.092063561,674630.5002658069,0.0,0.3995051383972168,0.0,1.0,0.0,3337.322702083758,3831.165568864893,1.0,2.0,114.26049041748047,27180.643062194857,9020.361669169986,9745.66025335358,33.33002595233255,5737.524184229005
11,0.0,2.0,3.0,3.0,4.0,11,1159445.1912527978,674645.6770727187,0.0,0.25519460439682007,0.0,1.0,0.0,3352.630373880113,3940.3654624483124,1.0,2.0,114.76994323730469,27160.35778525858,9131.250318577073,9816.907767067989,75.74489468299474,5637.381001479474
