,FID_1,FID_1_1,OBJECTID,ShortName,r14_over,r14_nati,r14_asi,r14_bla,r14_lati,r14_whi,r14_paci,r14_mul,m14_over,m14_nati,m14_asi,m14_bla,m14_lati,m14_whi,m14_paci,m14_mul,r15_over,r15_nati,r15_asi,r15_bla,r15_lati,r15_whi,r15_paci,r15_mul,m15_over,m15_nati,m15_asi,m15_bla,m15_lati,m15_whi,m15_paci,m15_mult,OverPol14,OverInc14,OverPop14,OverSch14,OverBus14,OverSci14,OverEdl14,OverHea14,OverSer14,OverSal14,OverExt14,OverLog14,WhitePol14,WhiteInc14,WhitePop14,WhiteSch14,WhiteBus14,WhiteSci14,WhiteEdl14,WhiteHea14,WhiteSer14,WhiteSal14,WhiteExt14,WhiteLog14,BlackPol14,BlackInc14,BlackPop14,BlackSch14,BlackBus14,BlackSci14,BlackEdl14,BlackHea14,BlackSer14,BlackSal14,BlackExt14,BlackLog14,NativPol14,NativInc14,NativPop14,NativSch14,NativBus14,NativSci14,NativEdl14,NativHea14,NativSer14,NativSal14,NativExt14,NativLog14,AsianPol14,AsianInc14,AsianPop14,AsianSch14,AsianBus14,AsianSci14,AsianEdl14,AsianHea14,AsianSer14,AsianSal14,AsianExt14,AsianLog14,PacifPol14,PacifInc14,PacifPop14,PacifSch14,PacifBus14,PacifSci14,PacifEdl14,PacifHea14,PacifSer14,PacifSal14,PacifExt14,PacifLog14,MultiPol14,MultiInc14,MultiPop14,MultiSch14,MultiBus14,MultiSci14,MultiEdl14,MultiHea14,MultiSer14,MultiSal14,MultiExt14,MultiLog14,OverPol15,OverInc15,OverPop15,OverSch15,OverBus15,OverSci15,OverEdl15,OverHea15,OverSer15,OverSal15,OverExt15,OverLog15,WhitePol15,WhiteInc15,WhitePop15,WhiteSch15,WhiteBus15,WhiteSci15,WhiteEdl15,WhiteHea15,WhiteSer15,WhiteSal15,WhiteExt15,WhiteLog15,BlackPol15,BlackInc15,BlackPop15,BlackSch15,BlackBus15,BlackSci15,BlackEdl15,BlackHea15,BlackSer15,BlackSal15,BlackExt15,BlackLog15,NativPol15,NativInc15,NativPop15,NativSch15,NativBus15,NativSci15,NativEdl15,NativHea15,NativSer15,NativSal15,NativExt15,NativLog15,AsianPol15,AsianInc15,AsianPop15,AsianSch15,AsianBus15,AsianSci15,AsianEdl15,AsianHea15,AsianSer15,AsianSal15,AsianExt15,AsianLog15,PacifPol15,PacifInc15,PacifPop15,PacifSch15,PacifBus15,PacifSci15,PacifEdl15,PacifHea15,PacifSer15,PacifSal15,PacifExt15,PacifLog15,MultiPol15,MultiInc15,MultiPop15,MultiSch15,MultiBus15,MultiSci15,MultiEdl15,MultiHea15,MultiSer15,MultiSal15,MultiExt15,MultiLog15
0,0,0,1,Whittier,-10.3,0,-1,0,0,-3.9,0,0,-19.1,0,-1,0,-8.1,-7.3,-20,-31.9,-25.4,0,-0.6,-27.8,-13.3,-13.3,-50,-0.9,-31.9,0,-0.6,-34.7,-19.6,-18.4,-50,-22.1,43.45931734,51328.17498,1667.68402,13.44981095,0.138469335,0.018816719,0.106352397,0.068028945,0.225579351,0.264440227,0.135702956,0.019397527,42.58797136,52676.47535,1632.096244,13.54170661,0.142297072,0.01965819,0.114082846,0.069636668,0.219126305,0.260255866,0.12792733,0.019580562,47.09361185,43098.05702,1791.022429,12.88110075,0.127157578,0.011044813,0.071353322,0.047950379,0.256228272,0.289111836,0.168154132,0.017541734,51.05930862,45016.6208,1244.105728,13.50789284,0.120127038,0.006149851,0.101649316,0.080002819,0.237415688,0.266104967,0.180621727,0.011236928,42.1304982,56270.66563,1791.742281,13.79299984,0.09303492,0.031276064,0.103274053,0.09491398,0.229547981,0.249047972,0.138805285,0.025828409,53.61375937,33334.57219,1171.765989,13.35524648,0.098989178,0,0.079553876,0.07531947,0.265217042,0.283242953,0.209892872,0.005268519,42.63547905,54776.69549,1606.631923,13.58632759,0.178731951,0.015371919,0.121007962,0.068567866,0.209446208,0.257401924,0.122545852,0.017808358,43.49012166,52347.18798,1593.479974,13.39653671,0.139373169,0.015386248,13.39653671,0.067392478,0.274378671,0.274378671,0.216165636,0.081659946,42.58671207,53519.15572,1550.940228,13.45113581,0.140339056,0.016387943,13.45113581,0.071095648,0.261563922,0.261563922,0.218436424,0.077766687,47.94210108,46055.47416,1740.303127,13.07502595,0.134609708,0.010684337,13.07502595,0.05519313,0.327677807,0.327677807,0.208877294,0.099543232,52.68721337,50286.45995,1159.794865,13.60665746,0.123343632,0.011110563,13.60665746,0.084855644,0.211378474,0.211378474,0.217188696,0.120077658,42.1426045,55460.37269,1666.532635,13.48845177,0.119773837,0.018881059,13.48845177,0.073896524,0.252765571,0.252765571,0.235202571,0.080600479,55.36402016,43747.23242,1127.462594,13.67993717,0.111523955,0.010084981,13.67993717,0.047167476,0.260734456,0.260734456,0.204732762,0.139648573,43.42270447,51779.22023,1648.841837,13.39417531,0.161482167,0.012898288,13.39417531,0.054005943,0.310693719,0.310693719,0.191570131,0.079480738
1,1,1,2,Whitman,-37,-100,-15.7,-30.5,-28.8,-21.1,-25,0,-41.3,0,-22.5,-32.3,-31.5,-24.1,-60.9,-2,-59.4,0,0,-53.6,0,-39.3,-43,0,-50.9,0,0,-51,0,-28.1,-43,0,69.82812889,42885.51799,1275.357008,12.7767896,0.087802794,0.019140556,0.076452372,0.035341143,0.249157116,0.288387772,0.203017667,0.040052596,70.04086347,43771.14322,1298.664574,12.86121106,0.091048103,0.02451778,0.075310124,0.036768531,0.249429368,0.282573517,0.195166273,0.048234597,70.41502137,41338.79222,1200.476402,12.74138459,0.080706602,0.006723306,0.079808036,0.028651465,0.244396635,0.301285901,0.262005138,0.027959895,72.84299002,35968.50167,1106.260368,12.81302946,0.060966456,0.007806686,0.081312051,0.025534642,0.243284713,0.304019915,0.334402223,0.021566396,66.2185378,44331.85613,1222.809057,12.38480743,0.081729722,0.014147627,0.061236548,0.046154864,0.289072166,0.281560763,0.161274752,0.018526978,71.0099763,35869.29509,959.4615524,13.11188636,0.063951005,0.024656737,0.085150258,0.084419326,0.253217505,0.252385206,0.227188339,0.007578527,67.84857354,42840.02145,1439.393276,12.53686326,0.079704595,0.019977027,0.075701668,0.038447131,0.231692004,0.310130012,0.150251434,0.037365927,69.90984764,43815.07374,1258.291367,12.86461677,0.112190026,0.020988654,12.86461677,0.02789586,0.250493461,0.250493461,0.265010351,0.11509557,69.91614734,44232.23197,1270.420353,12.9443276,0.110581415,0.026884786,12.9443276,0.030355033,0.255941652,0.255941652,0.263029324,0.117727833,70.59955205,42381.07887,1239.09716,12.98757255,0.109856396,0.004917482,12.98757255,0.030278158,0.23836023,0.23836023,0.285410043,0.153025591,72.30607503,38608.85395,1134.483006,13.09788913,0.109710081,0.003925664,13.09788913,0.027926093,0.225032695,0.225032695,0.274194556,0.159728775,67.84655801,44354.94937,1219.81316,12.36525107,0.095091381,0.032239238,12.36525107,0.02153618,0.269872562,0.269872562,0.231558177,0.071912392,70.41423823,38087.67972,979.7479896,13.19360056,0.094265434,0.024385179,13.19360056,0.059421608,0.210149875,0.210149875,0.224019314,0.118370644,68.1320891,45591.39479,1393.866953,12.58009608,0.134882129,0.01501071,12.58009608,0.022612387,0.2475033,0.2475033,0.271853407,0.061573189
2,2,2,3,Blix Elementary,-35,-100,-8,0,-32.6,-17.1,0,0,-50.1,-100,-10.9,0,-53.4,-44.5,0,-100,-61.1,0,-24.3,-35.7,0,-43.5,-29.9,0,-63,0,-19.6,-49,-69.6,-43.5,-29.9,0,57.27143065,32891.5876,1287.397674,11.92288169,0.092805514,0.031799562,0.073026385,0.035653408,0.29656275,0.207306001,0.168991019,0.022378871,62.05259795,37530.9914,1236.448339,12.14364476,0.104410042,0.034936057,0.082971991,0.036617729,0.277717605,0.20565816,0.174959725,0.028329596,47.47004061,23239.42139,1345.529023,11.70396857,0.07818483,0.024842114,0.053428698,0.048824151,0.317147153,0.22098432,0.116400482,0.008623059,57.17300017,35723.27824,1196.523895,11.92779704,0.083409172,0.034318354,0.062274571,0.028746052,0.331052129,0.190297537,0.180258287,0.036486332,53.20796528,29373.7571,1374.474385,11.64083823,0.087519115,0.030191067,0.0645079,0.030290913,0.313609425,0.204554817,0.195084813,0.016765996,58.32633021,33218.6447,1191.167354,11.50499019,0.103818295,0.036328995,0.041965254,0.030507997,0.28290212,0.267439988,0.222488138,0.027564761,55.20170375,30765.15353,1305.784864,11.90110562,0.093027565,0.026766458,0.073834331,0.035635644,0.307103464,0.20611842,0.142125849,0.018963473,59.13271278,34365.48857,1256.213571,11.90580171,0.093634985,0.024175452,11.90580171,0.04184011,0.297671625,0.297671625,0.195658037,0.090096615,63.292422,38711.57293,1220.395917,12.067632,0.101764328,0.029082116,12.067632,0.037049685,0.285586535,0.285586535,0.20104833,0.089457961,51.71851806,27111.72249,1315.018815,11.69934724,0.088477851,0.017587925,11.69934724,0.062928217,0.294932558,0.294932558,0.186280727,0.080404094,59.34399729,38892.08983,1163.503682,11.86606672,0.086912801,0.037254116,11.86606672,0.014303752,0.352205173,0.352205173,0.19401243,0.115573797,53.73307603,29180.56525,1313.830403,11.78798536,0.095401284,0.018975009,11.78798536,0.051539226,0.31509724,0.31509724,0.189250522,0.096624947,62.12351772,35008.73329,1228.43766,11.81037162,0.110216957,0.021044236,11.81037162,0.04201078,0.282691758,0.282691758,0.261326786,0.113742407,56.60770473,32544.18992,1269.812656,11.87699484,0.09524456,0.022035609,11.87699484,0.046765351,0.302284072,0.302284072,0.194102236,0.080521078
3,3,3,4,Boze,-28.1,-20,-1.1,0,-22.9,-13.6,0,0,-39.8,-39.7,-14.3,0,-28.7,-4.4,-1.2,0,-46.2,0,0,0,-48,0,-20,0,-45.1,-24.5,0,-40.2,-45.3,0,-20,0,44.15836638,48138.48034,2173.044944,12.02636212,0.058421145,0.029682512,0.108385686,0.029980813,0.248079146,0.191169507,0.297628453,0.040229433,42.57332561,50743.9026,2075.530342,12.19808622,0.07419562,0.031112427,0.099245963,0.029179301,0.233755666,0.203094477,0.284935607,0.037366289,43.65303731,46150.24638,2412.692085,11.95970137,0.04592275,0.02856013,0.101187627,0.032594459,0.244617925,0.199253422,0.323703238,0.044391678,40.19693691,48217.38826,2508.909724,12.21755428,0.059410212,0.037015318,0.103612984,0.036652551,0.231445752,0.192412125,0.305335418,0.030449944,46.83767197,45472.74505,2036.63081,11.79216806,0.037545216,0.021571362,0.129307608,0.025921451,0.279793652,0.18033663,0.285034039,0.040311363,44.83476445,51170.33947,2525.237011,11.80380251,0.06013447,0.039922567,0.108091018,0.032602864,0.244827088,0.196081061,0.31464085,0.016464038,49.40777354,48299.9272,2180.270178,11.74644232,0.064783025,0.035646362,0.087789521,0.032836491,0.222990575,0.221077413,0.301454794,0.050467678,42.88962253,53385.89318,2285.609091,12.14220243,0.057299668,0.021769614,12.14220243,0.041535948,0.251400871,0.251400871,0.194461059,0.16552759,42.30502271,56170.37706,2106.879023,12.35452081,0.079927004,0.022548553,12.35452081,0.041685929,0.233285659,0.233285659,0.209080569,0.154772229,42.29751797,49753.76327,2563.967728,11.95797301,0.034821239,0.020518366,11.95797301,0.043600998,0.267592005,0.267592005,0.176528002,0.183676428,37.24583356,54220.10377,2515.666433,12.50416394,0.076719808,0.029526464,12.50416394,0.045868604,0.204822748,0.204822748,0.218055585,0.158748897,44.76286953,52688.62332,2278.94882,11.7571982,0.033531133,0.020763992,11.7571982,0.036722288,0.274874776,0.274874776,0.188799326,0.176968959,42.60004732,53187.0372,2678.697661,12.09059895,0.053607799,0.025032981,12.09059895,0.039826691,0.244822184,0.244822184,0.205318218,0.162558911,47.58853093,51332.78093,2313.156804,12.0651638,0.052394083,0.016793595,12.0651638,0.051214811,0.267424923,0.267424923,0.206347223,0.153751681
4,4,4,5,Fawcett,-21,0,-1.9,-4.3,0,-11.8,0,0,-33.7,-60,-1.9,-17.5,0,-26.9,-16.4,-33.3,-41.8,-75,-18.8,-58,-33.3,-24.7,-19.6,-28.5,-35.9,-2.4,-2.1,-17.6,-32,-25.2,-19.6,-42.8,53.21017176,43273.09773,1518.944719,12.09294192,0.07141829,0.040615911,0.085233253,0.039309245,0.266303158,0.230138059,0.194156666,0.033444176,53.6236964,44583.28859,1448.465684,12.17276431,0.080905039,0.040245973,0.079816478,0.038272365,0.257552886,0.236919425,0.189010553,0.03302943,51.24843474,38529.1756,1765.467957,11.95895684,0.047433612,0.050428254,0.082487736,0.050692069,0.268515315,0.224317263,0.197866817,0.027012079,50.14251528,57202.41918,1587.35553,12.34089215,0.086113636,0.028330624,0.092691328,0.047049845,0.244686673,0.150472114,0.349274553,0.064385887,54.90620276,38913.66873,1515.025617,11.80343158,0.040375243,0.049115464,0.10880857,0.042700368,0.303685151,0.226803906,0.135183077,0.018002039,52.95127178,57932.42628,1467.012661,11.9781882,0.086759089,0.022056685,0.094949685,0.03893734,0.245027632,0.171754469,0.365749788,0.065899538,53.4935075,44791.80139,1495.488928,12.0879017,0.08172264,0.049255412,0.077090346,0.042577766,0.244405446,0.235636404,0.20620077,0.036973941,53.49384118,46860.31368,1471.022632,12.35974017,0.069563901,0.02293668,12.35974017,0.05056868,0.267813998,0.267813998,0.222458407,0.122648583,54.43572347,48772.7,1395.790646,12.39521234,0.080934716,0.023478437,12.39521234,0.044314552,0.266910337,0.266910337,0.222555266,0.123136698,51.29712164,42938.93436,1590.64548,12.42236212,0.05441095,0.025563924,12.42236212,0.07274182,0.280646792,0.280646792,0.205051782,0.103651421,50.44467217,56721.22795,1564.464466,12.47328556,0.109061937,0.023289803,12.47328556,0.037501283,0.248900514,0.248900514,0.147391243,0.186773064,53.92513559,45472.83029,1483.40536,12.31561569,0.046949975,0.030042785,12.31561569,0.081136581,0.252748678,0.252748678,0.256569146,0.085661261,53.66377571,52355.75376,1482.249063,12.07170744,0.075731999,0.008294807,12.07170744,0.050001536,0.292815335,0.292815335,0.17598243,0.163388651,53.85017606,44862.35211,1338.692589,12.40554852,0.071571283,0.021479298,12.40554852,0.042238419,0.272057553,0.272057553,0.21996302,0.135778165
5,5,5,6,Lyon,-31.3,0,-24.9,-31,-19.3,-11.1,-50,-100,-44.4,0,-19.2,-42.3,-40.2,-18.7,-100,-100,-56.9,0,-31.9,-60,-43.9,-36.4,0,0,-57.8,0,-25.8,-86.5,-42.6,-37.1,-66.6,0,70.13487343,50307.71011,1203.516163,12.56403466,0.116159467,0.029492274,0.082718998,0.022209912,0.256579863,0.214656696,0.26089095,0.030378928,69.72671221,53563.44499,1170.496516,12.75242065,0.120676163,0.034531178,0.081035877,0.028024078,0.255338839,0.216979051,0.244984503,0.041664911,73.20432691,41568.09605,1057.787281,12.47742206,0.067375049,0.014649367,0.066256929,0.012555448,0.257708397,0.270177059,0.42898032,0.010852357,71.50786195,53294.4951,1144.298308,12.60386723,0.109523358,0.018619532,0.084953413,0.016711968,0.275301564,0.215632641,0.349077464,0.022218034,68.63281909,47854.68716,1296.496211,12.25816028,0.142604354,0.02040126,0.086756474,0.012382693,0.256514674,0.180421935,0.18826567,0.012200386,78.61344934,48682.09224,1140.325155,12.2571617,0.174727474,0.026553774,0.069839659,0.06741675,0.143561702,0.371806508,0.132173463,0.04787961,70.57829326,47878.52509,1277.34262,12.33119641,0.12005005,0.026612718,0.091310923,0.018951629,0.272814181,0.204887705,0.23612568,0.022996083,70.15438282,49638.68782,1208.78934,12.56407835,0.121934694,0.026313683,12.56407835,0.018624099,0.258920996,0.258920996,0.218946732,0.134694304,70.09532676,53780.02092,1181.359407,12.66346164,0.135968851,0.032437803,12.66346164,0.019646178,0.249295526,0.249295526,0.221734689,0.132894756,72.23937597,41265.69369,1098.263891,12.68724972,0.078859561,0.011748812,12.68724972,0.029502783,0.255459234,0.255459234,0.247087342,0.198426731,72.3938803,51879.33017,1147.807765,12.6942395,0.136461244,0.018867748,12.6942395,0.019268543,0.268462607,0.268462607,0.220948202,0.174923805,68.89882983,49002.82888,1333.640122,12.41781951,0.131546958,0.027751127,12.41781951,0.008430096,0.277614148,0.277614148,0.188457522,0.08765765,81.73503274,42315.72219,1282.737404,12.02188621,0.157841555,0.024510947,12.02188621,0.068719104,0.146110066,0.146110066,0.331397543,0.110073376,69.33310934,46798.55175,1273.912573,12.4577529,0.124582727,0.022089153,12.4577529,0.013905887,0.270569209,0.270569209,0.221319027,0.115795011
6,6,6,7,Sheridan,-32.4,0,-16.9,-22.9,-29.8,0,-33.3,0,-31.9,0,-6.2,-21.1,-33.1,0,-33.3,0,-53.4,0,0,-50,-54.3,0,-71.4,-24.5,-43.1,0,0,-35.5,-40.7,0,-71.4,-12.2,52.25717412,34019.63108,1322.774071,11.92483658,0.068003224,0.017371852,0.090942306,0.02996067,0.311088255,0.201142626,0.169459386,0.025334937,54.50726371,36510.14805,1276.328969,12.01978411,0.076918028,0.017889055,0.086353568,0.025169193,0.301189002,0.220760734,0.165878832,0.019022885,46.52761746,26830.79421,1330.531065,11.86864386,0.05406837,0.01350418,0.071602748,0.043502005,0.325367195,0.231341669,0.12750293,0.025277958,43.3996355,18830.84792,1303.494462,11.92011534,0.051189065,0.016120489,0.068096904,0.057247463,0.362257591,0.228903458,0.056063574,0.00399228,54.50838924,38167.69333,1317.999331,11.94534703,0.083190033,0.014975254,0.093266597,0.024412493,0.297620173,0.186399004,0.170488897,0.029577909,54.69338394,23478.66025,1123.596406,11.80724917,0.079172507,0.006331796,0.023216584,0.067673313,0.325216466,0.28860474,0.012663592,0,47.07112801,25835.21705,1356.563178,11.78658897,0.058189754,0.014841195,0.063523479,0.047922015,0.313203726,0.22256308,0.139081136,0.01848461,52.5687949,38636.84559,1312.896458,11.93846054,0.062873341,0.01467708,11.93846054,0.039177715,0.299263228,0.299263228,0.180969609,0.115928931,55.07685463,42401.2687,1260.131123,12.13146961,0.074409566,0.017877385,12.13146961,0.03081262,0.283383565,0.283383565,0.202482774,0.103904856,47.15412891,30667.38439,1340.615792,11.72481242,0.057140103,0.01196599,11.72481242,0.060288062,0.31712833,0.31712833,0.160066622,0.111453195,50.23690254,25494.57546,1241.082822,11.98485589,0.063223079,0.01270776,11.98485589,0.059914595,0.324760579,0.324760579,0.164652937,0.062098309,52.98600997,41058.00742,1338.589669,11.88660263,0.072970258,0.017941273,11.88660263,0.038405316,0.289701197,0.289701197,0.182526514,0.110214909,48.88470302,27303.12533,1117.524241,12.16279269,0.10519473,0.01158321,12.16279269,0.064515253,0.271025912,0.271025912,0.260796273,0.044011395,49.58501765,27313.62461,1252.44968,11.91953634,0.06442883,0.011462631,11.91953634,0.060862377,0.298331183,0.298331183,0.199325472,0.091295748
7,7,7,8,Arlington,-28.3,0,-6.8,-21.8,0,-16.1,-42.3,-25,-38.6,0,-15.8,-31,-26.1,-21.3,-42.7,-27.5,-51.2,0,-11.9,-54.8,-41.7,0,-71.9,0,-42.3,0,-26.1,-27.1,-29.3,0,-58.6,-42.6,53.50107739,46144.34207,1331.906841,12.59491693,0.07306398,0.034502776,0.065313236,0.072006465,0.259141688,0.207367323,0.245577257,0.037054375,53.17616492,46632.23385,1318.165536,12.44684748,0.074892928,0.04400626,0.061313173,0.063779302,0.258609006,0.199677758,0.259205819,0.034477846,54.36050487,44279.21843,1349.136178,12.93258848,0.066513914,0.013230379,0.073055112,0.089968858,0.261950046,0.224093109,0.216241567,0.042239969,58.59690939,37945.25774,1215.961974,12.99680021,0.053212286,0.00086198,0.085592417,0.099618453,0.243742305,0.265762696,0.2441749,0.032414602,54.06299268,43897.31282,1321.614125,13.18390711,0.062075579,0.00902988,0.076078242,0.102457248,0.269754081,0.227186042,0.190719268,0.047931999,57.37368346,47713.28993,1245.652711,12.78467801,0.047531918,0.02194939,0.047532961,0.025898715,0.391234954,0.162447443,0.19219388,0.053674041,53.23970283,48269.94258,1492.936502,12.45312309,0.065753062,0.02020138,0.054723028,0.048069864,0.277634686,0.203507119,0.237835818,0.043279378,54.30001774,45810.93931,1337.896552,12.4985711,0.075378673,0.014627867,12.4985711,0.053146279,0.288946538,0.288946538,0.183351695,0.141077317,54.0245095,46047.05614,1320.053586,12.39541476,0.072676428,0.014559932,12.39541476,0.05070231,0.298611531,0.298611531,0.175031852,0.144828357,53.99013659,46304.95802,1384.934419,12.77132,0.078760196,0.014945702,12.77132,0.065322087,0.263555242,0.263555242,0.201117137,0.129748809,60.46346747,39484.50703,1230.645312,13.06331661,0.082054954,0.003222164,13.06331661,0.064051476,0.237085925,0.237085925,0.218369601,0.151679199,54.8561171,45787.64569,1369.126064,13.07425695,0.074826357,0.011981496,13.07425695,0.075718193,0.25420766,0.25420766,0.210172705,0.130426095,58.36331581,46152.66084,1281.69577,12.75629537,0.097431361,0.021804325,12.75629537,0.016821617,0.305621184,0.305621184,0.19424035,0.124808212,52.42231453,48980.1696,1499.791287,12.72375351,0.080801156,0.017775072,12.72375351,0.067019046,0.25304867,0.25304867,0.214366275,0.117364844
8,8,8,9,Manitou Park,-24.6,-50,0,-19.9,-20.2,-8.1,0,0,-33.4,-50,0,-28.3,-36.3,-13.7,0,-7.6,-61.4,0,0,-67.4,-55.7,-40.4,-29.6,-46.5,-61,-66.6,0,-76.8,-58.1,-39.9,-37.9,-46.1,45.87262248,51047.88491,1698.639386,12.87399446,0.084668241,0.032199419,0.068903005,0.05620617,0.288994865,0.22671718,0.168276998,0.031479122,45.42070291,51481.13922,1675.043513,12.84336855,0.082964223,0.037641341,0.068738198,0.05582981,0.284021751,0.224136785,0.169987159,0.0314085,48.36548521,45416.19485,1777.49465,12.65913812,0.089043408,0.008525274,0.056235667,0.042259546,0.309708045,0.249128273,0.187830506,0.030155422,59.11744282,42319.73897,1208.60504,12.95669517,0.048024445,0.004014597,0.088227989,0.068444825,0.302945429,0.237123645,0.22504653,0.026971708,43.06751585,56882.69998,1825.177549,13.49245259,0.069379429,0.032726667,0.086247713,0.079919976,0.268910848,0.226003151,0.135065122,0.040246169,57.12268797,46889.85707,1271.702397,12.77372918,0.024812034,0.008110316,0.057780852,0.033595606,0.437693398,0.152547645,0.214405637,0.069625537,45.26222361,52054.74698,1796.63282,12.91299768,0.098835318,0.014563545,0.074645039,0.055956721,0.306285695,0.227140282,0.158602659,0.034527408,46.73672277,49545.38023,1602.040193,12.74546539,0.093171195,0.017504097,12.74546539,0.047116454,0.347411693,0.347411693,0.193471001,0.097565682,46.31757336,49653.78917,1573.938703,12.702268,0.089887848,0.017209943,12.702268,0.045840579,0.34223017,0.34223017,0.196793402,0.095770816,49.2812533,47838.88073,1726.23223,12.73687464,0.102973637,0.010265744,12.73687464,0.043738645,0.383816009,0.383816009,0.175729869,0.114232414,59.96337996,44705.56077,1262.74698,13.12866711,0.103866198,0.003017973,13.12866711,0.05308258,0.268602007,0.268602007,0.211352355,0.135332329,44.1553407,53444.33758,1665.166889,13.11136812,0.084396995,0.019259668,13.11136812,0.055489059,0.278209818,0.278209818,0.229161539,0.089582267,59.09986466,45373.038,1240.171949,12.72277057,0.05146073,0.004978556,12.72277057,0.035590834,0.317232718,0.317232718,0.179428224,0.191319143,45.45541282,50352.8763,1823.644624,12.83810292,0.107207597,0.012319415,12.83810292,0.046631491,0.38680455,0.38680455,0.190773376,0.092008281
9,9,9,10,Larchmont,-18.6,0,-4.9,-14.2,0,-4.2,-33.3,-25,-34.3,-3.3,-14.7,-27.5,0,-22.5,-33.3,-25,-49.7,0,-42.1,0,-43.5,-24.5,-58.5,0,-54.4,-33.3,-26,0,-46.1,-34.9,0,0,46.27009856,41508.55786,1856.703264,12.00687355,0.043121236,0.048411602,0.06977299,0.065415793,0.248808204,0.214754885,0.172513473,0.04390126,46.36634557,42731.45974,1793.72172,12.0418599,0.04765064,0.047390302,0.071146091,0.064833031,0.248485452,0.205426832,0.169562979,0.047533214,47.41490317,36132.24383,2015.151029,11.94558361,0.029792885,0.05523149,0.066259288,0.067935824,0.258366729,0.22688198,0.1714678,0.028886109,45.61563608,53675.06572,2084.575859,12.11465419,0.038067969,0.056894554,0.082215216,0.055463646,0.252709915,0.16658994,0.177539789,0.065524849,45.06054982,45139.04201,1742.702746,11.85920101,0.044136334,0.050136427,0.069112371,0.066819836,0.240328632,0.261778748,0.156954529,0.042773108,45.26647322,55742.10236,1469.16177,12.18032376,0.04539779,0.038278363,0.062223804,0.059764104,0.285221012,0.20926581,0.143889095,0.062412743,47.98170837,36666.21769,1757.672301,11.99449817,0.040149671,0.051673026,0.064433991,0.070116793,0.261992315,0.226471968,0.154024497,0.030194093,45.9025015,43475.50261,2033.041698,12.40579569,0.044327136,0.03182031,12.40579569,0.071384421,0.227638159,0.227638159,0.213990081,0.105421412,46.09244972,44126.66807,2005.699882,12.43899796,0.044661179,0.032966108,12.43899796,0.063175327,0.223839657,0.223839657,0.210118337,0.108350301,47.11369269,42758.10166,2057.398506,12.48396108,0.04121048,0.034286505,12.48396108,0.087512701,0.249207516,0.249207516,0.205612094,0.082837934,43.462574,45349.60044,2836.941287,12.34299895,0.022433825,0.038120244,12.34299895,0.051780158,0.214605755,0.214605755,0.198926354,0.133310441,44.97777411,44928.74844,1669.51799,12.32160566,0.066088619,0.029261532,12.32160566,0.103465391,0.195921919,0.195921919,0.278873302,0.089520452,42.66807304,44544.32058,1432.816269,11.99292513,0.058756655,0.010437477,11.99292513,0.056373502,0.170000201,0.170000201,0.272271727,0.173417578,46.78272583,43424.334,1948.628041,12.49480796,0.046997775,0.029149491,12.49480796,0.060101311,0.238716559,0.238716559,0.201397522,0.096811326
