,FID_1,FID_1_1,Name,r14_over,r14_nati,r14_asi,r14_bla,r14_lati,r14_whi,r14_paci,r14_mul,m14_over,m14_nati,m14_asi,m14_bla,m14_lati,m14_whi,m14_paci,m14_mul,r15_over,r15_nati,r15_asi,r15_bla,r15_lati,r15_whi,r15_paci,r15_mul,m15_over,m15_nati,m15_asi,m15_bla,m15_lati,m15_whi,m15_paci,m15_mult,OverPol14,OverInc14,OverPop14,OverSch14,OverBus14,OverSci14,OverEdl14,OverHea14,OverSer14,OverSal14,OverExt14,OverLog14,WhitePol14,WhiteInc14,WhitmPop14,WhiteSch14,WhiteBus14,WhiteSci14,WhiteEdl14,WhiteHea14,WhiteSer14,WhiteSal14,WhiteExt14,WhiteLog14,BlackPol14,BlackInc14,BlackPop14,BlackSch14,BlackBus14,BlackSci14,BlackEdl14,BlackHea14,BlackSer14,BlackSal14,BlackExt14,BlackLog14,NativPol14,NativInc14,NativPop14,NativSch14,NativBus14,NativSci14,NativEdl14,NativHea14,NativSer14,NativSal14,NativExt14,NativLog14,AsianPol14,AsianInc14,AsianPop14,AsianSch14,AsianBus14,AsianSci14,AsianEdl14,AsianHea14,AsianSer14,AsianSal14,AsianExt14,AsianLog14,PacifPol14,PacifInc14,PacifPop14,PacifSch14,PacifBus14,PacifSci14,PacifEdl14,PacifHea14,PacifSer14,PacifSal14,PacifExt14,PacifLog14,MultiPol14,MultiInc14,MultiPop14,MultiSch14,MultiBus14,MultiSci14,MultiEdl14,MultiHea14,MultiSer14,MultiSal14,MultiExt14,MultiLog14,OverPol15,OverInc15,OverPop15,OverSch15,OverBus15,OverSci15,OverEdl15,OverHea15,OverSer15,OverSal15,OverExt15,OverLog15,WhitePol15,WhiteInc15,WhitePop15,WhiteSch15,WhiteBus15,WhiteSci15,WhiteEdl15,WhiteHea15,WhiteSer15,WhiteSal15,WhiteExt15,WhiteLog15,BlackPol15,BlackInc15,BlackPop15,BlackSch15,BlackBus15,BlackSci15,BlackEdl15,BlackHea15,BlackSer15,BlackSal15,BlackExt15,BlackLog15,NativPol15,NativInc15,NativPop15,NativSch15,NativBus15,NativSci15,NativEdl15,NativHea15,NativSer15,NativSal15,NativExt15,NativLog15,AsianPol15,AsianInc15,AsianPop15,AsianSch15,AsianBus15,AsianSci15,AsianEdl15,AsianHea15,AsianSer15,AsianSal15,AsianExt15,AsianLog15,PacifPol15,PacifInc15,PacifPop15,PacifSch15,PacifBus15,PacifSci15,PacifEdl15,PacifHea15,PacifSer15,PacifSal15,PacifExt15,PacifLog15,MultiPol15,MultiInc15,MultiPop15,MultiSch15,MultiBus15,MultiSci15,MultiEdl15,MultiHea15,MultiSer15,MultiSal15,MultiExt15,MultiLog15
0,0,0,First Creek,-46.1,0,-22.9,-42.9,-49.7,-26.9,-44.8,-10.4,-58.8,-4.6,-34.6,-58.3,-61.5,-37.2,0,-45,-59.6,-9.9,-38.2,-62.6,-63.3,-36.9,0,-24.2,-63.9,-9.9,-36.8,-65,-68.3,-50,0,-50.6,52.57455128,41976.67765,1588.878139,12.02836843,0.086229867,0.025907742,0.078115698,0.025889425,0.260311205,0.215797003,0.217272103,0.035826317,52.84895813,45576.4248,1505.143674,12.23164081,0.096420691,0.026150581,0.078869279,0.025199794,0.243713359,0.223164492,0.216622465,0.040420944,47.99557768,36458.78574,1764.418921,11.85734793,0.071100958,0.023452647,0.066019016,0.031967232,0.27061038,0.230509648,0.210765088,0.029943037,52.28418636,40643.07596,1599.06288,11.9972483,0.070591171,0.03297345,0.068812167,0.027651646,0.289485677,0.199431795,0.23648678,0.046161808,51.8839502,39441.05387,1633.452583,11.78928204,0.078015425,0.022601182,0.089758455,0.024536128,0.289168668,0.191449699,0.214405101,0.025300835,52.60439167,41481.0516,1647.767711,11.71097136,0.088139281,0.032745626,0.059472491,0.028372074,0.267947181,0.247225121,0.239030993,0.027123103,55.36931879,37432.92431,1489.448403,11.86335181,0.090089707,0.02654887,0.073361208,0.028693938,0.270923799,0.218970483,0.185798308,0.031221208,51.61562243,44042.04651,1775.670293,12.07303725,0.076604552,0.022132144,12.07303725,0.038346448,0.26174939,0.26174939,0.211778774,0.125126088,52.12282388,48757.92243,1675.610606,12.23678761,0.088285299,0.024568669,12.23678761,0.034127713,0.248813728,0.248813728,0.221976167,0.124464463,48.34808191,36219.9047,1900.053425,11.88278055,0.06955036,0.017210838,11.88278055,0.05178111,0.270971628,0.270971628,0.19705577,0.121129935,50.0047016,42918.99106,1854.391005,11.99583369,0.071265864,0.031505273,11.99583369,0.029941226,0.296464181,0.296464181,0.199939764,0.13794508,44.55159315,35740.16866,1460.326528,10.26059393,0.067375259,0.01747408,10.26059393,0.034255558,0.233085313,0.233085313,0.184388232,0.102776416,50.04818663,43680.02906,1932.467115,11.96399317,0.088347675,0.019038317,11.96399317,0.040715119,0.25736779,0.25736779,0.236199781,0.136159477,54.09851028,37987.64929,1549.122713,12.00125444,0.080382916,0.017677542,12.00125444,0.042515759,0.273412146,0.273412146,0.219521779,0.109291928
1,1,1,Truman,-19,-12.5,0,-19.2,0,-14.3,0,0,-32.5,-12.5,0,-46.1,0,-25.5,-8.9,-16.7,-37.6,-51.6,0,-45.1,0,-30.8,-30,-50,-45.7,-50,0,-56,0,-39.4,-30,-12.2,48.54416239,63728.84333,1267.749325,13.71549942,0.160620215,0.035531907,0.115767443,0.081997907,0.194943661,0.253654505,0.11372807,0.028491739,48.70038494,65158.71218,1257.064277,13.7358941,0.16415717,0.035347814,0.116005917,0.082122974,0.190507281,0.254606657,0.114807141,0.028916846,50.28077313,54676.01634,1368.4328,13.46892642,0.144176007,0.038822049,0.109089192,0.066383747,0.248452221,0.25451944,0.088465986,0.027965223,45.58328109,60001.69151,1480.874908,13.97863385,0.141383621,0.027109743,0.148023593,0.086906151,0.209392019,0.198175462,0.135222753,0.028202222,55.92057016,54046.25361,1248.592956,13.69901194,0.128416367,0.031206125,0.109113818,0.098495976,0.222059351,0.262138565,0.150500519,0.016951292,49.47862379,58294.55167,1506.227365,14.12066533,0.130179623,0.024814178,0.131467066,0.090794091,0.226043906,0.209276682,0.156690112,0.016098702,45.22711286,59470.93549,1271.538119,13.71689932,0.145828064,0.040926995,0.119948868,0.085596339,0.185392001,0.24248506,0.116225503,0.02539912,50.30050672,59679.54009,1263.140303,13.64147977,0.159700268,0.045215637,13.64147977,0.070042466,0.196147797,0.196147797,0.266018818,0.07525849,50.34336602,61298.58094,1248.404546,13.68165565,0.164419439,0.045841601,13.68165565,0.068857689,0.193486369,0.193486369,0.266402748,0.074645211,50.67010937,49866.54434,1391.810023,13.22834525,0.140935566,0.038233002,13.22834525,0.068473755,0.225273265,0.225273265,0.249477471,0.084750567,50.56559355,47911.61057,1162.2404,13.63059313,0.111568967,0.027731644,13.63059313,0.097024367,0.195600827,0.195600827,0.222340583,0.090873471,32.3017,35824.42074,779.9878394,8.11519271,0.08802495,0.026438317,8.11519271,0.066672336,0.133364819,0.133364819,0.148701315,0.035845467,50.80230027,58499.13647,1510.374231,14.0554613,0.12733283,0.030405701,14.0554613,0.093886289,0.209346106,0.209346106,0.208799194,0.100428885,48.43651341,48396.09693,1306.098459,13.6341882,0.138822215,0.047322931,13.6341882,0.063338599,0.188646972,0.188646972,0.269693278,0.075682061
2,2,2,Mason,-16.9,0,0,-26.5,0,-12.9,-5.6,-16.7,-27,0,0,-42.2,0,-20.9,-12.5,-17.9,-27.5,-25,0,-40.5,-23.9,-21.3,0,-0.6,-36.7,-25,0,-53.3,-37.7,-29.4,0,-15.3,45.64342599,71595.82416,1048.407097,14.02268583,0.153438052,0.038934414,0.163296332,0.067558147,0.171341822,0.236012575,0.139731159,0.025395012,45.52435047,72695.26506,1030.800261,14.0667921,0.154827573,0.039341398,0.166595058,0.069437801,0.165316576,0.237173028,0.142525562,0.025944283,46.18905474,59028.91112,1241.793718,13.5579706,0.138068013,0.038102146,0.135362863,0.059806695,0.226734633,0.220709146,0.101422024,0.021408603,47.70974314,62169.93901,1475.102913,13.94465466,0.137617262,0.035370716,0.162063347,0.04490046,0.210543438,0.198337136,0.156254649,0.024674726,49.9759018,58649.07475,1034.206448,13.74973956,0.133324057,0.034554994,0.133693662,0.065951884,0.210582258,0.237779008,0.159947581,0.02313345,53.25326476,76510.44164,1079.476017,14.38901575,0.162756671,0.034217606,0.186135266,0.08242316,0.197256739,0.191244579,0.120167928,0.017793904,45.19950373,70475.37762,1088.936323,13.93981559,0.146430604,0.040415553,0.154702851,0.059917295,0.187520166,0.227676834,0.135540863,0.019962888,46.28056107,68235.90572,1045.974359,13.91471433,0.148033047,0.039535448,13.91471433,0.059467114,0.172886544,0.172886544,0.246851801,0.077043375,45.95179338,69712.48065,1033.763581,13.96145163,0.148528489,0.040800604,13.96145163,0.060601069,0.167082017,0.167082017,0.24887289,0.07827487,48.68871581,56928.9753,1175.255254,13.53079752,0.141397936,0.025691368,13.53079752,0.054569703,0.220228084,0.220228084,0.231396248,0.061829913,49.55362918,59316.17942,1174.031636,13.85231168,0.142591335,0.024402056,13.85231168,0.053488401,0.189661535,0.189661535,0.197378399,0.090108862,38.05310441,47249.23318,872.9891206,10.68932177,0.123884247,0.026264597,10.68932177,0.039902979,0.168975368,0.168975368,0.173355996,0.058713466,49.52502666,58748.78299,1033.755103,13.62201495,0.135131708,0.020650694,13.62201495,0.055256402,0.143524745,0.143524745,0.345323136,0.103285903,46.96887796,62740.0812,1059.688671,13.85408983,0.142773715,0.041956927,13.85408983,0.056280363,0.183421342,0.183421342,0.242336663,0.066967134
3,3,3,Meeker,-16.9,-14.1,0,-20.5,0,-11.7,0,-30.8,-28.2,-28.3,-3.3,-34.1,0,-23,0,-8.7,-29.9,-29.8,-3.6,-42.9,0,-22.3,-16.3,-7.9,-44.8,-60,-12.3,-55.6,0,-38.7,-16.3,-34.2,21.74794556,80704.54299,1788.19543,13.80171258,0.185915565,0.058755536,0.091101165,0.062752193,0.141641867,0.264366494,0.119170488,0.032152486,22.39900706,80877.5347,1744.186594,13.83552789,0.189012265,0.059186189,0.091907648,0.063476525,0.138210784,0.26376346,0.117660486,0.03309949,18.57174188,75817.6459,2058.278894,13.61502175,0.168738812,0.053080363,0.084566841,0.056171503,0.159584307,0.276892561,0.129879835,0.030180921,20.65244146,76662.32015,1747.403802,13.34475965,0.157978349,0.05855677,0.08983092,0.043443461,0.145988346,0.274012441,0.141381107,0.031500471,19.09803522,84131.29764,1943.420927,13.77767929,0.176239453,0.055707809,0.091984528,0.068774276,0.150793847,0.265165971,0.113174549,0.025926851,21.8947047,70615.61695,1907.242083,13.61994796,0.172242185,0.053324337,0.077522322,0.058748736,0.17650792,0.259025801,0.144752454,0.032311707,20.88157927,79442.95306,1790.613594,13.7484949,0.184078143,0.057920198,0.092741905,0.061803969,0.143478825,0.264748921,0.120927526,0.030746164,21.40289508,82166.30096,1846.3623,13.83385587,0.170977535,0.05699279,13.83385587,0.067159048,0.146960078,0.146960078,0.248170632,0.080289075,21.9747749,82212.44405,1812.653039,13.86321343,0.172718816,0.05719291,13.86321343,0.067850555,0.144054961,0.144054961,0.248641825,0.079957844,19.39579124,78502.12515,1990.754875,13.65260756,0.161716031,0.056177014,13.65260756,0.058884198,0.158756739,0.158756739,0.249220703,0.086355768,20.82915999,78632.21518,1840.369692,13.35807064,0.148056582,0.055949766,13.35807064,0.047227724,0.152980726,0.152980726,0.254960139,0.097517535,21.53381525,91900.57696,2101.284178,15.11499096,0.187763935,0.060913444,15.11499096,0.075707326,0.164450645,0.164450645,0.267936115,0.083384208,19.47294227,73866.96176,2117.098448,13.47474692,0.15396125,0.057683998,13.47474692,0.053536916,0.175276056,0.175276056,0.252190328,0.096410987,20.85600551,82499.03591,1838.753422,13.82261938,0.171380512,0.055334007,13.82261938,0.06918077,0.149852456,0.149852456,0.247137498,0.078063177
4,4,4,Gray,-34.1,-25,-4.4,-30.5,-32.4,-23.4,-16,-14.3,-45.2,-87.5,-8.3,-50.6,-35.5,-33.7,-18.7,-28.3,-50.9,-25,-9.9,-51.6,-51.4,-40.7,0,-8.7,-61.1,-75,-15.3,-63.7,-60.7,-50.7,0,-10.5,47.96876928,51656.52336,1889.412459,12.89242885,0.097399587,0.026204172,0.072152361,0.06894831,0.252470155,0.230238773,0.17620911,0.037046797,47.2509462,51833.08091,1892.199989,12.89596517,0.094510923,0.027453796,0.072078015,0.069870101,0.248059348,0.22917851,0.179601684,0.036883485,50.80362469,47946.19067,1927.867589,12.69896426,0.104100207,0.015749385,0.063930764,0.055773241,0.273111761,0.240445324,0.185939171,0.034926415,55.99093127,50453.39342,1878.467111,12.76960049,0.088004226,0.007520711,0.087179472,0.076915679,0.253418903,0.218512075,0.211963245,0.05031033,46.67421985,53936.97802,1798.869346,13.40909238,0.080503207,0.030197227,0.085435738,0.087341752,0.247917211,0.240891183,0.12828097,0.039718962,53.37936355,53918.42783,1265.369829,12.84700612,0.064969536,0.025540506,0.039025365,0.016497313,0.394388941,0.143977181,0.174482707,0.077676253,50.07802117,49610.80239,1881.93224,12.68383973,0.09454438,0.020504629,0.069415144,0.052201559,0.264743034,0.239108441,0.178259786,0.035170226,50.32009897,49820.04528,1789.29078,12.71755635,0.09261913,0.019522103,12.71755635,0.057002535,0.282194063,0.282194063,0.23495131,0.104441218,49.5014733,50227.17661,1786.765841,12.7357137,0.091058845,0.02012556,12.7357137,0.058541581,0.278008896,0.278008896,0.234777143,0.104867324,52.33825941,47190.80961,1807.969633,12.64633944,0.095069774,0.015699964,12.64633944,0.051826819,0.291004571,0.291004571,0.238343999,0.103713873,57.98401666,49780.22913,1783.175871,12.59508158,0.09534618,0.007082955,12.59508158,0.055992779,0.272909029,0.272909029,0.224094814,0.132660275,38.56722263,51398.50503,1576.687445,11.27634019,0.082339332,0.023540029,11.27634019,0.065208206,0.230837352,0.230837352,0.187562395,0.078580328,61.68672369,48005.20671,1905.048438,12.61520819,0.09036348,0.020239004,12.61520819,0.027374698,0.338760202,0.338760202,0.203747069,0.130441835,51.09219537,49141.67045,1798.004427,12.6427216,0.095576219,0.014855582,12.6427216,0.051734611,0.290121589,0.290121589,0.247421065,0.09967384
5,5,5,Angelo Giaudrone,-28,-9.8,0,-29,-26.3,-17.6,0,0,-26.8,-1,0,-28.4,-21.6,-19.1,-0.9,0,-44.5,-23.1,0,-53,-40.3,-33.5,-37.5,-17.3,-46.8,-39.4,0,-57.9,-42.4,-33,-38.7,-9.7,61.32928079,46357.65385,1468.840271,12.29836287,0.083387848,0.021356148,0.064845685,0.027277722,0.277209874,0.283566401,0.196045655,0.030209463,61.71762971,46304.7186,1499.336618,12.35976885,0.079876967,0.021198739,0.062734916,0.029246781,0.27853091,0.28620832,0.210839203,0.028448542,63.45927137,46245.56105,1467.139334,12.3816126,0.097042713,0.017754594,0.071732633,0.023953502,0.265876116,0.276087281,0.185064857,0.03036686,66.96194091,43852.68404,1410.879704,12.61998454,0.092226947,0.011548013,0.087655996,0.025741908,0.241563689,0.252203832,0.290391177,0.047866235,61.22387822,45563.28269,1313.968458,12.26305715,0.081896565,0.021555724,0.061912976,0.036942721,0.284150454,0.291765085,0.152568653,0.021913596,49.37140764,52787.11331,1396.527492,11.84433318,0.057569854,0.036420675,0.078400855,0.026064558,0.298451369,0.277186406,0.204841631,0.014940215,57.78791045,47581.55748,1496.19114,12.0508819,0.083129763,0.025552528,0.064881302,0.024920462,0.281038542,0.273896927,0.171011338,0.035005728,61.27897383,47097.14894,1452.80172,12.3871528,0.091541674,0.020957722,12.3871528,0.021159916,0.279561893,0.279561893,0.287436221,0.107998892,61.44154768,46699.49276,1489.17806,12.439849,0.083363887,0.020772061,12.439849,0.021720807,0.287490146,0.287490146,0.291790169,0.114638688,62.193475,48004.10914,1410.767433,12.49649089,0.108077807,0.019009692,12.49649089,0.023045905,0.264869318,0.264869318,0.28617807,0.10999438,68.80077988,43324.83149,1324.185498,12.78746525,0.117869904,0.011228587,12.78746525,0.020590879,0.238287777,0.238287777,0.253453186,0.141875058,67.33437385,52766.87991,1532.339343,13.36699406,0.089509488,0.028821032,13.36699406,0.016927506,0.291943597,0.291943597,0.326336559,0.073344855,59.71786899,44637.8138,1793.669994,12.32146711,0.095082248,0.023512111,12.32146711,0.029081628,0.348293938,0.348293938,0.226992996,0.107496331,58.38821195,50033.18153,1479.8994,12.14068491,0.104119182,0.020470811,12.14068491,0.021375263,0.271726112,0.271726112,0.283181859,0.094465018
6,6,6,Baker,-37,-21.3,-14.4,-38.3,-44.4,-21.9,-22.9,-12.8,-49.6,-43.5,-23.1,-52.5,-52.9,-40,-21.9,-3,-52.1,-55.9,-19,-52.3,-57.2,-41.6,0,0,-60.2,-55.9,-26,-64.6,-66.7,-47.3,0,0,41.800279,46387.05543,1692.949886,12.08749554,0.06162462,0.026194802,0.062165702,0.051963441,0.253523126,0.249172499,0.204158706,0.049004812,42.40997523,45950.44584,1688.199995,12.02718727,0.061545603,0.026378348,0.063545721,0.051913399,0.251324429,0.243136217,0.214833415,0.05114337,42.56137855,42862.63988,1817.148191,12.17549808,0.053834217,0.027380563,0.061701799,0.058653897,0.259410117,0.244277782,0.208945908,0.042875585,43.00293843,50533.74433,2124.206136,12.20643857,0.052265501,0.039948049,0.071891016,0.045699847,0.239504404,0.190887386,0.220126235,0.061669805,41.66862794,48546.26239,1729.628199,12.10949909,0.054465311,0.042343262,0.062786379,0.050512277,0.255634834,0.259404833,0.161733334,0.040831279,38.49087432,53667.6413,1575.638291,12.25000729,0.062729936,0.02407879,0.04476665,0.036359703,0.302574143,0.27325134,0.143517978,0.041365282,41.84053526,48043.81742,1523.297716,12.14244032,0.062875616,0.027620062,0.061958505,0.051853951,0.263450422,0.255089251,0.194636718,0.047307779,41.90874891,45923.61627,1801.615527,12.21986238,0.070946252,0.023207848,12.21986238,0.05294091,0.244347839,0.244347839,0.245503469,0.128291318,42.35620222,45743.42789,1758.426886,12.19158072,0.07119194,0.0214483,12.19158072,0.048285484,0.23771156,0.23771156,0.249232514,0.132790694,42.9351128,45697.61433,1935.796899,12.25722593,0.065917539,0.026732356,12.25722593,0.064084017,0.259949407,0.259949407,0.226655448,0.117565857,39.98918287,47479.98117,2467.124595,12.29273165,0.059571899,0.028831497,12.29273165,0.047416923,0.229603329,0.229603329,0.212186203,0.144263563,49.06468683,58491.26506,2046.045017,15.44527648,0.108868538,0.028184948,15.44527648,0.076473798,0.293921378,0.293921378,0.330819791,0.133048818,38.7235403,48875.00199,1452.197796,12.29229306,0.081707122,0.013973756,12.29229306,0.037670207,0.279437737,0.279437737,0.277959678,0.117360871,42.14831295,48945.10802,1571.69667,12.31664641,0.080659178,0.026457108,12.31664641,0.051951711,0.251084618,0.251084618,0.251847905,0.116935064
7,7,7,Stewart,-37.5,-11.9,0,-36.7,-26.1,-29.1,-38.7,0,-58.6,-11.9,0,-63.3,-58,-47.7,-75,-100,-43,-36.4,0,-43.4,-45.5,-27.2,-24.7,-75,-55.3,-36.4,0,-59.5,-61.3,-39.2,-24.7,-75,60.89536835,45788.40397,1409.480344,12.38621571,0.09144206,0.026214791,0.086427332,0.028086159,0.253115079,0.242648622,0.202825057,0.036239332,61.26267391,47265.79205,1383.545621,12.48076683,0.090652697,0.026224029,0.080666613,0.030243953,0.252325283,0.257628818,0.209497286,0.036149227,60.08325453,42514.78716,1553.319016,12.36858975,0.084846524,0.023577381,0.090308073,0.027098533,0.240056264,0.238241739,0.21399026,0.034858711,62.13607049,48337.55159,1520.70109,12.49696419,0.094992507,0.021262002,0.094785804,0.028458109,0.234861833,0.20863426,0.25870032,0.052491947,59.91747895,42828.67957,1434.752798,12.00900464,0.0823771,0.038345565,0.105380977,0.029081159,0.282047789,0.203481523,0.156163485,0.017752752,64.83038155,51803.76539,1413.021755,12.02783273,0.123057757,0.027918399,0.08570707,0.048662619,0.196943089,0.279714191,0.223581784,0.050603277,59.6877044,45254.32184,1287.864508,12.25801005,0.10146752,0.033338457,0.09022504,0.027807722,0.247507701,0.229416328,0.178004208,0.042876651,59.65864693,45579.26441,1545.66678,12.41907323,0.07723752,0.022866938,12.41907323,0.02881886,0.272665445,0.272665445,0.245062501,0.119575177,60.45512637,46566.1017,1475.233819,12.4869219,0.07940086,0.022941454,12.4869219,0.026356716,0.275395119,0.275395119,0.258999942,0.121238012,59.21631595,44643.95217,1606.832678,12.47758044,0.075951434,0.022605743,12.47758044,0.034280576,0.263879331,0.263879331,0.234063138,0.124160403,60.81200871,43785.57277,1894.632861,12.44967423,0.081861032,0.017879277,12.44967423,0.033216993,0.262793705,0.262793705,0.21502779,0.156007971,54.92813951,41490.97001,1426.183511,11.11147641,0.081172618,0.020929712,11.11147641,0.027521152,0.24370732,0.24370732,0.200799123,0.085801514,62.1212495,47778.74683,1484.220685,12.10127602,0.094576005,0.014034267,12.10127602,0.057295051,0.249367789,0.249367789,0.26524597,0.121722188,58.27500357,45222.00939,1369.242923,12.30532865,0.086377028,0.022391898,12.30532865,0.026156693,0.282401556,0.282401556,0.240303335,0.110830104
8,8,8,Jason Lee,-30.2,-8.9,-16.2,-42.2,-11.8,-12,-44.3,-31.5,-38.7,-19.7,-7.6,-52.9,-16.7,-21.7,-19.2,-64,-55,-45.5,-19.9,-64.8,-36.9,-38.3,-60.5,-69.2,-61.9,-77.7,-30.5,-76.8,-50.3,-40.3,0,-76.7,56.24223546,53469.02902,1078.183965,13.37328393,0.152444553,0.047767159,0.135922124,0.05112596,0.220670264,0.18012742,0.107485339,0.023768076,54.75111075,57199.30183,1079.874833,13.63356152,0.17013105,0.049895559,0.141433378,0.058427675,0.21296359,0.185583649,0.110329402,0.020684986,57.95605654,43536.39373,1087.378098,12.9000319,0.115450665,0.05176043,0.120243949,0.043851366,0.262605497,0.177821139,0.093096432,0.030554943,56.30808842,56269.93647,1112.840468,13.08373875,0.129478306,0.051489568,0.112406631,0.036524942,0.218181697,0.17930432,0.184972724,0.035660965,61.15051917,50070.57689,1035.871988,12.97462567,0.103159129,0.037401656,0.130287842,0.046701233,0.195816234,0.173940845,0.110334256,0.029302523,58.80536991,46841.87059,1051.491799,12.83404996,0.100838574,0.026670482,0.050676344,0.038415841,0.251551937,0.261575131,0.106244952,0.036501882,58.90512803,48848.43235,1048.408291,13.04263242,0.119008368,0.038144563,0.13259239,0.040495234,0.216962794,0.166720382,0.114947225,0.029575621,55.93999966,55669.68024,1073.580075,13.58949714,0.153896688,0.046128944,13.58949714,0.055811079,0.205897932,0.205897932,0.178706344,0.068113148,54.3760905,58081.52358,1074.338364,13.8211924,0.168247241,0.047209801,13.8211924,0.060484244,0.200374594,0.200374594,0.182884177,0.066318222,58.28964245,49948.42387,1079.424535,13.24011882,0.126768547,0.05161347,13.24011882,0.047657711,0.227027488,0.227027488,0.166210538,0.064792413,57.40268797,50021.77453,1147.53678,12.92975418,0.126428953,0.045124742,12.92975418,0.036229182,0.233963826,0.233963826,0.169997393,0.105684721,63.43010608,54998.90175,1088.148299,13.41673801,0.123140082,0.033701826,13.41673801,0.044126061,0.197299627,0.197299627,0.172287437,0.072152327,60.61138525,47704.31624,1009.121439,12.7999368,0.11018307,0.031157639,12.7999368,0.043317891,0.212258807,0.212258807,0.253825462,0.087610457,58.85216796,50794.69357,1082.713657,13.10274959,0.122720592,0.035572703,13.10274959,0.053342931,0.215012238,0.215012238,0.179460063,0.077777841
9,9,9,Wainwright/Whittier,-10.3,0,-1,0,0,-3.9,0,0,-19.1,0,-1,0,-8.1,-7.3,-20,-31.9,-25.4,0,-0.6,-27.8,-13.3,-13.3,-50,-0.9,-31.9,0,-0.6,-34.7,-19.6,-18.4,-50,-22.1,39.06884114,65949.63827,1650.46678,13.83025806,0.160956011,0.020984475,0.124141074,0.091167408,0.191800499,0.24317389,0.129555004,0.030427805,38.51689236,67907.3746,1580.657193,13.89213854,0.162588442,0.021757794,0.13221132,0.091104712,0.181693392,0.243438384,0.12667508,0.032500344,43.33500848,52388.52116,1925.368071,13.12337798,0.156850371,0.009823497,0.072302461,0.061623789,0.247080243,0.26870018,0.161764718,0.023915607,40.88270279,68176.1675,1315.212089,14.07763556,0.168183108,0.016027063,0.144002581,0.11883117,0.181515525,0.215126706,0.11070014,0.021032522,42.1304982,56270.66563,1791.742281,13.79299984,0.09303492,0.031276064,0.103274053,0.09491398,0.229547981,0.249047972,0.138805285,0.025828409,45.40740417,35692.55453,1241.117969,13.65908187,0.133922979,0,0.064201452,0.089025941,0.271651592,0.26378627,0.186524623,0.012303132,39.20117961,63667.65723,1614.434176,13.87330847,0.175354471,0.014702417,0.128334427,0.096540646,0.195403911,0.234806551,0.111330703,0.022674562,38.26707031,63594.58007,1574.705842,13.84625195,0.168712737,0.024154735,13.84625195,0.090103172,0.22423163,0.22423163,0.221938446,0.064865758,37.9436863,65046.29288,1526.837856,13.8653119,0.167772584,0.024996434,13.8653119,0.090353106,0.213568443,0.213568443,0.226815232,0.065975873,41.24812896,53842.17177,1767.349757,13.51263664,0.160976322,0.018894912,13.51263664,0.084481376,0.274607357,0.274607357,0.21698308,0.069402827,44.36689718,61072.39209,1344.978034,13.80101236,0.149859506,0.018521417,13.80101236,0.110159804,0.206548782,0.206548782,0.207535434,0.09333312,34.03859203,64166.26243,1740.112279,13.18906569,0.148169505,0.031239617,13.18906569,0.106274352,0.212013637,0.212013637,0.197519236,0.056007082,47.03599769,49929.99344,1159.746431,13.96622716,0.127574314,0.015634049,13.96622716,0.0599733,0.277655241,0.277655241,0.18701339,0.120624488,39.02695003,58087.29164,1514.114921,13.8834426,0.194985701,0.0169324,13.8834426,0.07387353,0.253533346,0.253533346,0.195494767,0.050939918
