field_1,timestamp,date,latitude,longitude,truedate,field_1_2,timestamp_2,date (UTC),NO2 (ppb),VOC (ppb),pm 10 (ug/m3),pm 2.5 (ug/m3),NO2 (Plume AQI),VOC (Plume AQI),pm 10 (Plume AQI),pm 2.5 (Plume AQI),pm 1 (ug/m3),pm 1 (Plume AQI),truedate_2
"7006",1647201768,2022/03/13 20:02:48,47.167018,-122.43406,2022/03/13 20:02:00,"13410",1647201721,2022/03/13 20:02:01,32,24,3,2,35,2,3,4,1,3,2022/03/13 20:02:00
"7007",1647201788,2022/03/13 20:03:08,47.166872,-122.433252,2022/03/13 20:03:00,"13411",1647201781,2022/03/13 20:03:01,28,22,18.270697,3.422302,30,2,18,7,1,3,2022/03/13 20:03:00
"7008",1647201791,2022/03/13 20:03:11,47.167187,-122.434778,2022/03/13 20:03:00,"13411",1647201781,2022/03/13 20:03:01,28,22,18.270697,3.422302,30,2,18,7,1,3,2022/03/13 20:03:00
"7009",1647201808,2022/03/13 20:03:28,47.166915,-122.432832,2022/03/13 20:03:00,"13411",1647201781,2022/03/13 20:03:01,28,22,18.270697,3.422302,30,2,18,7,1,3,2022/03/13 20:03:00
"7010",1647201821,2022/03/13 20:03:41,47.167186,-122.434786,2022/03/13 20:03:00,"13411",1647201781,2022/03/13 20:03:01,28,22,18.270697,3.422302,30,2,18,7,1,3,2022/03/13 20:03:00
"7011",1647201932,2022/03/13 20:05:32,47.166704,-122.433402,2022/03/13 20:05:00,"13413",1647201901,2022/03/13 20:05:01,27,19,3.9809518,2,28,2,4,4,1,3,2022/03/13 20:05:00
"7012",1647201937,2022/03/13 20:05:37,47.167176,-122.434744,2022/03/13 20:05:00,"13413",1647201901,2022/03/13 20:05:01,27,19,3.9809518,2,28,2,4,4,1,3,2022/03/13 20:05:00
"7013",1647201989,2022/03/13 20:06:29,47.167154,-122.43383,2022/03/13 20:06:00,"13414",1647201961,2022/03/13 20:06:01,0,23,3.1385417,2,0,2,3,4,1,3,2022/03/13 20:06:00
"7014",1647201997,2022/03/13 20:06:37,47.167188,-122.434779,2022/03/13 20:06:00,"13414",1647201961,2022/03/13 20:06:01,0,23,3.1385417,2,0,2,3,4,1,3,2022/03/13 20:06:00
"7015",1647202043,2022/03/13 20:07:23,47.166781,-122.433901,2022/03/13 20:07:00,"13415",1647202021,2022/03/13 20:07:01,27,26,6.146243,2,28,2,6,4,1,3,2022/03/13 20:07:00
"7016",1647202057,2022/03/13 20:07:37,47.167182,-122.434769,2022/03/13 20:07:00,"13415",1647202021,2022/03/13 20:07:01,27,26,6.146243,2,28,2,6,4,1,3,2022/03/13 20:07:00
"7017",1647202074,2022/03/13 20:07:54,47.166805,-122.433184,2022/03/13 20:07:00,"13415",1647202021,2022/03/13 20:07:01,27,26,6.146243,2,28,2,6,4,1,3,2022/03/13 20:07:00
"7018",1647202087,2022/03/13 20:08:07,47.167186,-122.434777,2022/03/13 20:08:00,"13416",1647202081,2022/03/13 20:08:01,26,28,3,2,27,2,3,4,1,3,2022/03/13 20:08:00
"7019",1647202226,2022/03/13 20:10:26,47.167,-122.433768,2022/03/13 20:10:00,"13418",1647202201,2022/03/13 20:10:01,30,33,10.436344,3.7092829,33,3,10,7,1,3,2022/03/13 20:10:00
"7020",1647202311,2022/03/13 20:11:51,47.166956,-122.433309,2022/03/13 20:11:00,"13419",1647202261,2022/03/13 20:11:01,32,25,9.527271,2.0076618,36,2,10,4,1,3,2022/03/13 20:11:00
"7021",1647202321,2022/03/13 20:12:01,47.167182,-122.434774,2022/03/13 20:12:00,"13420",1647202321,2022/03/13 20:12:01,30,39,,,32,3,0,0,,,2022/03/13 20:12:00
"7022",1647202330,2022/03/13 20:12:10,47.167105,-122.434271,2022/03/13 20:12:00,"13420",1647202321,2022/03/13 20:12:01,30,39,,,32,3,0,0,,,2022/03/13 20:12:00
"7023",1647202351,2022/03/13 20:12:31,47.167184,-122.434783,2022/03/13 20:12:00,"13420",1647202321,2022/03/13 20:12:01,30,39,,,32,3,0,0,,,2022/03/13 20:12:00
"7024",1647202371,2022/03/13 20:12:51,47.167067,-122.43347,2022/03/13 20:12:00,"13420",1647202321,2022/03/13 20:12:01,30,39,,,32,3,0,0,,,2022/03/13 20:12:00
"7185",1647204497,2022/03/13 20:48:17,47.206046,-122.454895,2022/03/13 20:48:00,"13456",1647204481,2022/03/13 20:48:01,6,58,,,5,5,0,0,,,2022/03/13 20:48:00
"7186",1647204685,2022/03/13 20:51:25,47.205783,-122.454986,2022/03/13 20:51:00,"13459",1647204661,2022/03/13 20:51:01,3,68,3,2,3,5,3,4,1,3,2022/03/13 20:51:00
"7187",1647205134,2022/03/13 20:58:54,47.20602,-122.454739,2022/03/13 20:58:00,"13466",1647205081,2022/03/13 20:58:01,0,0,,,0,0,0,0,,,2022/03/13 20:58:00
"8010",1647369913,2022/03/15 18:45:13,47.21661,-122.406729,2022/03/15 18:45:00,"1191",1647369900,2022/03/15 18:45:00,24,31,56.466293,4.51626,23,2,61,9,1,3,2022/03/15 18:45:00
"8011",1647369945,2022/03/15 18:45:45,47.216891,-122.406378,2022/03/15 18:45:00,"1191",1647369900,2022/03/15 18:45:00,24,31,56.466293,4.51626,23,2,61,9,1,3,2022/03/15 18:45:00
"8012",1647369973,2022/03/15 18:46:13,47.216656,-122.406757,2022/03/15 18:46:00,"1192",1647369960,2022/03/15 18:46:00,20,29,37.892235,2.7392635,19,2,38,5,1,3,2022/03/15 18:46:00
"8013",1647370005,2022/03/15 18:46:45,47.216889,-122.406376,2022/03/15 18:46:00,"1192",1647369960,2022/03/15 18:46:00,20,29,37.892235,2.7392635,19,2,38,5,1,3,2022/03/15 18:46:00
"8014",1647370033,2022/03/15 18:47:13,47.216653,-122.406801,2022/03/15 18:47:00,"1193",1647370020,2022/03/15 18:47:00,19,28,62.227287,4.8086987,18,2,70,10,1,3,2022/03/15 18:47:00
